id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
923665,1539907200,ALT,3.48,3.49,3.41,3.41,3391.0,428892.0,2018-10-21 00:13:41 UTC,2018-10-21 00:13:41 UTC
601186,1539820800,ALT,3.54,3.58,2.84,3.48,4680.0,436138.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601187,1539734400,ALT,3.62,3.63,2.73,3.53,3590.0,445551.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601188,1539648000,ALT,3.03,3.67,3.02,3.6,3432.0,373611.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601189,1539561600,ALT,3.54,3.99,3.01,3.04,4.0,435632.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601190,1539475200,ALT,3.74,3.79,2.88,3.53,6425.0,460145.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601191,1539388800,ALT,4.26,4.28,2.61,3.73,3997.0,524121.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601192,1539302400,ALT,3.4,4.3,2.62,4.25,324.0,419262.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601193,1539216000,ALT,3.32,3.43,3.14,3.41,3563.0,408844.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601194,1539129600,ALT,3.33,4.62,3.27,3.33,5350.0,410742.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601195,1539043200,ALT,5.75,5.9,3.32,3.35,3508.0,708188.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601196,1538956800,ALT,2.8,5.78,2.79,5.73,4886.0,344944.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601197,1538870400,ALT,5.9,5.91,2.72,2.79,6501.0,726572.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601198,1538784000,ALT,5.3,5.94,5.27,5.88,29.0,652386.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601199,1538697600,ALT,5.64,5.66,3.26,5.28,3319.0,694780.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601200,1538611200,ALT,5.59,5.68,5.57,5.63,4087.0,688178.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601201,1538524800,ALT,4.27,5.59,4.22,5.58,4048.0,525894.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601202,1538438400,ALT,4.86,4.88,4.26,4.27,4624.0,598910.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601203,1538352000,ALT,5.17,5.2,4.82,4.88,64.0,636870.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601204,1538265600,ALT,5.68,5.74,5.14,5.19,8.0,700182.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601205,1538179200,ALT,5.72,5.72,5.18,5.69,3586.0,704799.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601206,1538092800,ALT,5.75,5.85,5.66,5.73,4537.0,708554.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601207,1538006400,ALT,5.59,5.79,5.02,5.75,3608.0,689091.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601208,1537920000,ALT,5.55,5.66,5.52,5.59,3383.0,683870.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601209,1537833600,ALT,5.8,5.8,3.86,5.56,3575.0,714691.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601210,1537747200,ALT,5.91,5.96,4.05,5.81,3492.0,727993.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601211,1537660800,ALT,4.83,6.04,4.73,5.91,3830.0,595382.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601212,1537574400,ALT,6.04,6.09,4.81,4.83,3923.0,744477.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601213,1537488000,ALT,5.83,6.5,5.82,6.04,3769.0,718077.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601214,1537401600,ALT,5.85,5.91,5.7,5.83,3451.0,720587.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601215,1537315200,ALT,5.94,6.92,4.68,5.85,3661.0,731136.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601216,1537228800,ALT,7.17,7.33,5.9,5.93,3600.0,883177.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601217,1537142400,ALT,7.47,7.5,6.42,7.17,3396.0,919642.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601218,1537056000,ALT,7.51,7.51,7.36,7.45,3757.0,925593.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601219,1536969600,ALT,7.46,7.54,7.44,7.49,3406.0,918926.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601220,1536883200,ALT,7.48,8.61,7.4,7.47,3664.0,921478.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601221,1536796800,ALT,7.4,7.5,6.09,7.49,3401.0,910929.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601222,1536710400,ALT,7.41,7.89,7.22,7.39,3448.0,912309.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601223,1536624000,ALT,8.91,9.51,6.15,7.41,5267.0,1097425.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601224,1536537600,ALT,6.94,11.19,5.98,8.89,7541.0,854444.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601225,1536451200,ALT,6.82,7.09,5.97,6.94,3728.0,839442.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601226,1536364800,ALT,7.11,8.04,6.78,6.82,3764.0,875453.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601227,1536278400,ALT,7.15,8.22,7.01,7.1,3404.0,880210.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601228,1536192000,ALT,7.44,7.44,7.02,7.15,3344.0,916030.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601229,1536105600,ALT,8.15,8.17,6.5,7.42,3907.0,1003777.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601230,1536019200,ALT,8.14,8.31,6.66,8.14,4314.0,1002560.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601231,1535932800,ALT,8.24,8.28,7.44,8.14,3848.0,1014626.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601232,1535846400,ALT,8.25,8.44,7.26,8.24,4742.0,1016643.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601233,1535760000,ALT,7.82,8.34,6.44,6.57,3882.0,963076.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601234,1535673600,ALT,7.7,7.85,6.34,7.83,3771.0,948716.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601235,1535587200,ALT,7.75,8.79,6.85,7.69,3537.0,954933.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601236,1535500800,ALT,7.82,7.86,6.48,7.75,3584.0,963626.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601237,1535414400,ALT,7.52,7.86,7.51,7.82,4057.0,926077.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601238,1535328000,ALT,7.39,7.53,7.19,7.53,3743.0,910341.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601239,1535241600,ALT,8.08,8.1,7.31,7.39,3368.0,995817.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601240,1535155200,ALT,8.47,8.59,6.7,8.07,3422.0,1043714.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601241,1535068800,ALT,7.27,8.51,7.21,8.49,3545.0,896015.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601242,1534982400,ALT,8.11,9.42,7.21,7.27,3504.0,999000.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601243,1534896000,ALT,8.23,8.65,7.29,8.11,3957.0,1013852.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601244,1534809600,ALT,7.03,8.25,7.03,8.23,3619.0,866327.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601245,1534723200,ALT,8.35,8.41,6.41,7.04,3233.0,1028090.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601246,1534636800,ALT,8.34,9.97,7.13,8.36,3338.0,1027001.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601247,1534550400,ALT,8.6,8.62,7.13,8.34,3421.0,1058855.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601248,1534464000,ALT,8.24,9.29,7.23,8.58,3471.0,1014688.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601249,1534377600,ALT,8.17,8.42,8.11,8.24,3260.0,1005746.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601250,1534291200,ALT,8.06,8.59,7.89,8.18,3255.0,992517.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601251,1534204800,ALT,6.89,8.19,4.31,8.06,3636.0,848758.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601252,1534118400,ALT,9.04,9.11,6.84,6.9,2857.0,1112978.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601253,1534032000,ALT,7.58,9.44,7.51,9.04,2684.0,933995.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601254,1533945600,ALT,10.47,10.78,7.61,7.61,4328.0,1289609.0,2018-10-19 04:11:33 UTC,2018-10-19 04:11:33 UTC
601255,1533859200,ALT,11.16,12.27,10.31,10.48,2958.0,1375121.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601256,1533772800,ALT,15.82,18.11,10.41,11.18,16025.0,1949189.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601257,1533686400,ALT,17.22,17.22,13.64,15.8,3336.0,2121548.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601258,1533600000,ALT,14.74,18.24,14.71,17.2,1507.0,1815118.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601259,1533513600,ALT,18.07,18.35,14.59,14.74,3451.0,2225566.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601260,1533427200,ALT,18.05,18.16,17.71,18.05,1039.0,2223271.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601261,1533340800,ALT,19.12,19.27,15.97,18.04,875.0,2354616.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601262,1533254400,ALT,19.45,19.45,18.82,19.09,3827.0,2395648.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601263,1533168000,ALT,19.7,19.93,19.34,19.45,3986.0,2426670.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601264,1533081600,ALT,19.99,20.0,17.16,19.69,3902.0,2462764.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601265,1532995200,ALT,23.42,23.42,16.54,19.98,4217.0,2884962.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601266,1532908800,ALT,23.04,23.47,20.22,23.47,4463.0,2837392.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601267,1532822400,ALT,18.5,23.5,18.37,23.02,6211.0,2279161.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601268,1532736000,ALT,23.47,23.63,18.36,18.43,4500.0,2891490.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601269,1532649600,ALT,22.92,23.9,22.69,23.43,4591.0,2823165.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601270,1532563200,ALT,22.58,23.91,21.85,22.93,5326.0,2781224.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601271,1532476800,ALT,22.84,23.37,19.17,22.59,4421.0,2812966.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601272,1532390400,ALT,21.39,23.27,21.34,23.27,4761.0,2634226.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601273,1532304000,ALT,20.15,21.56,20.15,21.35,4130.0,2481563.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601274,1532217600,ALT,16.42,20.89,16.36,20.17,1888.0,2022168.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601275,1532131200,ALT,21.87,21.93,16.41,16.42,2216.0,2693461.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601276,1532044800,ALT,23.06,23.53,18.56,21.87,4019.0,2840065.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601277,1531958400,ALT,22.77,23.16,16.63,23.04,3961.0,2804159.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601278,1531872000,ALT,22.59,23.25,15.6,22.78,3985.0,2781951.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601279,1531785600,ALT,21.49,22.81,17.44,22.6,3986.0,2646901.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601280,1531699200,ALT,20.43,21.54,16.79,21.54,3762.0,2515954.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601281,1531612800,ALT,20.09,20.56,14.42,20.4,3479.0,2474714.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601282,1531526400,ALT,20.14,20.29,20.01,20.1,3365.0,2480319.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601283,1531440000,ALT,20.2,20.33,14.17,20.19,3397.0,2488756.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601284,1531353600,ALT,20.55,20.55,17.36,20.19,3285.0,2531264.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601285,1531267200,ALT,20.52,20.89,17.26,20.55,3684.0,2527852.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601286,1531180800,ALT,21.0,21.04,15.01,20.52,3516.0,2586274.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601287,1531094400,ALT,22.0,22.08,20.37,21.01,4259.0,2710028.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601288,1531008000,ALT,22.25,22.29,18.85,22.01,3525.0,2740071.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601289,1530921600,ALT,22.69,22.72,21.42,22.27,4331.0,2794514.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601290,1530835200,ALT,18.19,23.65,15.52,22.72,5111.0,2240238.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601291,1530748800,ALT,18.43,18.62,15.35,18.19,3584.0,2270145.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601292,1530662400,ALT,18.22,19.0,16.48,18.39,3498.0,2244463.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601293,1530576000,ALT,18.43,18.63,18.15,18.23,3913.0,2270576.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601294,1530489600,ALT,17.72,18.63,14.0,18.52,3665.0,2182321.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601295,1530403200,ALT,15.56,17.83,12.94,17.72,3923.0,1916361.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
601296,1530316800,ALT,17.29,18.02,15.43,15.55,64.0,2130058.0,2018-10-19 04:11:34 UTC,2018-10-19 04:11:34 UTC
