id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1770614,1539270000,AVH,0.001179,0.001317,0.001177,0.001185,316937.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770615,1539183600,AVH,0.001445,0.001447,0.001174,0.001181,361954.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770616,1539097200,AVH,0.001318,0.00145,0.001251,0.00145,148720.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770617,1539010800,AVH,0.001396,0.001464,0.001249,0.001323,329366.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770618,1538924400,AVH,0.001449,0.001468,0.001312,0.001392,611096.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770619,1538838000,AVH,0.001382,0.001451,0.001303,0.001442,271315.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770620,1538751600,AVH,0.001324,0.001386,0.001253,0.001377,241456.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770621,1538665200,AVH,0.001313,0.001383,0.001242,0.001321,254904.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770622,1538578800,AVH,0.001365,0.001386,0.001246,0.00131,141936.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770623,1538492400,AVH,0.001305,0.001368,0.001222,0.001298,258233.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770624,1538406000,AVH,0.001446,0.001454,0.001238,0.001304,158908.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770625,1538319600,AVH,0.001386,0.001461,0.001314,0.00145,327434.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770626,1538233200,AVH,0.00132,0.00146,0.001182,0.00139,580641.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770627,1538146800,AVH,0.001591,0.001591,0.00131,0.00132,619156.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770628,1538060400,AVH,0.001469,0.001671,0.001262,0.001592,740765.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770629,1537974000,AVH,0.001359,0.001545,0.001359,0.001469,657378.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770630,1537887600,AVH,0.001541,0.001543,0.001342,0.001358,703865.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770631,1537801200,AVH,0.001382,0.001608,0.001279,0.001351,630814.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770632,1537714800,AVH,0.001472,0.001611,0.001379,0.001384,293878.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770633,1537628400,AVH,0.001342,0.001623,0.001336,0.001472,219639.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770634,1537542000,AVH,0.001347,0.001675,0.001334,0.001341,261904.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770635,1537455600,AVH,0.001498,0.001815,0.001343,0.001346,431468.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770636,1537369200,AVH,0.001342,0.001734,0.001342,0.001497,596886.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770637,1537282800,AVH,0.001588,0.001654,0.001296,0.001341,115920.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770638,1537196400,AVH,0.001567,0.00166,0.001561,0.001587,429582.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770639,1537110000,AVH,0.00163,0.001759,0.001565,0.001567,606035.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770640,1537023600,AVH,0.001701,0.002201,0.001552,0.001626,127593.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770641,1536937200,AVH,0.001493,0.001702,0.001433,0.001697,505155.0,0.0,2018-10-13 08:44:41 UTC,2018-10-13 08:44:41 UTC
1770642,1536850800,AVH,0.001557,0.001637,0.001422,0.001495,649492.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770643,1536764400,AVH,0.001459,0.00156,0.001397,0.001558,317873.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770644,1536678000,AVH,0.001511,0.001514,0.001377,0.001457,617005.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770645,1536591600,AVH,0.001455,0.001517,0.001389,0.001511,476658.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770646,1536505200,AVH,0.001314,0.001456,0.001314,0.001452,502193.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770647,1536418800,AVH,0.001423,0.001428,0.00131,0.001315,92601.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770648,1536332400,AVH,0.001485,0.001506,0.001345,0.001424,399395.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770649,1536246000,AVH,0.001495,0.001563,0.001403,0.001483,676503.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770650,1536159600,AVH,0.001209,0.001553,0.00114,0.001497,509132.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770651,1536073200,AVH,0.001472,0.001477,0.001207,0.001207,500674.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770652,1535986800,AVH,0.001453,0.001477,0.001305,0.001471,757041.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770653,1535900400,AVH,0.001603,0.001606,0.0013,0.001453,646921.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770654,1535814000,AVH,0.001438,0.00161,0.001427,0.001604,372014.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770655,1535727600,AVH,0.001338,0.001514,0.001336,0.001437,560640.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770656,1535641200,AVH,0.001329,0.001484,0.001315,0.001339,732566.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770657,1535554800,AVH,0.001409,0.001449,0.001296,0.001328,552872.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770658,1535468400,AVH,0.001489,0.001497,0.001325,0.001408,643246.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770659,1535382000,AVH,0.001377,0.001497,0.001307,0.001488,695124.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770660,1535295600,AVH,0.001277,0.001421,0.001273,0.00138,667242.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770661,1535209200,AVH,0.00142,0.00142,0.001257,0.001412,355268.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
1770662,1535122800,AVH,0.00134,0.001426,0.001271,0.001417,509073.0,0.0,2018-10-13 08:44:42 UTC,2018-10-13 08:44:42 UTC
