id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933685,1540339200,BRAT,0.000195,0.000386,0.000195,0.000297,656.0,31193.0,2018-10-26 00:15:17 UTC,2018-10-26 00:15:17 UTC
932173,1540252800,BRAT,0.000302,0.000324,0.000194,0.000196,70.0,48364.0,2018-10-25 00:18:07 UTC,2018-10-25 00:18:07 UTC
930518,1540166400,BRAT,0.00025,0.000304,0.00025,0.000302,1.0,40038.0,2018-10-24 00:23:26 UTC,2018-10-24 00:23:26 UTC
928835,1540080000,BRAT,0.000229,0.00025,0.000229,0.00025,0.0,36691.0,2018-10-23 00:28:37 UTC,2018-10-23 00:28:37 UTC
925602,1539993600,BRAT,0.000257,0.000259,0.000229,0.000229,0.0,41134.0,2018-10-22 00:19:00 UTC,2018-10-22 00:19:00 UTC
923850,1539907200,BRAT,0.00025,0.000259,0.000249,0.000257,229.0,39994.0,2018-10-21 00:19:39 UTC,2018-10-21 00:19:39 UTC
690152,1539820800,BRAT,0.000223,0.000253,0.000195,0.00025,56.0,35736.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690153,1539734400,BRAT,0.000268,0.000312,0.000222,0.000222,25.0,42859.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690154,1539648000,BRAT,0.000323,0.000323,0.000212,0.000267,105.0,51616.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690155,1539561600,BRAT,0.000251,0.000397,0.000188,0.000323,672.0,40113.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690156,1539475200,BRAT,0.000126,0.000253,0.000126,0.00025,5.0,20207.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690157,1539388800,BRAT,0.000125,0.000126,0.000124,0.000125,3.0,19962.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690158,1539302400,BRAT,0.000185,0.00025,0.000125,0.000125,10.0,29616.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690159,1539216000,BRAT,0.000123,0.000185,0.000123,0.000185,7.0,19667.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
690160,1538956800,BRAT,0.000132,0.000132,0.000131,0.000132,1.0,21078.0,2018-10-19 04:27:13 UTC,2018-10-19 04:27:13 UTC
