id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1737089,1539270000,CDX,0.007572,0.009765,0.007552,0.008066,1.0,246456.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737090,1539183600,CDX,0.006763,0.010116,0.006634,0.007574,434.0,220145.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737091,1539097200,CDX,0.006607,0.006781,0.006494,0.006768,1.0,215057.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737092,1539010800,CDX,0.006878,0.00726,0.006576,0.006633,151.0,223892.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737093,1538924400,CDX,0.006787,0.006921,0.00673,0.006881,1.0,220905.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737094,1538838000,CDX,0.006754,0.006787,0.006689,0.006775,11.0,219836.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737095,1538751600,CDX,0.007284,0.007285,0.00673,0.00675,0.0,237083.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737096,1538665200,CDX,0.006662,0.007292,0.006625,0.007267,5.0,216856.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737097,1538578800,CDX,0.008819,0.009049,0.006632,0.006664,0.0,287074.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737098,1538492400,CDX,0.006581,0.008909,0.006419,0.008818,3.0,214203.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737099,1538319600,CDX,0.007388,0.00925,0.007374,0.009234,0.0,240468.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737100,1538233200,CDX,0.006998,0.009396,0.006945,0.007408,1.0,227799.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737101,1538146800,CDX,0.008552,0.008552,0.00691,0.007006,49.0,278371.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737102,1538060400,CDX,0.009616,0.009778,0.00846,0.008558,2.0,312988.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737103,1537974000,CDX,0.006506,0.009661,0.006387,0.009613,2.0,211758.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737104,1537887600,CDX,0.009246,0.009259,0.006442,0.006509,99.0,300950.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737105,1537801200,CDX,0.00724,0.009261,0.00699,0.009261,1.0,235664.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737106,1537714800,CDX,0.006761,0.007343,0.006702,0.007248,2.0,220084.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737107,1537628400,CDX,0.006833,0.006845,0.006731,0.00676,5.0,222430.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737108,1537542000,CDX,0.006944,0.007772,0.006741,0.00683,5.0,226014.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737109,1537455600,CDX,0.008921,0.009246,0.006887,0.006931,36.0,290365.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737110,1537369200,CDX,0.008144,0.008952,0.008134,0.008918,1.0,265077.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737111,1537282800,CDX,0.008863,0.008903,0.007803,0.008135,25.0,288476.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737112,1537196400,CDX,0.007838,0.009736,0.007739,0.008732,39.0,255116.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737113,1537110000,CDX,0.007907,0.010284,0.00747,0.007837,46.0,257369.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737114,1537023600,CDX,0.009969,0.009969,0.007824,0.007889,19.0,324496.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737115,1536937200,CDX,0.016802,0.018013,0.009772,0.009942,21.0,546887.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737116,1536850800,CDX,0.016442,0.016859,0.013722,0.016824,106.0,535179.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737117,1536764400,CDX,0.007918,0.016487,0.007918,0.016452,249.0,257730.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737118,1536678000,CDX,0.006365,0.008641,0.005809,0.007911,2.0,207167.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737119,1536591600,CDX,0.006382,0.00756,0.005974,0.006364,17.0,207723.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737120,1536505200,CDX,0.007825,0.009965,0.006543,0.006543,157.0,254718.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737121,1536418800,CDX,0.009839,0.010201,0.007767,0.007767,57.0,320259.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737122,1536332400,CDX,0.006514,0.010475,0.006489,0.009844,48.0,212032.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737123,1536246000,CDX,0.010403,0.010457,0.006508,0.006514,0.0,338614.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737124,1536159600,CDX,0.010305,0.01042,0.009641,0.010414,27.0,335417.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737125,1536073200,CDX,0.011825,0.011862,0.010291,0.010291,80.0,384900.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737126,1535986800,CDX,0.011628,0.01455,0.011597,0.011816,7.0,378487.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737127,1535900400,CDX,0.011699,0.011742,0.011537,0.011628,4.0,380819.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737128,1535814000,CDX,0.01235,0.012663,0.011579,0.011702,12.0,401991.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737129,1535727600,CDX,0.011933,0.013373,0.011435,0.012344,156.0,388431.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737130,1535641200,CDX,0.011751,0.011969,0.011064,0.011941,119.0,382479.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737131,1535554800,CDX,0.008425,0.011749,0.00837,0.011739,21.0,274234.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737132,1535468400,CDX,0.011259,0.011307,0.008396,0.00842,35.0,366468.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737133,1535382000,CDX,0.010688,0.011352,0.010236,0.011249,30.0,347903.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737134,1535295600,CDX,0.013059,0.013133,0.009676,0.010693,39.0,425077.0,2018-10-13 08:40:54 UTC,2018-10-13 08:40:54 UTC
1737135,1535209200,CDX,0.013106,0.013112,0.008697,0.013065,30.0,426590.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737136,1535122800,CDX,0.011278,0.020581,0.011248,0.013085,274.0,367088.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737137,1535036400,CDX,0.020671,0.02069,0.01085,0.011297,761.0,672824.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737138,1534950000,CDX,0.006493,0.02066,0.006432,0.020654,1159.0,211347.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737139,1534863600,CDX,0.00844,0.016167,0.002796,0.00649,460.0,274707.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737140,1534777200,CDX,0.008061,0.008567,0.008059,0.008441,31.0,262400.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737141,1534690800,CDX,0.008107,0.009041,0.008059,0.008084,2.0,263875.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737142,1534604400,CDX,0.008803,0.00893,0.007944,0.00812,1.0,286525.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737143,1534518000,CDX,0.012445,0.012587,0.008128,0.008795,33.0,405073.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737144,1534431600,CDX,0.008634,0.012401,0.00863,0.012396,15.0,281024.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737145,1534345200,CDX,0.008181,0.011933,0.00812,0.008619,122.0,266303.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
1737146,1534258800,CDX,0.005469,0.011666,0.005469,0.008177,2.0,178029.0,2018-10-13 08:40:55 UTC,2018-10-13 08:40:55 UTC
