id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
941601,1541203200,CSOUL,0.001028,0.001154,0.001011,0.001014,2599.0,0.0,2018-11-04 00:23:52 UTC,2018-11-04 00:23:52 UTC
941170,1541116800,CSOUL,0.000978,0.001173,0.000926,0.001172,2985.0,0.0,2018-11-03 00:28:00 UTC,2018-11-03 00:28:00 UTC
940662,1541030400,CSOUL,0.000963,0.001178,0.000952,0.000978,1937.0,0.0,2018-11-02 00:24:41 UTC,2018-11-02 00:24:41 UTC
940663,1540944000,CSOUL,0.001003,0.001033,0.000937,0.000963,1931.0,0.0,2018-11-02 00:24:41 UTC,2018-11-02 00:24:41 UTC
940664,1540857600,CSOUL,0.001099,0.001099,0.000996,0.001001,2716.0,87723.0,2018-11-02 00:24:41 UTC,2018-11-02 00:24:41 UTC
939100,1540771200,CSOUL,0.001225,0.001416,0.001097,0.001098,4074.0,97771.0,2018-10-31 00:24:14 UTC,2018-10-31 00:24:14 UTC
938646,1540684800,CSOUL,0.001424,0.001515,0.001194,0.001226,16688.0,113623.0,2018-10-30 00:27:37 UTC,2018-10-30 00:27:37 UTC
938647,1540598400,CSOUL,0.001624,0.001847,0.001422,0.001425,14044.0,129605.0,2018-10-30 00:27:37 UTC,2018-10-30 00:27:37 UTC
938648,1540512000,CSOUL,0.001319,0.001889,0.001318,0.001624,5604.0,105278.0,2018-10-30 00:27:37 UTC,2018-10-30 00:27:37 UTC
938649,1540425600,CSOUL,0.001238,0.001476,0.001236,0.001321,2557.0,0.0,2018-10-30 00:27:37 UTC,2018-10-30 00:27:37 UTC
