id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1023728,1539270000,DIME,8.0e-06,8.0e-06,6.0e-06,7.0e-06,4374.0,4049472.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023729,1539183600,DIME,9.0e-06,9.0e-06,7.0e-06,7.0e-06,2791.0,5102885.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023730,1539097200,DIME,1.0e-05,1.0e-05,9.0e-06,9.0e-06,2796.0,5522578.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023731,1539010800,DIME,9.0e-06,1.4e-05,8.0e-06,1.0e-05,7069.0,4742926.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023732,1538924400,DIME,8.0e-06,9.0e-06,8.0e-06,9.0e-06,2878.0,4461946.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023733,1538838000,DIME,1.2e-05,1.2e-05,8.0e-06,8.0e-06,1198.0,6336433.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023734,1538751600,DIME,9.0e-06,1.3e-05,8.0e-06,1.2e-05,1692.0,4726703.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023735,1538665200,DIME,1.1e-05,1.1e-05,8.0e-06,9.0e-06,3723.0,6091260.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023736,1538578800,DIME,9.0e-06,1.3e-05,9.0e-06,1.1e-05,2661.0,4850005.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023737,1538492400,DIME,9.0e-06,9.0e-06,8.0e-06,9.0e-06,2612.0,4806765.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023738,1538406000,DIME,9.0e-06,1.1e-05,8.0e-06,9.0e-06,9063.0,4796540.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023739,1538319600,DIME,9.0e-06,9.0e-06,9.0e-06,9.0e-06,1037.0,4790516.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023740,1538233200,DIME,1.0e-05,1.1e-05,9.0e-06,9.0e-06,4547.0,5177001.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023741,1538146800,DIME,9.0e-06,1.0e-05,9.0e-06,1.0e-05,2192.0,5064898.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023742,1538060400,DIME,9.0e-06,9.0e-06,9.0e-06,9.0e-06,7770.0,4812375.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023743,1537974000,DIME,9.0e-06,9.0e-06,8.0e-06,9.0e-06,6897.0,4685255.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023744,1537887600,DIME,9.0e-06,9.0e-06,8.0e-06,9.0e-06,6310.0,4706290.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023745,1537801200,DIME,1.0e-05,1.1e-05,8.0e-06,9.0e-06,11804.0,5164105.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023746,1537714800,DIME,1.0e-05,1.0e-05,9.0e-06,1.0e-05,4561.0,5370581.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023747,1537628400,DIME,1.2e-05,1.4e-05,9.0e-06,1.0e-05,2940.0,6414966.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023748,1537542000,DIME,9.0e-06,1.2e-05,8.0e-06,1.2e-05,3099.0,4946782.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023749,1537455600,DIME,9.0e-06,9.0e-06,8.0e-06,9.0e-06,13571.0,4676858.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023750,1537369200,DIME,1.0e-05,1.0e-05,8.0e-06,9.0e-06,3896.0,5340024.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023751,1537282800,DIME,9.0e-06,1.4e-05,8.0e-06,1.0e-05,3999.0,4964145.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023752,1537196400,DIME,8.0e-06,9.0e-06,8.0e-06,9.0e-06,2734.0,4349809.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023753,1537110000,DIME,1.1e-05,1.2e-05,8.0e-06,8.0e-06,3189.0,6180691.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023754,1537023600,DIME,1.2e-05,1.6e-05,1.1e-05,1.1e-05,1667.0,6504881.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023755,1536937200,DIME,9.0e-06,1.2e-05,9.0e-06,1.2e-05,2648.0,4972357.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023756,1536850800,DIME,9.0e-06,1.0e-05,8.0e-06,9.0e-06,6438.0,4958486.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023757,1536764400,DIME,8.0e-06,1.0e-05,7.0e-06,9.0e-06,6108.0,4086631.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023758,1536678000,DIME,8.0e-06,9.0e-06,7.0e-06,8.0e-06,9116.0,4380077.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023759,1536591600,DIME,1.1e-05,1.1e-05,7.0e-06,8.0e-06,7210.0,5687528.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023760,1536505200,DIME,9.0e-06,1.3e-05,9.0e-06,1.1e-05,5429.0,4917992.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023761,1536418800,DIME,1.2e-05,1.5e-05,9.0e-06,9.0e-06,3160.0,6483113.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023762,1536332400,DIME,1.0e-05,1.3e-05,1.0e-05,1.2e-05,7100.0,5127967.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023763,1536246000,DIME,9.0e-06,1.0e-05,9.0e-06,1.0e-05,6590.0,5004667.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023764,1536159600,DIME,9.0e-06,1.0e-05,9.0e-06,9.0e-06,12253.0,4909201.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023765,1536073200,DIME,1.1e-05,1.4e-05,9.0e-06,9.0e-06,7850.0,5840405.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023766,1535986800,DIME,1.3e-05,1.3e-05,1.0e-05,1.1e-05,14169.0,6814108.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023767,1535900400,DIME,2.5e-05,2.6e-05,1.2e-05,1.3e-05,5032.0,13329141.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023768,1535814000,DIME,1.2e-05,2.5e-05,1.1e-05,2.5e-05,6796.0,6536968.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023769,1535727600,DIME,1.1e-05,1.3e-05,1.0e-05,1.2e-05,15382.0,6174504.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023770,1535641200,DIME,1.3e-05,1.3e-05,1.1e-05,1.1e-05,9529.0,6890781.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023771,1535554800,DIME,1.1e-05,1.3e-05,1.1e-05,1.3e-05,8977.0,6068138.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023772,1535468400,DIME,1.2e-05,1.3e-05,1.1e-05,1.1e-05,9126.0,6716803.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
1023773,1535382000,DIME,1.6e-05,1.6e-05,1.2e-05,1.3e-05,9097.0,8452396.0,2018-10-13 07:38:51 UTC,2018-10-13 07:38:51 UTC
