id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1479553,1539270000,ENT,0.006416,0.0118,0.006231,0.008451,38.0,30183.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479554,1539183600,ENT,0.006896,0.006903,0.006148,0.006424,17.0,32419.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479555,1539097200,ENT,0.006178,0.006922,0.006162,0.006919,5.0,29043.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479556,1539010800,ENT,0.006506,0.007879,0.00646,0.007879,4.0,30545.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479557,1538924400,ENT,0.007699,0.008843,0.006483,0.006483,20.0,36129.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479558,1538838000,ENT,0.009411,0.009411,0.007637,0.007663,14.0,44144.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479559,1538751600,ENT,0.012382,0.012385,0.009367,0.009376,143.0,58059.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479560,1538665200,ENT,0.01089,0.012368,0.007406,0.012354,112.0,51042.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479561,1538578800,ENT,0.012271,0.012436,0.010861,0.010861,12.0,57491.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479562,1538492400,ENT,0.010222,0.012261,0.007917,0.012256,583.0,47864.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479563,1538406000,ENT,0.010958,0.010998,0.007655,0.010216,26.0,51291.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479564,1538319600,ENT,0.010507,0.011101,0.007631,0.010989,156.0,49149.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479565,1538233200,ENT,0.009752,0.010573,0.007244,0.010539,208.0,45582.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479566,1538146800,ENT,0.008984,0.01034,0.008031,0.009755,241.0,41969.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
1479567,1538060400,ENT,0.011193,0.011382,0.006455,0.00899,56.0,52265.0,2018-10-13 08:15:39 UTC,2018-10-13 08:15:39 UTC
