id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933587,1540339200,EOS,5.41,5.44,5.37,5.38,312068000.0,4903114800.0,2018-10-26 00:12:22 UTC,2018-10-26 00:12:22 UTC
932075,1540252800,EOS,5.38,5.43,5.35,5.42,329169000.0,4880072692.0,2018-10-25 00:15:22 UTC,2018-10-25 00:15:22 UTC
930422,1540166400,EOS,5.41,5.48,5.37,5.38,348657000.0,4904386130.0,2018-10-24 00:20:28 UTC,2018-10-24 00:20:28 UTC
928688,1540080000,EOS,5.37,5.5,5.36,5.42,443995000.0,4869297929.0,2018-10-23 00:25:48 UTC,2018-10-23 00:25:48 UTC
925505,1539993600,EOS,5.34,5.42,5.33,5.37,366171000.0,4837238537.0,2018-10-22 00:16:12 UTC,2018-10-22 00:16:12 UTC
923746,1539907200,EOS,5.36,5.37,5.29,5.33,378435000.0,4853112018.0,2018-10-21 00:16:18 UTC,2018-10-21 00:16:18 UTC
642915,1539820800,EOS,5.42,5.45,5.32,5.35,440484000.0,4908840108.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
642916,1539734400,EOS,5.45,5.46,5.37,5.41,401459000.0,4940517064.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
642917,1539648000,EOS,5.48,5.51,5.4,5.44,425119000.0,4963761409.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
642918,1539561600,EOS,5.16,5.64,5.11,5.47,918475000.0,4680562403.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
642919,1539475200,EOS,5.25,5.28,5.16,5.17,372903000.0,4758648105.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
642920,1539388800,EOS,5.18,5.28,5.18,5.25,362609000.0,4692527256.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
642921,1539302400,EOS,5.04,5.24,5.03,5.18,525307000.0,4567337076.0,2018-10-19 04:18:46 UTC,2018-10-19 04:18:46 UTC
