id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1537758,1539270000,GNO,19.62,20.42,19.5,19.58,814778.0,21677149.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537759,1539183600,GNO,21.21,21.54,19.58,19.61,1027240.0,23431071.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537760,1539097200,GNO,21.15,21.43,20.75,21.21,689551.0,23363966.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537761,1539010800,GNO,21.52,21.61,20.99,21.19,520131.0,23767312.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537762,1538924400,GNO,21.54,21.87,21.35,21.52,460700.0,23790478.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537763,1538838000,GNO,21.8,21.95,21.4,21.53,495180.0,24081519.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537764,1538751600,GNO,21.9,22.17,21.49,21.77,682885.0,24188020.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537765,1538665200,GNO,21.76,22.13,21.4,21.89,686315.0,24037726.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537766,1538578800,GNO,22.49,22.85,21.2,21.71,1011490.0,24842191.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537767,1538492400,GNO,25.42,25.42,22.27,22.49,801203.0,28074846.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537768,1538406000,GNO,26.08,26.27,25.23,25.41,830339.0,28802634.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537769,1538319600,GNO,25.8,28.47,25.67,26.13,1286340.0,28501961.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537770,1538233200,GNO,25.32,25.94,25.12,25.82,854164.0,27969607.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537771,1538146800,GNO,24.92,25.68,24.48,25.34,462626.0,27522896.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537772,1538060400,GNO,25.51,25.74,24.42,24.95,444282.0,28174632.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537773,1537974000,GNO,24.31,25.89,24.07,25.5,745687.0,26854415.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537774,1537887600,GNO,24.8,25.03,24.02,24.32,465001.0,27389723.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537775,1537801200,GNO,25.75,25.75,24.06,24.77,299393.0,28442699.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537776,1537714800,GNO,27.27,27.29,25.13,25.76,236124.0,30118213.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537777,1537628400,GNO,26.84,27.54,26.52,27.21,648962.0,29641899.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537778,1537542000,GNO,27.41,27.84,26.45,26.82,1376800.0,30279576.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537779,1537455600,GNO,26.77,28.04,26.24,27.33,1123960.0,29567814.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537780,1537369200,GNO,26.4,26.81,25.78,26.77,1307910.0,29161772.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537781,1537282800,GNO,26.99,27.15,25.5,26.41,702640.0,29811141.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537782,1537196400,GNO,27.0,27.3,25.96,27.03,1343610.0,29818846.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537783,1537110000,GNO,28.4,29.38,26.38,27.0,867621.0,31365997.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537784,1537023600,GNO,27.94,28.51,26.76,28.42,1072840.0,30858375.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537785,1536937200,GNO,27.66,28.57,27.42,27.92,261888.0,30550694.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537786,1536850800,GNO,27.89,29.04,27.57,27.7,939139.0,30806471.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537787,1536764400,GNO,26.31,28.6,26.31,28.22,1142130.0,29061362.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537788,1536678000,GNO,28.65,28.73,25.86,26.28,905666.0,31641314.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537789,1536591600,GNO,29.83,30.31,28.44,28.65,709945.0,32947438.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537790,1536505200,GNO,29.75,30.04,28.99,29.79,1108280.0,32859599.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537791,1536418800,GNO,29.13,30.33,28.64,29.74,1195070.0,32176982.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537792,1536332400,GNO,29.77,30.33,26.77,29.27,1390350.0,32882634.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537793,1536246000,GNO,30.26,30.67,29.49,29.77,1123570.0,33425408.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537794,1536159600,GNO,30.19,31.08,28.88,30.22,1180160.0,33349589.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537795,1536073200,GNO,36.68,37.8,30.19,30.19,1073950.0,40514048.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537796,1535986800,GNO,34.25,37.13,33.9,36.75,899292.0,37830088.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537797,1535900400,GNO,34.99,35.27,34.18,34.24,927933.0,38647697.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537798,1535814000,GNO,35.1,35.66,34.68,34.99,837468.0,38767707.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537799,1535727600,GNO,34.18,35.79,33.35,35.09,1018420.0,37750239.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537800,1535641200,GNO,34.24,35.03,33.63,34.17,866881.0,37816141.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537801,1535554800,GNO,34.23,34.42,32.81,34.18,1278570.0,37804848.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537802,1535468400,GNO,34.1,35.57,33.44,34.21,1778410.0,37661760.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537803,1535382000,GNO,31.02,35.37,30.95,34.17,1264150.0,34269877.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537804,1535295600,GNO,30.42,31.14,29.35,30.91,760665.0,33599011.0,2018-10-13 08:20:24 UTC,2018-10-13 08:20:24 UTC
1537805,1535209200,GNO,30.7,30.72,29.97,30.35,545567.0,33914382.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537806,1535122800,GNO,32.14,32.14,30.54,30.67,197017.0,35497114.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537807,1535036400,GNO,30.11,32.15,29.78,32.15,483105.0,33262501.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537808,1534950000,GNO,30.2,30.41,29.59,30.07,404450.0,33353316.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537809,1534863600,GNO,30.93,32.19,29.37,30.18,327379.0,34162599.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537810,1534777200,GNO,29.26,31.06,29.23,30.88,250084.0,32318190.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537811,1534690800,GNO,30.8,31.1,29.19,29.35,257440.0,34019698.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537812,1534604400,GNO,30.55,31.28,30.02,30.8,472559.0,33742596.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537813,1534518000,GNO,32.75,33.12,30.38,30.53,708113.0,36171636.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537814,1534431600,GNO,30.18,33.2,30.18,32.64,631029.0,33336301.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537815,1534345200,GNO,29.98,31.38,29.52,30.14,755532.0,33113433.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537816,1534258800,GNO,30.99,32.01,29.94,29.96,186071.0,34234499.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537817,1534172400,GNO,31.07,31.07,28.9,30.9,349652.0,34314662.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537818,1534086000,GNO,32.58,33.73,30.91,31.07,381792.0,35983086.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537819,1533999600,GNO,33.1,33.74,32.36,32.51,441933.0,36566562.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537820,1533913200,GNO,34.82,34.82,31.99,33.25,270874.0,38461676.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537821,1533826800,GNO,37.85,38.01,34.4,34.79,1216540.0,41812080.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537822,1533740400,GNO,36.74,38.88,35.13,37.89,664516.0,40585794.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537823,1533654000,GNO,41.83,41.83,36.42,36.74,714064.0,46208213.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537824,1533567600,GNO,44.27,44.57,41.58,41.9,512354.0,48899791.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537825,1533481200,GNO,44.93,45.77,43.94,44.33,797269.0,49634184.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537826,1533394800,GNO,42.92,45.3,42.36,44.88,992613.0,47405642.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537827,1533308400,GNO,45.04,45.62,42.65,43.09,952276.0,49748860.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537828,1533222000,GNO,47.03,47.03,44.74,44.91,123567.0,51952659.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537829,1533135600,GNO,49.28,49.9,46.49,47.04,797987.0,54439486.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537830,1533049200,GNO,49.46,52.16,47.9,49.28,1852670.0,54634276.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537831,1532962800,GNO,52.08,52.1,48.35,49.56,1333070.0,57521652.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537832,1532876400,GNO,53.64,53.86,51.3,52.48,1169230.0,59251311.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537833,1532790000,GNO,50.41,53.79,50.41,53.59,1073620.0,55676972.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537834,1532703600,GNO,51.34,51.51,49.86,50.37,982425.0,56706224.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537835,1532617200,GNO,49.77,51.81,48.18,51.34,1280770.0,54971248.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537836,1532530800,GNO,51.39,52.76,49.12,49.77,938570.0,56764768.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537837,1532444400,GNO,52.07,52.35,50.56,51.44,933029.0,57518876.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537838,1532358000,GNO,49.29,53.24,48.06,52.02,1194050.0,54449108.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537839,1532271600,GNO,50.31,55.3,47.93,49.3,1114500.0,55566620.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537840,1532185200,GNO,51.64,52.31,47.33,50.31,1181160.0,57040144.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537841,1532098800,GNO,51.64,53.0,50.25,51.66,1572170.0,57040584.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
1537842,1532012400,GNO,54.57,54.57,50.64,51.64,1258500.0,60274716.0,2018-10-13 08:20:25 UTC,2018-10-13 08:20:25 UTC
