id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933869,1540339200,GRIM,0.000322,0.000377,0.000322,0.000377,5.0,25432.0,2018-10-26 00:19:59 UTC,2018-10-26 00:19:59 UTC
932357,1540252800,GRIM,0.000387,0.000389,0.000321,0.000323,89.0,30539.0,2018-10-25 00:22:50 UTC,2018-10-25 00:22:50 UTC
930780,1540166400,GRIM,0.000484,0.000484,0.000341,0.000387,287.0,38163.0,2018-10-24 00:28:22 UTC,2018-10-24 00:28:22 UTC
929015,1540080000,GRIM,0.000439,0.000491,0.00038,0.000485,92.0,34508.0,2018-10-23 00:33:14 UTC,2018-10-23 00:33:14 UTC
925780,1539993600,GRIM,0.000367,0.000903,0.00031,0.000439,290.0,28806.0,2018-10-22 00:23:44 UTC,2018-10-22 00:23:44 UTC
924032,1539907200,GRIM,0.000318,0.000369,0.000223,0.000367,39.0,24930.0,2018-10-21 00:24:31 UTC,2018-10-21 00:24:31 UTC
759858,1539820800,GRIM,0.000327,0.000329,0.000196,0.000318,1.0,25660.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759859,1539734400,GRIM,0.000255,0.000328,0.000195,0.000326,17.0,19941.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759860,1539648000,GRIM,0.000264,0.000327,0.000253,0.000254,6.0,20576.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759861,1539561600,GRIM,0.000308,0.000309,0.000248,0.000264,68.0,23971.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759862,1539475200,GRIM,0.000265,0.000311,0.000246,0.000308,84.0,20591.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759863,1539388800,GRIM,0.000187,0.000314,0.000187,0.000265,23.0,14484.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759864,1539302400,GRIM,0.000186,0.000252,0.000186,0.000187,6.0,14368.0,2018-10-19 04:39:33 UTC,2018-10-19 04:39:33 UTC
759865,1539216000,GRIM,0.000301,0.000313,0.000185,0.000186,20.0,23165.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759866,1539129600,GRIM,0.000264,0.000265,0.000196,0.000198,15.0,20287.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759867,1539043200,GRIM,0.000199,0.000266,0.000161,0.000265,134.0,15273.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759868,1538956800,GRIM,0.000198,0.000329,0.000197,0.000199,55.0,15087.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759869,1538870400,GRIM,0.000197,0.00022,0.000196,0.000197,15.0,15033.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759870,1538784000,GRIM,0.000267,0.000331,0.000197,0.000197,25.0,20297.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759871,1538697600,GRIM,0.000306,0.000312,0.000262,0.000267,240.0,23199.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759872,1538611200,GRIM,0.000195,0.000307,0.000194,0.000306,12.0,14723.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759873,1538524800,GRIM,0.000212,0.000219,0.000193,0.000195,0.0,15944.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759874,1538438400,GRIM,0.000263,0.000264,0.000212,0.000212,11.0,19749.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759875,1538352000,GRIM,0.000333,0.000335,0.000261,0.000264,4.0,24953.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
759876,1538265600,GRIM,0.000265,0.000398,0.000264,0.000334,8.0,19803.0,2018-10-19 04:39:34 UTC,2018-10-19 04:39:34 UTC
