id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
934526,1540339200,HDAC,0.046824,0.053776,0.042656,0.046929,550740.0,0.0,2018-10-26 00:32:14 UTC,2018-10-26 00:32:14 UTC
933014,1540252800,HDAC,0.053855,0.057033,0.047287,0.047287,476957.0,0.0,2018-10-25 00:35:17 UTC,2018-10-25 00:35:17 UTC
931430,1540166400,HDAC,0.062055,0.062055,0.051655,0.05362,796118.0,0.0,2018-10-24 00:41:40 UTC,2018-10-24 00:41:40 UTC
929698,1540080000,HDAC,0.052507,0.063722,0.052326,0.062094,749088.0,0.0,2018-10-23 00:45:17 UTC,2018-10-23 00:45:17 UTC
926431,1539993600,HDAC,0.048783,0.053297,0.048262,0.053101,460397.0,0.0,2018-10-22 00:35:49 UTC,2018-10-22 00:35:49 UTC
924718,1539907200,HDAC,0.039453,0.048915,0.039039,0.048263,740874.0,0.0,2018-10-21 00:38:16 UTC,2018-10-21 00:38:16 UTC
904657,1539820800,HDAC,0.039338,0.039683,0.037163,0.039683,284281.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904658,1539734400,HDAC,0.029463,0.041597,0.029138,0.036581,650114.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904659,1539648000,HDAC,0.029844,0.030816,0.029014,0.029566,232805.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904660,1539561600,HDAC,0.028683,0.032378,0.028437,0.029903,252608.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904661,1539475200,HDAC,0.029306,0.030413,0.028643,0.028848,142682.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904662,1539388800,HDAC,0.029446,0.03151,0.028975,0.029123,221968.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904663,1539302400,HDAC,0.02839,0.030445,0.028099,0.029458,221460.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904664,1539216000,HDAC,0.032662,0.032673,0.028287,0.028636,205802.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904665,1539129600,HDAC,0.031711,0.032777,0.031165,0.032744,227780.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904666,1539043200,HDAC,0.032844,0.033724,0.03167,0.032131,184754.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904667,1538956800,HDAC,0.032154,0.033956,0.031711,0.032756,196569.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904668,1538870400,HDAC,0.03333,0.033782,0.031333,0.032023,210024.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904669,1538784000,HDAC,0.035144,0.036039,0.032857,0.033233,216353.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904670,1538697600,HDAC,0.035753,0.037678,0.034682,0.035543,224794.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904671,1538611200,HDAC,0.037799,0.039291,0.035493,0.035493,219476.0,0.0,2018-10-19 05:07:52 UTC,2018-10-19 05:07:52 UTC
904672,1538524800,HDAC,0.043158,0.043306,0.036318,0.037423,362770.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904673,1538438400,HDAC,0.045379,0.047826,0.041981,0.043137,330653.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904674,1538352000,HDAC,0.046756,0.058444,0.04516,0.045496,705504.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904675,1538265600,HDAC,0.047033,0.048169,0.043694,0.046864,334469.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904676,1538179200,HDAC,0.048046,0.050344,0.046198,0.047057,326354.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904677,1538092800,HDAC,0.055369,0.056361,0.046933,0.04809,449576.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904678,1538006400,HDAC,0.045557,0.056154,0.045557,0.055366,545491.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904679,1537920000,HDAC,0.045551,0.047769,0.04203,0.045519,267623.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904680,1537833600,HDAC,0.047866,0.048738,0.042266,0.045011,194606.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904681,1537747200,HDAC,0.05428,0.054296,0.046451,0.047908,146122.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904682,1537660800,HDAC,0.053498,0.054925,0.05313,0.054245,201727.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904683,1537574400,HDAC,0.054422,0.055757,0.052272,0.05347,321347.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904684,1537488000,HDAC,0.052685,0.05535,0.051063,0.054303,418591.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904685,1537401600,HDAC,0.051005,0.052784,0.04978,0.052675,344742.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904686,1537315200,HDAC,0.050221,0.052844,0.047834,0.05099,329017.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904687,1537228800,HDAC,0.048714,0.051421,0.048083,0.050528,264320.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904688,1537142400,HDAC,0.049381,0.054688,0.047901,0.04871,381446.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904689,1537056000,HDAC,0.050787,0.05204,0.048966,0.050118,288115.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904690,1536969600,HDAC,0.052174,0.054735,0.04933,0.050673,316967.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904691,1536883200,HDAC,0.0544,0.056445,0.049002,0.052337,574144.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904692,1536796800,HDAC,0.034143,0.064618,0.034143,0.05449,786291.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904693,1536710400,HDAC,0.035977,0.03639,0.032987,0.033821,249539.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904694,1536624000,HDAC,0.038349,0.038777,0.035623,0.035716,211633.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904695,1536537600,HDAC,0.039497,0.040258,0.037959,0.038288,260720.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904696,1536451200,HDAC,0.040355,0.041499,0.038223,0.03951,166318.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904697,1536364800,HDAC,0.042467,0.046927,0.040342,0.040584,249220.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904698,1536278400,HDAC,0.04411,0.045347,0.04209,0.042427,251147.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904699,1536192000,HDAC,0.045622,0.046207,0.041603,0.044136,445142.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904700,1536105600,HDAC,0.054518,0.056877,0.045613,0.045613,319448.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904701,1536019200,HDAC,0.056817,0.05709,0.054229,0.054504,374369.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904702,1535932800,HDAC,0.056606,0.058802,0.05397,0.056797,376192.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904703,1535846400,HDAC,0.057193,0.058788,0.055282,0.0568,345572.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904704,1535760000,HDAC,0.056117,0.060214,0.055111,0.05717,266294.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904705,1535673600,HDAC,0.059733,0.061023,0.053818,0.056171,368814.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904706,1535587200,HDAC,0.062899,0.064017,0.055783,0.059671,319067.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904707,1535500800,HDAC,0.063028,0.068905,0.059048,0.062818,438140.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904708,1535414400,HDAC,0.06848,0.069069,0.061367,0.062992,400478.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904709,1535328000,HDAC,0.071041,0.071453,0.064276,0.068496,453990.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904710,1535241600,HDAC,0.073144,0.073736,0.069391,0.071047,410823.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904711,1535155200,HDAC,0.073332,0.075921,0.071561,0.072379,436181.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904712,1535068800,HDAC,0.071013,0.075732,0.065482,0.072785,613454.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904713,1534982400,HDAC,0.070415,0.071751,0.06887,0.070962,402376.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904714,1534896000,HDAC,0.072014,0.077121,0.069906,0.070327,568254.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904715,1534809600,HDAC,0.070745,0.074852,0.069792,0.072011,840320.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904716,1534723200,HDAC,0.066587,0.075438,0.066581,0.071527,761655.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904717,1534636800,HDAC,0.056096,0.073542,0.055315,0.066646,917628.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904718,1534550400,HDAC,0.057341,0.058197,0.053473,0.056068,321418.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904719,1534464000,HDAC,0.053834,0.058573,0.052514,0.057173,457500.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904720,1534377600,HDAC,0.05412,0.058051,0.052126,0.053757,240959.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904721,1534291200,HDAC,0.058329,0.060991,0.052908,0.054146,337503.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904722,1534204800,HDAC,0.059061,0.059061,0.050884,0.057255,446619.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904723,1534118400,HDAC,0.060364,0.066903,0.057726,0.059089,303074.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904724,1534032000,HDAC,0.065363,0.067922,0.058762,0.060336,345524.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904725,1533945600,HDAC,0.06833,0.070418,0.063051,0.065587,324694.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904726,1533859200,HDAC,0.075537,0.076145,0.066775,0.06836,329605.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904727,1533772800,HDAC,0.07062,0.076204,0.07062,0.074635,468952.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904728,1533686400,HDAC,0.076213,0.078027,0.070424,0.070477,517354.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904729,1533600000,HDAC,0.080562,0.087143,0.076315,0.076315,471717.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904730,1533513600,HDAC,0.0829,0.087577,0.076678,0.07998,432019.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904731,1533427200,HDAC,0.086209,0.089425,0.08071,0.082809,377873.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904732,1533340800,HDAC,0.097079,0.099089,0.080292,0.085181,417642.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904733,1533254400,HDAC,0.102743,0.102743,0.092241,0.095435,491618.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
904734,1533168000,HDAC,0.109424,0.122524,0.100967,0.102735,587849.0,0.0,2018-10-19 05:07:53 UTC,2018-10-19 05:07:53 UTC
