id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1476165,1539270000,IOP,0.250273,0.254891,0.226126,0.231551,53609.0,1274971.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476166,1539183600,IOP,0.281339,0.286758,0.247298,0.248398,77917.0,1430782.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476167,1539097200,IOP,0.287695,0.302222,0.279098,0.282928,94435.0,1460719.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476168,1539010800,IOP,0.286286,0.29711,0.283723,0.288823,97303.0,1440524.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476169,1538924400,IOP,0.277973,0.288733,0.276941,0.285146,81968.0,1398697.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476170,1538838000,IOP,0.275568,0.280274,0.273533,0.277213,63872.0,1386596.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476171,1538751600,IOP,0.282962,0.290148,0.269517,0.277751,70765.0,1423801.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476172,1538665200,IOP,0.310642,0.311721,0.275951,0.281986,94599.0,1563078.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476173,1538578800,IOP,0.275909,0.31784,0.274031,0.308226,77728.0,1387140.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476174,1538492400,IOP,0.293916,0.295013,0.269871,0.275947,70419.0,1475598.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476175,1538406000,IOP,0.294613,0.306156,0.284796,0.294913,116650.0,1476279.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476176,1538319600,IOP,0.27764,0.308337,0.27432,0.292244,110564.0,1388997.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476177,1538233200,IOP,0.297717,0.300937,0.271341,0.278984,69033.0,1487190.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476178,1538146800,IOP,0.303425,0.309576,0.291987,0.296285,73280.0,1513369.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476179,1538060400,IOP,0.306156,0.315217,0.299222,0.303102,122492.0,1524953.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476180,1537974000,IOP,0.300032,0.314272,0.290647,0.30732,112210.0,1491883.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476181,1537887600,IOP,0.281512,0.310384,0.280513,0.300493,84100.0,1397612.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476182,1537801200,IOP,0.322917,0.322917,0.275711,0.282697,83793.0,1600817.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476183,1537714800,IOP,0.326178,0.332639,0.317502,0.321513,98818.0,1614472.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476184,1537628400,IOP,0.33307,0.334778,0.319455,0.325898,96245.0,1646104.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476185,1537542000,IOP,0.33194,0.338265,0.318701,0.331085,75124.0,1638030.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476186,1537455600,IOP,0.321072,0.337402,0.304978,0.331307,103127.0,1581941.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476187,1537369200,IOP,0.303143,0.339431,0.297774,0.320978,185294.0,1491289.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476188,1537282800,IOP,0.336231,0.338183,0.287823,0.302463,128273.0,1650984.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476189,1537196400,IOP,0.337662,0.404592,0.326434,0.33652,369837.0,1655158.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476190,1537110000,IOP,0.215269,0.464559,0.215269,0.337993,1652160.0,1053486.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476191,1537023600,IOP,0.239626,0.246434,0.213171,0.216313,27673.0,1170756.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476192,1536937200,IOP,0.229085,0.249548,0.219616,0.237608,39562.0,1117742.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476193,1536850800,IOP,0.270309,0.282651,0.213407,0.233104,29665.0,1316719.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476194,1536764400,IOP,0.26558,0.281545,0.261105,0.270475,38370.0,1291522.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476195,1536678000,IOP,0.264313,0.270507,0.249391,0.26457,21766.0,1152457.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476196,1536591600,IOP,0.265317,0.278287,0.255363,0.265779,26929.0,1156839.0,2018-10-13 08:15:21 UTC,2018-10-13 08:15:21 UTC
1476197,1536505200,IOP,0.274305,0.278625,0.257903,0.265933,35413.0,1196028.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476198,1536418800,IOP,0.282741,0.291625,0.266284,0.274773,47982.0,1232808.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476199,1536332400,IOP,0.306334,0.316119,0.275155,0.281576,29599.0,1335679.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476200,1536246000,IOP,0.335778,0.344654,0.29278,0.307214,33970.0,1464061.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476201,1536159600,IOP,0.365898,0.367229,0.322085,0.337043,69133.0,1595393.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476202,1536073200,IOP,0.426177,0.436377,0.365633,0.365633,51671.0,1858221.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476203,1535986800,IOP,0.424275,0.439323,0.416082,0.426466,59057.0,1849925.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476204,1535900400,IOP,0.422525,0.426841,0.40603,0.424559,51996.0,1842294.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476205,1535814000,IOP,0.436649,0.451274,0.414081,0.42107,89991.0,1903881.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
1476206,1535727600,IOP,0.418891,0.451383,0.416985,0.436112,47483.0,1826451.0,2018-10-13 08:15:22 UTC,2018-10-13 08:15:22 UTC
