id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
940164,1540944000,JSE,0.002634,0.003192,0.002623,0.002967,5737.0,0.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
940165,1540857600,JSE,0.002606,0.00275,0.002408,0.002632,2999.0,1155688.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
940166,1540771200,JSE,0.002964,0.002992,0.002221,0.002607,4460.0,1314406.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
940167,1540684800,JSE,0.002928,0.003062,0.002655,0.002967,6126.0,1298599.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
940168,1540598400,JSE,0.002549,0.002938,0.002402,0.002927,3742.0,1130629.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
940169,1540512000,JSE,0.001984,0.002853,0.001945,0.002547,14716.0,879956.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
940170,1540425600,JSE,0.001851,0.002761,0.001584,0.001987,7317.0,0.0,2018-11-01 00:25:03 UTC,2018-11-01 00:25:03 UTC
934935,1540339200,JSE,0.001414,0.001848,0.001414,0.001833,2995.0,0.0,2018-10-26 00:37:04 UTC,2018-10-26 00:37:04 UTC
933423,1540252800,JSE,0.001255,0.001637,0.001061,0.001416,3042.0,0.0,2018-10-25 00:39:59 UTC,2018-10-25 00:39:59 UTC
931836,1540166400,JSE,0.001831,0.002193,0.001009,0.001254,2471.0,0.0,2018-10-24 00:46:40 UTC,2018-10-24 00:46:40 UTC
930105,1540080000,JSE,0.001916,0.002307,0.0016,0.00183,2260.0,0.0,2018-10-23 00:49:51 UTC,2018-10-23 00:49:51 UTC
926837,1539993600,JSE,0.002226,0.00236,0.001732,0.001916,3424.0,0.0,2018-10-22 00:40:28 UTC,2018-10-22 00:40:28 UTC
925134,1539907200,JSE,0.002242,0.002947,0.001721,0.002228,3049.0,0.0,2018-10-21 00:43:43 UTC,2018-10-21 00:43:43 UTC
923495,1539820800,JSE,0.002484,0.002536,0.001855,0.002242,2742.0,0.0,2018-10-19 05:15:05 UTC,2018-10-19 05:15:05 UTC
