id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1296751,1539010800,LEA,0.000133,0.000133,0.000132,0.000132,23.0,53094.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296752,1538924400,LEA,0.000131,0.000134,6.6e-05,0.000133,27.0,52281.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296753,1538146800,LEA,0.000133,0.000133,0.00013,0.000132,1.0,52405.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296754,1538060400,LEA,0.000133,0.000134,0.000131,0.000133,1.0,52628.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296755,1537974000,LEA,6.5e-05,6.5e-05,6.5e-05,6.5e-05,102.0,25539.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296756,1537887600,LEA,6.4e-05,6.5e-05,6.4e-05,6.5e-05,101.0,25307.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296757,1537801200,LEA,6.4e-05,6.4e-05,6.4e-05,6.4e-05,92.0,25306.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296758,1537714800,LEA,0.000134,0.000134,0.000132,0.000132,7.0,52667.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296759,1537628400,LEA,0.000134,0.000203,0.000134,0.000134,14.0,52725.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296760,1537542000,LEA,6.7e-05,0.000201,6.5e-05,0.000134,480.0,26488.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296761,1537455600,LEA,6.7e-05,6.8e-05,6.7e-05,6.7e-05,1.0,26338.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296762,1537023600,LEA,0.000131,0.000131,0.000129,0.00013,3.0,51076.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296763,1536937200,LEA,0.00013,0.000131,0.000129,0.00013,3.0,50634.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296764,1536850800,LEA,0.00013,0.000132,0.000128,0.00013,84.0,50608.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296765,1536764400,LEA,0.000129,0.00013,0.000129,0.00013,217.0,50220.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296766,1536678000,LEA,0.000126,0.000126,0.000126,0.000126,1.0,48986.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296767,1536591600,LEA,0.000126,0.000128,0.000125,0.000126,1.0,49164.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296768,1536505200,LEA,0.000126,0.000126,0.000126,0.000126,4.0,48870.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296769,1536332400,LEA,6.5e-05,6.5e-05,6.4e-05,6.5e-05,4.0,25038.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296770,1536246000,LEA,6.5e-05,6.5e-05,6.4e-05,6.4e-05,4.0,25124.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296771,1536073200,LEA,0.000147,0.000148,0.000139,0.00014,28.0,56922.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296772,1535986800,LEA,0.000147,0.000148,0.000147,0.000147,29.0,56947.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296773,1535900400,LEA,7.3e-05,7.3e-05,7.2e-05,7.2e-05,17.0,28138.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296774,1535814000,LEA,7.2e-05,7.3e-05,7.2e-05,7.3e-05,17.0,27966.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296775,1535641200,LEA,0.00014,0.000141,0.000138,0.00014,108.0,53917.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296776,1535554800,LEA,0.000141,0.000141,6.8e-05,0.00014,27815.0,54191.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296777,1535468400,LEA,0.000211,0.000212,7.0e-05,7.0e-05,11229.0,81222.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296778,1535382000,LEA,0.000197,0.000273,0.000141,0.000211,10012.0,75914.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296779,1535295600,LEA,0.0002,0.000401,0.000193,0.000198,18857.0,77025.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296780,1535209200,LEA,0.000135,0.00027,0.000132,0.0002,75439.0,51940.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296781,1535122800,LEA,0.00012,0.000135,6.7e-05,0.000135,8258.0,45900.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296782,1535036400,LEA,8.4e-05,0.00012,7.4e-05,0.00012,63.0,32046.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296783,1534950000,LEA,0.000127,0.000129,8.3e-05,8.3e-05,479.0,48813.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296784,1534863600,LEA,0.000124,0.000134,0.000106,0.000127,66.0,47632.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296785,1534777200,LEA,0.000126,0.000193,0.000123,0.000124,386.0,48075.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296786,1534690800,LEA,0.00013,0.000131,0.00012,0.000126,299.0,49625.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296787,1534604400,LEA,0.000128,0.000193,0.000127,0.00013,205.0,48967.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296788,1534518000,LEA,0.00013,0.00019,0.000123,0.000128,189.0,49693.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296789,1534431600,LEA,0.000126,0.000188,0.000104,0.00013,3032.0,48246.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296790,1534345200,LEA,0.000293,0.00031,6.5e-05,0.000126,15757.0,111890.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296791,1534258800,LEA,0.000248,0.000333,0.000248,0.000294,503.0,94459.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296792,1534172400,LEA,0.000306,0.000306,0.000238,0.000248,158.0,116420.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296793,1534086000,LEA,0.000253,0.000308,0.000247,0.000306,314.0,96282.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296794,1533999600,LEA,0.000313,0.000315,0.000251,0.000253,168.0,118998.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296795,1533913200,LEA,0.000308,0.000338,0.000282,0.000314,369.0,117084.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296796,1533826800,LEA,0.000327,0.000328,0.000303,0.000308,244.0,124306.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296797,1533740400,LEA,0.000267,0.000331,0.000249,0.000327,101.0,101319.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296798,1533654000,LEA,0.000366,0.000366,0.000247,0.000266,515.0,139223.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296799,1533567600,LEA,0.000282,0.000367,0.000278,0.000366,1128.0,106761.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296800,1533481200,LEA,0.000282,0.000348,0.000278,0.000282,524.0,106583.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
1296801,1533394800,LEA,0.000357,0.000357,0.000277,0.000282,64.0,134975.0,2018-10-13 08:00:28 UTC,2018-10-13 08:00:28 UTC
