id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933650,1540339200,MAO,0.053705,0.054364,0.053398,0.053635,546.0,338027.0,2018-10-26 00:14:17 UTC,2018-10-26 00:14:17 UTC
932138,1540252800,MAO,0.053552,0.053908,0.053325,0.053755,552.0,337053.0,2018-10-25 00:17:11 UTC,2018-10-25 00:17:11 UTC
930484,1540166400,MAO,0.053928,0.054648,0.053462,0.053557,917.0,339409.0,2018-10-24 00:22:18 UTC,2018-10-24 00:22:18 UTC
928802,1540080000,MAO,0.052813,0.054427,0.0524,0.053956,531.0,332378.0,2018-10-23 00:27:42 UTC,2018-10-23 00:27:42 UTC
925567,1539993600,MAO,0.053505,0.053906,0.052383,0.052801,637.0,336725.0,2018-10-22 00:18:04 UTC,2018-10-22 00:18:04 UTC
923814,1539907200,MAO,0.053885,0.054009,0.053435,0.053501,1181.0,339101.0,2018-10-21 00:18:36 UTC,2018-10-21 00:18:36 UTC
674759,1539820800,MAO,0.054553,0.054752,0.053484,0.053893,190.0,343295.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674760,1539734400,MAO,0.05494,0.05501,0.054103,0.05434,501.0,345720.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674761,1539648000,MAO,0.055059,0.055781,0.046473,0.054751,936.0,346453.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674762,1539561600,MAO,0.052021,0.05897,0.051752,0.055109,585.0,327330.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674763,1539475200,MAO,0.051596,0.052442,0.051416,0.051963,524.0,324642.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674764,1539388800,MAO,0.051838,0.05199,0.051358,0.051583,510.0,326157.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674765,1539302400,MAO,0.051008,0.052269,0.050915,0.051837,520.0,320926.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674766,1539216000,MAO,0.054539,0.054592,0.050774,0.051074,217.0,343129.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674767,1539129600,MAO,0.054706,0.055222,0.052378,0.054724,933.0,344164.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674768,1539043200,MAO,0.05526,0.055332,0.054417,0.05492,533.0,347640.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674769,1538956800,MAO,0.054868,0.055655,0.05454,0.055068,577.0,345161.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674770,1538870400,MAO,0.054886,0.054969,0.052252,0.054616,536.0,345259.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674771,1538784000,MAO,0.055223,0.055237,0.054495,0.054683,567.0,347372.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674772,1538697600,MAO,0.054634,0.055283,0.054344,0.0551,545.0,343650.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674773,1538611200,MAO,0.05394,0.05488,0.053116,0.054491,518.0,339273.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674774,1538524800,MAO,0.054097,0.054242,0.053357,0.053876,526.0,340250.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674775,1538438400,MAO,0.054568,0.054859,0.05407,0.05407,55.0,343202.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674776,1538352000,MAO,0.052863,0.055348,0.052863,0.054723,487.0,332470.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674777,1538265600,MAO,0.054761,0.055175,0.052585,0.053022,515.0,344395.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674778,1538179200,MAO,0.054694,0.054972,0.053879,0.054781,500.0,343959.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674779,1538092800,MAO,0.055423,0.056496,0.054563,0.054729,259.0,348536.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674780,1538006400,MAO,0.051077,0.055522,0.050669,0.055411,765.0,321193.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674781,1537920000,MAO,0.050659,0.051611,0.049989,0.051015,542.0,318554.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674782,1537833600,MAO,0.051668,0.05169,0.050084,0.050741,462.0,324885.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674783,1537747200,MAO,0.052752,0.052915,0.051715,0.051726,553.0,331694.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674784,1537660800,MAO,0.052995,0.053434,0.046671,0.052739,1077.0,333204.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674785,1537574400,MAO,0.053296,0.053682,0.05155,0.052968,463.0,335085.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674786,1537488000,MAO,0.05131,0.053254,0.050433,0.053254,436.0,322587.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674787,1537401600,MAO,0.050479,0.051621,0.050308,0.051295,574.0,317356.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674788,1537315200,MAO,0.050502,0.050577,0.046337,0.050457,674.0,317491.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674789,1537228800,MAO,0.049506,0.050528,0.049316,0.050474,177.0,311216.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674790,1537142400,MAO,0.051966,0.0522,0.047456,0.049501,530.0,326671.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674791,1537056000,MAO,0.047561,0.051961,0.047084,0.051839,650.0,298970.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674792,1536969600,MAO,0.04706,0.051173,0.046962,0.047428,640.0,295808.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674793,1536883200,MAO,0.050713,0.051142,0.047036,0.047123,450.0,318762.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674794,1536796800,MAO,0.049469,0.051057,0.049376,0.05068,498.0,310928.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674795,1536710400,MAO,0.049612,0.050003,0.049111,0.049426,176.0,311820.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674796,1536624000,MAO,0.049645,0.0501,0.04888,0.049606,520.0,312013.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674797,1536537600,MAO,0.049485,0.049791,0.049109,0.049562,535.0,311003.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674798,1536364800,MAO,0.051334,0.051858,0.051241,0.051723,544.0,322603.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674799,1536278400,MAO,0.051689,0.052001,0.050705,0.051271,540.0,324822.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674800,1536192000,MAO,0.055065,0.055065,0.050567,0.051746,532.0,346019.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674801,1536105600,MAO,0.060205,0.060541,0.054967,0.054967,64.0,378311.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674802,1536019200,MAO,0.058866,0.060633,0.058701,0.060156,688.0,369882.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674803,1535932800,MAO,0.060634,0.060727,0.057588,0.058866,652.0,380980.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674804,1535846400,MAO,0.060251,0.060874,0.059299,0.060649,609.0,378559.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674805,1535760000,MAO,0.058434,0.060792,0.056857,0.060223,607.0,367132.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674806,1535673600,MAO,0.058543,0.058725,0.057392,0.058505,647.0,367801.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674807,1535587200,MAO,0.058119,0.058535,0.057085,0.058485,637.0,365125.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674808,1535500800,MAO,0.059284,0.059569,0.057534,0.058087,661.0,372434.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674809,1535414400,MAO,0.057834,0.059589,0.056446,0.059232,652.0,363310.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674810,1535328000,MAO,0.05375,0.057947,0.053472,0.057947,571.0,337648.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674811,1535241600,MAO,0.056735,0.056839,0.052756,0.053776,536.0,356383.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674812,1535155200,MAO,0.056268,0.056809,0.055821,0.056613,540.0,353437.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674813,1535068800,MAO,0.054947,0.056525,0.052188,0.056369,293.0,345129.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674814,1534982400,MAO,0.053297,0.055068,0.051748,0.054903,634.0,334757.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674815,1534896000,MAO,0.05065,0.057265,0.050389,0.053284,532.0,318115.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674816,1534809600,MAO,0.05275,0.05433,0.05,0.050639,279.0,331294.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674817,1534723200,MAO,0.054477,0.054737,0.052656,0.052827,571.0,342134.0,2018-10-19 04:24:24 UTC,2018-10-19 04:24:24 UTC
674818,1534636800,MAO,0.053662,0.054862,0.052944,0.054567,273.0,337002.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674819,1534550400,MAO,0.055358,0.055531,0.053035,0.053645,553.0,347638.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674820,1534464000,MAO,0.047393,0.055239,0.047281,0.055231,559.0,297617.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674821,1534377600,MAO,0.047939,0.049169,0.047004,0.04739,552.0,301037.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674822,1534291200,MAO,0.051868,0.052587,0.047197,0.048007,282.0,325701.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674823,1534204800,MAO,0.052933,0.052933,0.04355,0.05191,603.0,332378.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674824,1534118400,MAO,0.053433,0.054872,0.049235,0.052981,272.0,335508.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674825,1534032000,MAO,0.052483,0.054226,0.050791,0.053452,509.0,329533.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674826,1533945600,MAO,0.052036,0.05425,0.050631,0.052641,594.0,326715.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674827,1533859200,MAO,0.053492,0.055597,0.051279,0.052086,506.0,335843.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674828,1533772800,MAO,0.051391,0.054095,0.050952,0.053547,306.0,322644.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674829,1533686400,MAO,0.055288,0.055288,0.051033,0.051275,409.0,347099.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674830,1533600000,MAO,0.053428,0.058892,0.053428,0.055227,497.0,335411.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674831,1533513600,MAO,0.056905,0.057757,0.053303,0.053449,561.0,357228.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674832,1533427200,MAO,0.057864,0.057975,0.055724,0.056837,585.0,363236.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674833,1533340800,MAO,0.06324,0.064704,0.05593,0.057839,530.0,396968.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674834,1533254400,MAO,0.065385,0.065385,0.062173,0.063149,518.0,410419.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674835,1533168000,MAO,0.064703,0.066707,0.064698,0.065392,546.0,406126.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674836,1533081600,MAO,0.066622,0.06663,0.063338,0.064668,452.0,418154.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674837,1532995200,MAO,0.071547,0.071547,0.065909,0.066563,241.0,449051.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674838,1532908800,MAO,0.067809,0.071683,0.064979,0.071683,627.0,425579.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674839,1532822400,MAO,0.069861,0.070323,0.067413,0.06777,552.0,438440.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674840,1532736000,MAO,0.070356,0.070647,0.068759,0.069581,593.0,441531.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674841,1532649600,MAO,0.068923,0.071169,0.067359,0.07021,510.0,432523.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674842,1532563200,MAO,0.063982,0.072217,0.058018,0.068961,608.0,401503.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674843,1532476800,MAO,0.065552,0.067076,0.063236,0.064005,658.0,411340.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
674844,1532390400,MAO,0.061348,0.066795,0.056206,0.066789,611.0,384946.0,2018-10-19 04:24:25 UTC,2018-10-19 04:24:25 UTC
