id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
967590,1544054400,NER,4.6e-05,4.7e-05,3.6e-05,3.7e-05,0.0,119155.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967591,1543968000,NER,3.9e-05,4.7e-05,2.9e-05,4.6e-05,289.0,149263.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967592,1543881600,NER,0.000112,0.000114,2.6e-05,3.8e-05,147.0,125459.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967593,1543795200,NER,0.000125,0.000125,0.000104,0.000112,91.0,366458.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967594,1543708800,NER,2.5e-05,0.000142,2.5e-05,0.000127,1352.0,620010.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967595,1543622400,NER,7.4e-05,7.4e-05,2.5e-05,2.5e-05,2.0,121784.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967596,1543536000,NER,3.9e-05,8.4e-05,3.8e-05,7.4e-05,362.0,359898.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967597,1543449600,NER,3.1e-05,4.1e-05,3.0e-05,3.9e-05,53.0,190044.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967598,1543363200,NER,7.6e-05,8.1e-05,1.9e-05,3.1e-05,157.0,149833.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967599,1543276800,NER,4.7e-05,7.6e-05,2.6e-05,7.5e-05,352.0,367191.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967600,1543190400,NER,5.8e-05,5.9e-05,3.6e-05,4.7e-05,664.0,230181.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967601,1543104000,NER,9.4e-05,9.5e-05,5.8e-05,5.8e-05,179.0,283263.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967602,1543017600,NER,0.000119,0.000122,8.4e-05,9.4e-05,778.0,460085.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967603,1542931200,NER,9.1e-05,0.000151,8.4e-05,0.000119,1108.0,582038.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967604,1542844800,NER,0.000131,0.000133,4.9e-05,9.2e-05,3916.0,448614.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967605,1542758400,NER,8.9e-05,0.000132,7.0e-05,0.000131,144.0,640901.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967606,1542672000,NER,0.000103,0.000104,8.4e-05,8.8e-05,3387.0,430796.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967607,1542585600,NER,0.000113,0.000113,0.000101,0.000103,410.0,504863.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967608,1542499200,NER,0.000164,0.000166,0.000112,0.000113,3228.0,549255.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967609,1542412800,NER,0.00011,0.000165,0.000109,0.000164,71.0,798391.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967610,1542326400,NER,0.000122,0.000167,0.000109,0.00011,1511.0,538158.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967611,1542240000,NER,0.000167,0.000183,0.000116,0.000121,1775.0,592818.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
967612,1542153600,NER,0.000195,0.000201,0.00013,0.000152,370.0,742257.0,2018-12-07 00:29:54 UTC,2018-12-07 00:29:54 UTC
951075,1542067200,NER,0.000197,0.000204,0.000146,0.000196,3439.0,954665.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951076,1541980800,NER,0.000187,0.000198,0.000136,0.000198,3107.0,966553.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951077,1541894400,NER,0.0002,0.000237,0.000136,0.000186,862.0,909560.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951078,1541808000,NER,0.000336,0.000336,0.000143,0.000201,7915.0,981341.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951079,1541721600,NER,0.000192,0.000389,0.000151,0.000334,52026.0,1632787.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951080,1541635200,NER,0.00111,0.001112,0.000129,0.000192,1087870.0,938867.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951081,1541548800,NER,0.001117,0.001117,0.000966,0.00111,890308.0,5420980.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951082,1541462400,NER,0.001286,0.001352,0.001038,0.001117,4055620.0,5440557.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951083,1541376000,NER,0.001232,0.001417,0.001227,0.001281,5381530.0,6254541.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951084,1541289600,NER,0.001274,0.001274,0.001208,0.001231,4497120.0,6011073.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951085,1541203200,NER,0.001275,0.001276,0.001215,0.001274,4559130.0,6218853.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951086,1541116800,NER,0.001267,0.001326,0.001198,0.001275,4425730.0,6222222.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951087,1541030400,NER,0.001201,0.001348,0.001143,0.001269,4794070.0,6194492.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951088,1540944000,NER,0.001268,0.001326,0.001198,0.001201,4481280.0,5863391.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951089,1540857600,NER,0.001259,0.001328,0.001257,0.001264,4416220.0,6172425.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951090,1540771200,NER,0.001353,0.001359,0.001254,0.001261,4037240.0,6157925.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951091,1540684800,NER,0.001289,0.001361,0.001287,0.001295,4085320.0,6320791.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951092,1540598400,NER,0.001292,0.001358,0.001287,0.001289,3436670.0,6291254.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
951093,1540512000,NER,0.001291,0.001361,0.001285,0.001292,3510430.0,6307804.0,2018-11-14 00:25:20 UTC,2018-11-14 00:25:20 UTC
936973,1540425600,NER,0.001296,0.001359,0.001288,0.001293,3639300.0,6325296.0,2018-10-27 00:27:15 UTC,2018-10-27 00:27:15 UTC
934843,1540339200,NER,0.00129,0.001366,0.00129,0.001295,4075920.0,6295599.0,2018-10-26 00:36:08 UTC,2018-10-26 00:36:08 UTC
933331,1540252800,NER,0.001351,0.001363,0.001289,0.001295,3911110.0,6593479.0,2018-10-25 00:39:03 UTC,2018-10-25 00:39:03 UTC
931746,1540166400,NER,0.00136,0.001378,0.001299,0.001349,3939950.0,6640073.0,2018-10-24 00:45:40 UTC,2018-10-24 00:45:40 UTC
930015,1540080000,NER,0.0013,0.001374,0.00129,0.001357,3085150.0,6344464.0,2018-10-23 00:48:59 UTC,2018-10-23 00:48:59 UTC
926747,1539993600,NER,0.001358,0.001368,0.00129,0.0013,2620110.0,6628902.0,2018-10-22 00:39:32 UTC,2018-10-22 00:39:32 UTC
925043,1539907200,NER,0.0013,0.001422,0.001294,0.001358,2604550.0,6347845.0,2018-10-21 00:42:35 UTC,2018-10-21 00:42:35 UTC
922674,1539820800,NER,0.001305,0.001313,0.00124,0.0013,2554700.0,6373374.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922675,1539734400,NER,0.001317,0.001319,0.001233,0.001301,2360860.0,6428735.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922676,1539648000,NER,0.001315,0.001332,0.00125,0.001312,2611990.0,6420109.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922677,1539561600,NER,0.00119,0.001411,0.001183,0.001316,2253640.0,5808724.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922678,1539475200,NER,0.001186,0.001262,0.001176,0.001188,1534420.0,5789909.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922679,1539388800,NER,0.001189,0.001255,0.001183,0.001186,1235860.0,5805320.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922680,1539302400,NER,0.001178,0.001259,0.001176,0.001189,1350220.0,5737860.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922681,1539216000,NER,0.001312,0.001314,0.001173,0.00118,1121800.0,6389672.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922682,1539129600,NER,0.001257,0.001325,0.001233,0.001317,1014410.0,6119239.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922683,1539043200,NER,0.00127,0.001331,0.001248,0.001262,1158590.0,6182359.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922684,1538956800,NER,0.001253,0.001335,0.001244,0.001264,1057460.0,6103274.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
922685,1538870400,NER,0.001316,0.001318,0.001238,0.001248,1002690.0,6408522.0,2018-10-19 05:14:01 UTC,2018-10-19 05:14:01 UTC
