id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1748540,1539270000,NOX,0.004592,0.00649,0.00356,0.006165,175.0,51184.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748541,1539183600,NOX,0.002722,0.004732,0.002368,0.004598,1120.0,30338.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748542,1539097200,NOX,0.003701,0.005754,0.002253,0.002728,1242.0,41247.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748543,1539010800,NOX,0.004885,0.007376,0.002459,0.003714,1555.0,54450.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748544,1538924400,NOX,0.003838,0.006036,0.003818,0.004885,66.0,42780.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748545,1538838000,NOX,0.0034,0.005763,0.003394,0.003827,575.0,37896.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748546,1538751600,NOX,0.005684,0.005685,0.003393,0.003393,96.0,63355.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748547,1538665200,NOX,0.007009,0.007548,0.004792,0.005675,2419.0,71114.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748548,1538578800,NOX,0.005139,0.007108,0.005129,0.007005,201.0,52138.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748549,1538492400,NOX,0.00712,0.008599,0.005076,0.005138,85.0,72240.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748550,1538406000,NOX,0.005325,0.007824,0.005309,0.007117,727.0,54027.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748551,1538319600,NOX,0.006389,0.009078,0.00515,0.005337,154.0,64816.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748552,1538233200,NOX,0.008339,0.008812,0.005842,0.006401,214.0,84606.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748553,1538146800,NOX,0.009748,0.010095,0.008039,0.008345,9.0,98899.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748554,1538060400,NOX,0.007896,0.011396,0.007896,0.009766,41.0,80109.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748555,1537974000,NOX,0.006851,0.00797,0.00465,0.007891,397.0,69508.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748556,1537887600,NOX,0.006406,0.008861,0.004461,0.006851,1006.0,64998.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748557,1537801200,NOX,0.006312,0.006656,0.004135,0.0064,397.0,64043.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748558,1537714800,NOX,0.004414,0.006438,0.004396,0.006316,126.0,44785.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748559,1537628400,NOX,0.004806,0.00495,0.004053,0.00441,1444.0,48760.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748560,1537542000,NOX,0.005643,0.005936,0.004515,0.004803,526.0,57256.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748561,1537455600,NOX,0.005458,0.006273,0.003598,0.005633,1344.0,55372.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748562,1537369200,NOX,0.005695,0.006797,0.004711,0.005457,786.0,57780.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748563,1537282800,NOX,0.00521,0.007077,0.004735,0.005695,1869.0,52855.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748564,1537196400,NOX,0.005377,0.005971,0.00487,0.005239,312.0,54550.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748565,1537110000,NOX,0.005216,0.00592,0.005102,0.005392,317.0,52925.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748566,1537023600,NOX,0.005193,0.005201,0.003927,0.005201,119.0,52686.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748567,1536937200,NOX,0.007076,0.007194,0.003649,0.005182,1121.0,71790.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748568,1536850800,NOX,0.008983,0.009117,0.006543,0.007087,339.0,91137.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748569,1536764400,NOX,0.00824,0.009577,0.00661,0.008995,578.0,83597.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748570,1536678000,NOX,0.007741,0.011161,0.007688,0.008232,808.0,78542.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748571,1536591600,NOX,0.008655,0.009135,0.00766,0.007741,545.0,87813.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748572,1536505200,NOX,0.008291,0.009646,0.007694,0.008643,600.0,84119.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748573,1536418800,NOX,0.011199,0.011312,0.006248,0.008288,1606.0,102419.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748574,1536332400,NOX,0.016487,0.016734,0.0111,0.011239,97.0,150790.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748575,1536246000,NOX,0.014091,0.028331,0.013596,0.016486,456.0,128870.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748576,1536159600,NOX,0.013378,0.016742,0.011246,0.0149,99.0,122348.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748577,1536073200,NOX,0.016829,0.023303,0.013558,0.013558,126.0,153916.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748578,1535986800,NOX,0.014207,0.018563,0.014177,0.016833,92.0,129933.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748579,1535900400,NOX,0.012677,0.01458,0.012363,0.014205,45.0,115939.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748580,1535814000,NOX,0.014904,0.017389,0.012623,0.01267,151.0,136311.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748581,1535727600,NOX,0.017683,0.018982,0.01381,0.014901,201.0,161725.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748582,1535641200,NOX,0.01546,0.017737,0.013377,0.017687,75.0,141394.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748583,1535554800,NOX,0.015223,0.019209,0.014036,0.015453,107.0,139227.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748584,1535468400,NOX,0.014425,0.022233,0.014164,0.015214,194.0,131929.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748585,1535382000,NOX,0.02012,0.033176,0.013691,0.014427,709.0,184016.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748586,1535295600,NOX,0.013283,0.040063,0.012127,0.020046,1549.0,121484.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748587,1535209200,NOX,0.013214,0.104558,0.011982,0.013499,417.0,120853.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748588,1535122800,NOX,0.008567,0.10706,0.008469,0.013208,465.0,78352.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748589,1535036400,NOX,0.014194,0.020573,0.008048,0.00858,1140.0,128392.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748590,1534950000,NOX,0.016446,0.020518,0.009975,0.014185,288.0,148770.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748591,1534863600,NOX,0.023559,0.024804,0.012091,0.016424,580.0,213111.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748592,1534777200,NOX,0.015227,0.024689,0.015222,0.023565,2546.0,137439.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748593,1534690800,NOX,0.020276,0.029486,0.013183,0.015281,1133.0,180976.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748594,1534604400,NOX,0.024007,0.024007,0.019765,0.020274,57.0,214278.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748595,1534518000,NOX,0.024019,0.024858,0.022337,0.023465,12.0,214383.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748596,1534431600,NOX,0.026622,0.028204,0.02385,0.023972,31.0,237621.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748597,1534345200,NOX,0.024728,0.027169,0.021264,0.026586,279.0,220718.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748598,1534258800,NOX,0.022446,0.026552,0.021983,0.024706,227.0,200349.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748599,1534172400,NOX,0.026335,0.026335,0.020543,0.022353,799.0,235054.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748600,1534086000,NOX,0.0288,0.031677,0.023943,0.026333,807.0,257059.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748601,1533999600,NOX,0.027285,0.031425,0.02491,0.028741,454.0,243541.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748602,1533913200,NOX,0.026772,0.032186,0.024913,0.027399,456.0,238962.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748603,1533826800,NOX,0.033845,0.034778,0.026459,0.02678,142.0,302089.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748604,1533740400,NOX,0.030795,0.034303,0.018848,0.033883,657.0,274871.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748605,1533654000,NOX,0.029427,0.043847,0.018906,0.030745,2066.0,262656.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748606,1533567600,NOX,0.035921,0.048604,0.022481,0.02946,2315.0,318820.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748607,1533481200,NOX,0.040253,0.061811,0.024181,0.035929,3488.0,357274.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748608,1533394800,NOX,0.050448,0.050949,0.025534,0.040216,1269.0,447767.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748609,1533308400,NOX,0.056688,0.056837,0.023182,0.050449,1246.0,503149.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748610,1533222000,NOX,0.043376,0.057321,0.041089,0.056695,1028.0,384996.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748611,1533135600,NOX,0.050772,0.057076,0.021183,0.043352,1972.0,375142.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748612,1533049200,NOX,0.030511,0.054234,0.021902,0.050748,4877.0,225439.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748613,1532962800,NOX,0.026373,0.105794,0.020069,0.030519,3920.0,192228.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748614,1532876400,NOX,0.040348,0.040423,0.026316,0.02637,23.0,294086.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748615,1532790000,NOX,0.040748,0.041167,0.040088,0.040343,2.0,296999.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748616,1532703600,NOX,0.047507,0.047661,0.039742,0.040646,12.0,346263.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748617,1532617200,NOX,0.05732,0.057564,0.044532,0.047482,451.0,417787.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748618,1532530800,NOX,0.052926,0.059803,0.049176,0.057345,292.0,385761.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748619,1532444400,NOX,0.046337,0.054633,0.046227,0.052948,35.0,337738.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748620,1532358000,NOX,0.045817,0.055461,0.045621,0.046861,13.0,333946.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748621,1532271600,NOX,0.039113,0.048844,0.039092,0.045811,384.0,285086.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748622,1532185200,NOX,0.037285,0.03995,0.037133,0.039137,178.0,271758.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748623,1532098800,NOX,0.035045,0.040447,0.034625,0.037301,203.0,255434.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748624,1532012400,NOX,0.039869,0.046215,0.034644,0.035044,380.0,290593.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748625,1531926000,NOX,0.037538,0.058402,0.022368,0.039858,3353.0,273601.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748626,1531839600,NOX,0.050581,0.057101,0.037071,0.037555,422.0,368671.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
1748627,1531753200,NOX,0.041433,0.050958,0.040058,0.05058,707.0,301996.0,2018-10-13 08:42:17 UTC,2018-10-13 08:42:17 UTC
