id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933933,1540339200,PCOIN,0.005419,0.005832,0.005049,0.005822,287.0,16106.0,2018-10-26 00:21:28 UTC,2018-10-26 00:21:28 UTC
932421,1540252800,PCOIN,0.006329,0.006783,0.005418,0.005443,243.0,18810.0,2018-10-25 00:24:19 UTC,2018-10-25 00:24:19 UTC
930843,1540166400,PCOIN,0.006097,0.006965,0.005877,0.00633,345.0,18120.0,2018-10-24 00:30:13 UTC,2018-10-24 00:30:13 UTC
929075,1540080000,PCOIN,0.008372,0.008777,0.005923,0.006099,1146.0,24882.0,2018-10-23 00:34:46 UTC,2018-10-23 00:34:46 UTC
925844,1539993600,PCOIN,0.006274,0.012432,0.004992,0.00837,3002.0,18648.0,2018-10-22 00:25:17 UTC,2018-10-22 00:25:17 UTC
924099,1539907200,PCOIN,0.008063,0.008063,0.005594,0.006278,685.0,23963.0,2018-10-21 00:26:10 UTC,2018-10-21 00:26:10 UTC
782428,1539820800,PCOIN,0.002751,0.02279,0.002737,0.008064,8426.0,8177.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782429,1539734400,PCOIN,0.002681,0.002941,0.002666,0.002741,79.0,7967.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782430,1539648000,PCOIN,0.002835,0.002839,0.002665,0.002671,74.0,8427.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782431,1539561600,PCOIN,0.00262,0.0031,0.002602,0.002838,89.0,7786.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782432,1539475200,PCOIN,0.002555,0.002629,0.002552,0.002617,86.0,7593.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782433,1539388800,PCOIN,0.002654,0.003062,0.002367,0.002554,118.0,7888.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782434,1539302400,PCOIN,0.00293,0.002939,0.002377,0.002655,141.0,8709.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782435,1539216000,PCOIN,0.002486,0.002946,0.002322,0.002933,162.0,7387.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782436,1539129600,PCOIN,0.002045,0.002495,0.002043,0.002494,138.0,6078.0,2018-10-19 04:43:32 UTC,2018-10-19 04:43:32 UTC
782437,1539043200,PCOIN,0.006316,0.007575,0.001719,0.002053,65.0,18771.0,2018-10-19 04:43:33 UTC,2018-10-19 04:43:33 UTC
782438,1538956800,PCOIN,0.00224,0.006333,0.001746,0.006333,184.0,6656.0,2018-10-19 04:43:33 UTC,2018-10-19 04:43:33 UTC
782439,1538870400,PCOIN,0.002303,0.002307,0.002216,0.002229,25.0,6846.0,2018-10-19 04:43:33 UTC,2018-10-19 04:43:33 UTC
782440,1538784000,PCOIN,0.002376,0.002447,0.002293,0.002295,69.0,7061.0,2018-10-19 04:43:33 UTC,2018-10-19 04:43:33 UTC
