id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933730,1540339200,PIX,0.011591,0.011756,0.010984,0.011032,17235.0,1568587.0,2018-10-26 00:16:28 UTC,2018-10-26 00:16:28 UTC
932218,1540252800,PIX,0.012205,0.012272,0.010924,0.011644,17725.0,1651673.0,2018-10-25 00:19:21 UTC,2018-10-25 00:19:21 UTC
930563,1540166400,PIX,0.01168,0.01168,0.010338,0.011011,15588.0,1580604.0,2018-10-24 00:24:34 UTC,2018-10-24 00:24:34 UTC
928878,1540080000,PIX,0.011632,0.012703,0.011574,0.011687,4880.0,1574119.0,2018-10-23 00:29:49 UTC,2018-10-23 00:29:49 UTC
925645,1539993600,PIX,0.013056,0.013158,0.010597,0.011629,2636.0,1766777.0,2018-10-22 00:20:13 UTC,2018-10-22 00:20:13 UTC
923896,1539907200,PIX,0.009974,0.014347,0.009683,0.013056,47.0,1349743.0,2018-10-21 00:20:58 UTC,2018-10-21 00:20:58 UTC
708509,1539820800,PIX,0.009519,0.010004,0.008669,0.009976,1565.0,1288146.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
708510,1539734400,PIX,0.010214,0.011092,0.009453,0.009485,932.0,1382200.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
708511,1539648000,PIX,0.010421,0.011221,0.010034,0.010179,819.0,1410166.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
708512,1539561600,PIX,0.012365,0.012894,0.010102,0.010428,633.0,1673270.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
708513,1539475200,PIX,0.01365,0.014199,0.012022,0.012351,3377.0,1847143.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
708514,1539388800,PIX,0.013666,0.014308,0.01178,0.013647,4513.0,1849385.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
708515,1539302400,PIX,0.011402,0.013666,0.010787,0.013532,2446.0,1542976.0,2018-10-19 04:30:28 UTC,2018-10-19 04:30:28 UTC
