id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1209743,1539270000,RBBT,5.4e-05,6.3e-05,5.0e-05,6.2e-05,518.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209744,1539183600,RBBT,2.3e-05,5.4e-05,4.0e-06,5.4e-05,15.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209745,1539097200,RBBT,6.4e-05,6.4e-05,7.0e-06,2.4e-05,45.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209746,1539010800,RBBT,5.7e-05,6.6e-05,4.9e-05,6.4e-05,606.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209747,1538924400,RBBT,6.5e-05,6.5e-05,5.6e-05,5.7e-05,125.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209748,1538838000,RBBT,5.3e-05,6.5e-05,5.3e-05,6.5e-05,124.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209749,1538751600,RBBT,5.6e-05,5.6e-05,9.0e-06,5.3e-05,25.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209750,1538665200,RBBT,2.0e-06,6.6e-05,2.0e-06,5.5e-05,12.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209751,1538578800,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,79.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209752,1538492400,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,16.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209753,1538406000,RBBT,1.4e-05,1.5e-05,2.0e-06,2.0e-06,1.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209754,1538319600,RBBT,1.7e-05,1.8e-05,4.0e-06,1.4e-05,7.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209755,1538233200,RBBT,2.0e-06,1.7e-05,2.0e-06,1.7e-05,52.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209756,1538146800,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,0.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209757,1538060400,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,9.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209758,1537974000,RBBT,3.0e-06,3.0e-06,2.0e-06,2.0e-06,9.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209759,1537887600,RBBT,2.0e-06,3.0e-06,2.0e-06,3.0e-06,80.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209760,1537801200,RBBT,1.9e-05,3.6e-05,2.0e-06,2.0e-06,108.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209761,1537714800,RBBT,6.0e-06,1.9e-05,2.0e-06,1.9e-05,18.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209762,1537628400,RBBT,2.0e-06,7.0e-06,2.0e-06,6.0e-06,44.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209763,1537542000,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,69.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209764,1537455600,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,34.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209765,1537369200,RBBT,4.0e-06,4.0e-06,2.0e-06,2.0e-06,53.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209766,1537282800,RBBT,4.9e-05,4.9e-05,4.0e-06,4.0e-06,44.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209767,1537196400,RBBT,3.5e-05,5.1e-05,3.5e-05,4.9e-05,84.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209768,1537110000,RBBT,2.8e-05,4.5e-05,2.6e-05,3.5e-05,116.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209769,1537023600,RBBT,2.0e-06,2.8e-05,2.0e-06,2.8e-05,64.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209770,1536937200,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,43.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209771,1536850800,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,80.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209772,1536764400,RBBT,2.0e-06,3.0e-06,2.0e-06,2.0e-06,41.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209773,1536678000,RBBT,2.0e-06,3.0e-06,2.0e-06,2.0e-06,11.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209774,1536591600,RBBT,4.0e-06,4.0e-06,2.0e-06,2.0e-06,84.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209775,1536505200,RBBT,4.0e-06,5.0e-06,4.0e-06,4.0e-06,40.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209776,1536332400,RBBT,2.0e-06,2.0e-06,2.0e-06,2.0e-06,20.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209777,1536246000,RBBT,2.0e-06,3.0e-06,2.0e-06,2.0e-06,20.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209778,1536159600,RBBT,3.0e-06,3.0e-06,2.0e-06,2.0e-06,42.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
1209779,1536073200,RBBT,3.0e-06,3.0e-06,2.0e-06,3.0e-06,21.0,0.0,2018-10-13 07:53:06 UTC,2018-10-13 07:53:06 UTC
