id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933665,1540339200,RIYA,0.26994,0.273256,0.26994,0.271545,4.0,426919.0,2018-10-26 00:14:44 UTC,2018-10-26 00:14:44 UTC
932153,1540252800,RIYA,0.270406,0.271942,0.269001,0.271169,13.0,427656.0,2018-10-25 00:17:34 UTC,2018-10-25 00:17:34 UTC
930498,1540166400,RIYA,0.270358,0.272013,0.269714,0.270431,8.0,427580.0,2018-10-24 00:22:55 UTC,2018-10-24 00:22:55 UTC
925582,1539993600,RIYA,0.242252,0.244237,0.241745,0.242198,32.0,383129.0,2018-10-22 00:18:28 UTC,2018-10-22 00:18:28 UTC
923829,1539907200,RIYA,0.24397,0.244533,0.241934,0.242234,91.0,385847.0,2018-10-21 00:19:04 UTC,2018-10-21 00:19:04 UTC
681211,1539820800,RIYA,0.246699,0.247601,0.242156,0.244008,7.0,390163.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681212,1539734400,RIYA,0.245955,0.247013,0.245635,0.245735,4.0,388985.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681213,1539302400,RIYA,0.26013,0.263674,0.259653,0.262402,14.0,411404.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681214,1539216000,RIYA,0.247398,0.261788,0.233862,0.260465,278.0,391268.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681215,1539129600,RIYA,0.251395,0.275475,0.245769,0.248235,641.0,397589.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681216,1539043200,RIYA,0.272643,0.272999,0.25043,0.25238,4.0,431194.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681217,1538956800,RIYA,0.250496,0.273931,0.249633,0.271697,20.0,396167.0,2018-10-19 04:25:35 UTC,2018-10-19 04:25:35 UTC
681218,1538870400,RIYA,0.24925,0.250927,0.24764,0.249347,7.0,394196.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681219,1538784000,RIYA,0.269296,0.269361,0.265747,0.266556,47.0,425900.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681220,1538697600,RIYA,0.266653,0.269588,0.266026,0.268693,47.0,421720.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681221,1538524800,RIYA,0.234984,0.235617,0.232007,0.232896,1.0,371635.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681222,1538438400,RIYA,0.236746,0.23801,0.234651,0.234867,1.0,374420.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681223,1538352000,RIYA,0.217129,0.27733,0.216915,0.237417,31.0,343396.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681224,1538265600,RIYA,0.275139,0.276136,0.215386,0.21778,23.0,435140.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681225,1538179200,RIYA,0.243437,0.243437,0.238367,0.240419,30.0,385002.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681226,1538092800,RIYA,0.270439,0.27193,0.24081,0.243594,30.0,427708.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681227,1538006400,RIYA,0.209118,0.271993,0.208571,0.270379,5.0,330726.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681228,1537920000,RIYA,0.28893,0.290607,0.176867,0.208863,28.0,456952.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681229,1537833600,RIYA,0.289634,0.289713,0.285951,0.289398,0.0,458065.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681230,1537747200,RIYA,0.277202,0.278058,0.268822,0.270586,27.0,438404.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681231,1537660800,RIYA,0.303975,0.304266,0.276279,0.277134,39.0,480746.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681232,1537574400,RIYA,0.332131,0.334538,0.321253,0.333999,2.0,525276.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681233,1537488000,RIYA,0.306034,0.333069,0.267441,0.331874,37.0,484003.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681234,1537401600,RIYA,0.241917,0.30711,0.241859,0.305947,140.0,382600.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681235,1537315200,RIYA,0.239004,0.245459,0.233596,0.241811,19.0,377993.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681236,1537228800,RIYA,0.219331,0.223456,0.218491,0.222459,12.0,346879.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681237,1537142400,RIYA,0.196344,0.308424,0.189486,0.219309,398.0,310524.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681238,1536969600,RIYA,0.322809,0.326244,0.312936,0.313115,11.0,510533.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681239,1536883200,RIYA,0.311683,0.352522,0.310336,0.323241,17.0,492936.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681240,1536796800,RIYA,0.304422,0.312992,0.304422,0.311874,19.0,481453.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681241,1536710400,RIYA,0.301609,0.304588,0.300733,0.304159,9.0,477005.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681242,1536278400,RIYA,0.313908,0.315797,0.312272,0.312788,12.0,496455.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681243,1536192000,RIYA,0.338474,0.340143,0.307092,0.314252,29.0,535306.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681244,1535932800,RIYA,0.360672,0.361224,0.356256,0.358532,30.0,570413.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681245,1535846400,RIYA,0.357369,0.362099,0.354706,0.360757,30.0,565190.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681246,1535760000,RIYA,0.369823,0.370109,0.338259,0.357205,42.0,584887.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681247,1535673600,RIYA,0.321181,0.322182,0.318541,0.32023,5.0,507957.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681248,1535587200,RIYA,0.323492,0.324584,0.31325,0.320865,10.0,511613.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681249,1535500800,RIYA,0.319964,0.350509,0.31708,0.323315,8.0,506032.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681250,1535414400,RIYA,0.317121,0.32161,0.316577,0.319685,22.0,501537.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681251,1535328000,RIYA,0.324316,0.325753,0.308747,0.317743,60.0,512917.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
681252,1535241600,RIYA,0.323057,0.325953,0.320964,0.324469,17.0,510925.0,2018-10-19 04:25:36 UTC,2018-10-19 04:25:36 UTC
