id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933802,1540339200,RUNNERS,6.4e-05,6.5e-05,6.4e-05,6.5e-05,0.0,0.0,2018-10-26 00:18:21 UTC,2018-10-26 00:18:21 UTC
932290,1540252800,RUNNERS,6.4e-05,6.5e-05,6.4e-05,6.5e-05,1.0,0.0,2018-10-25 00:21:13 UTC,2018-10-25 00:21:13 UTC
930634,1540166400,RUNNERS,6.5e-05,6.5e-05,6.4e-05,6.5e-05,1.0,0.0,2018-10-24 00:26:47 UTC,2018-10-24 00:26:47 UTC
928950,1540080000,RUNNERS,6.5e-05,6.6e-05,6.4e-05,6.5e-05,1.0,0.0,2018-10-23 00:31:40 UTC,2018-10-23 00:31:40 UTC
925718,1539993600,RUNNERS,6.5e-05,6.5e-05,6.4e-05,6.5e-05,1.0,0.0,2018-10-22 00:22:08 UTC,2018-10-22 00:22:08 UTC
923970,1539907200,RUNNERS,6.5e-05,6.5e-05,6.4e-05,6.5e-05,5.0,0.0,2018-10-21 00:22:51 UTC,2018-10-21 00:22:51 UTC
736319,1539820800,RUNNERS,6.5e-05,6.5e-05,6.4e-05,6.5e-05,5.0,0.0,2018-10-19 04:35:27 UTC,2018-10-19 04:35:27 UTC
736320,1539734400,RUNNERS,6.6e-05,6.6e-05,6.5e-05,6.5e-05,8.0,0.0,2018-10-19 04:35:27 UTC,2018-10-19 04:35:27 UTC
736321,1539648000,RUNNERS,6.6e-05,6.7e-05,6.5e-05,6.6e-05,8.0,0.0,2018-10-19 04:35:27 UTC,2018-10-19 04:35:27 UTC
736322,1539561600,RUNNERS,6.3e-05,7.1e-05,6.3e-05,6.6e-05,4.0,0.0,2018-10-19 04:35:27 UTC,2018-10-19 04:35:27 UTC
736323,1539388800,RUNNERS,6.2e-05,6.3e-05,6.2e-05,6.3e-05,16.0,0.0,2018-10-19 04:35:27 UTC,2018-10-19 04:35:27 UTC
736324,1539302400,RUNNERS,6.3e-05,6.3e-05,6.2e-05,6.2e-05,16.0,0.0,2018-10-19 04:35:27 UTC,2018-10-19 04:35:27 UTC
