id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
933608,1540339200,RUP,0.031855,0.03631,0.023849,0.029954,2137.0,797130.0,2018-10-26 00:13:01 UTC,2018-10-26 00:13:01 UTC
932096,1540252800,RUP,0.037076,0.037173,0.028041,0.032388,3948.0,927331.0,2018-10-25 00:15:57 UTC,2018-10-25 00:15:57 UTC
930443,1540166400,RUP,0.035498,0.037213,0.027741,0.036758,3949.0,887441.0,2018-10-24 00:21:05 UTC,2018-10-24 00:21:05 UTC
928709,1540080000,RUP,0.037689,0.041572,0.027793,0.03593,2656.0,941799.0,2018-10-23 00:26:30 UTC,2018-10-23 00:26:30 UTC
925527,1539993600,RUP,0.043525,0.045908,0.02967,0.038671,5606.0,1087098.0,2018-10-22 00:16:54 UTC,2018-10-22 00:16:54 UTC
923770,1539907200,RUP,0.031837,0.055274,0.030555,0.04399,4568.0,794779.0,2018-10-21 00:17:09 UTC,2018-10-21 00:17:09 UTC
654347,1539820800,RUP,0.034093,0.057119,0.031627,0.031718,3759.0,850675.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654348,1539734400,RUP,0.034304,0.04081,0.03333,0.03396,192.0,855524.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654349,1539648000,RUP,0.03658,0.04319,0.034118,0.034186,583.0,911854.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654350,1539561600,RUP,0.050063,0.050308,0.032927,0.036613,254.0,1247386.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654351,1539475200,RUP,0.032037,0.055712,0.030135,0.049947,1600.0,797847.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654352,1539388800,RUP,0.032126,0.032343,0.026151,0.032029,854.0,799678.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654353,1539302400,RUP,0.032268,0.032704,0.025781,0.032125,87.0,802827.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654354,1539216000,RUP,0.042906,0.042948,0.025219,0.03231,337.0,1066956.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654355,1539129600,RUP,0.033044,0.043072,0.031825,0.043051,6.0,821329.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654356,1539043200,RUP,0.033156,0.034899,0.02662,0.033174,475.0,823697.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654357,1538956800,RUP,0.046064,0.046123,0.022253,0.033041,658.0,1143807.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654358,1538870400,RUP,0.44714,0.44714,0.025181,0.045853,1230.0,11093788.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654359,1538784000,RUP,0.030779,0.462619,0.024631,0.44714,206.0,763555.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654360,1538697600,RUP,0.017801,0.048232,0.017764,0.03071,28.0,441370.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654361,1538611200,RUP,0.016246,0.017827,0.016197,0.017754,17.0,402622.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654362,1538524800,RUP,0.017168,0.017215,0.013908,0.016227,268.0,425276.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654363,1538438400,RUP,0.01794,0.01916,0.013642,0.01716,998.0,444192.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654364,1538352000,RUP,0.021553,0.021726,0.017095,0.017991,61.0,533406.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654365,1538265600,RUP,0.02215,0.022162,0.016558,0.021618,144.0,547915.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654366,1538179200,RUP,0.025302,0.025302,0.015121,0.022159,508.0,625566.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654367,1538092800,RUP,0.011691,0.026062,0.011691,0.025318,1845.0,288905.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654368,1538006400,RUP,0.013142,0.013208,0.011684,0.011688,161.0,324606.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654369,1537920000,RUP,0.013098,0.013971,0.013022,0.013125,147.0,323383.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654370,1537833600,RUP,0.014472,0.014478,0.012796,0.013119,359.0,357130.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654371,1537747200,RUP,0.017004,0.017056,0.01444,0.014488,509.0,419407.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654372,1537660800,RUP,0.015342,0.017047,0.014719,0.017,88.0,378219.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654373,1537574400,RUP,0.012008,0.015501,0.009737,0.015334,513.0,295895.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654374,1537488000,RUP,0.010744,0.012177,0.009074,0.011999,1257.0,264614.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654375,1537401600,RUP,0.009173,0.010781,0.009173,0.010741,20.0,225829.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654376,1537315200,RUP,0.01099,0.011004,0.007412,0.009169,1577.0,270412.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654377,1537228800,RUP,0.011027,0.011109,0.009503,0.010984,227.0,271186.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654378,1537142400,RUP,0.009573,0.011092,0.009553,0.011026,336.0,235318.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654379,1537056000,RUP,0.012299,0.012299,0.009487,0.009549,1047.0,302198.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654380,1536969600,RUP,0.012715,0.012738,0.012197,0.012265,12.0,312252.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654381,1536883200,RUP,0.017662,0.017878,0.007524,0.012731,2177.0,433545.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654382,1536796800,RUP,0.015411,0.01801,0.015328,0.017673,488.0,378112.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654383,1536710400,RUP,0.012592,0.016869,0.008646,0.015398,994.0,308788.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654384,1536624000,RUP,0.012648,0.018189,0.012453,0.01259,494.0,310019.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654385,1536537600,RUP,0.014211,0.018977,0.012556,0.012627,614.0,348154.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654386,1536451200,RUP,0.011572,0.014569,0.006373,0.014219,1651.0,283354.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654387,1536364800,RUP,0.012269,0.015481,0.011558,0.011577,731.0,300270.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654388,1536278400,RUP,0.014629,0.015418,0.011839,0.012254,473.0,357863.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654389,1536192000,RUP,0.015713,0.015713,0.013113,0.014645,303.0,384202.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654390,1536105600,RUP,0.017591,0.017639,0.014957,0.015686,105.0,429897.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654391,1536019200,RUP,0.015698,0.018412,0.015169,0.017576,655.0,383452.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654392,1535932800,RUP,0.021499,0.021723,0.015646,0.015698,645.0,524910.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654393,1535846400,RUP,0.023151,0.023192,0.013859,0.021504,1315.0,564977.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654394,1535760000,RUP,0.014785,0.024925,0.01463,0.023141,1036.0,360630.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654395,1535673600,RUP,0.021613,0.021736,0.014244,0.014778,118.0,526938.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654396,1535587200,RUP,0.021627,0.0217,0.013643,0.021591,84.0,527026.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654397,1535500800,RUP,0.019714,0.021721,0.010628,0.021615,135.0,480176.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654398,1535414400,RUP,0.021963,0.022311,0.00652,0.019697,2687.0,534687.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654399,1535328000,RUP,0.021299,0.022006,0.016497,0.022006,351.0,518257.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654400,1535241600,RUP,0.016906,0.021406,0.016486,0.021309,40.0,411179.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654401,1535155200,RUP,0.018689,0.021608,0.016436,0.016869,567.0,454341.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654402,1535068800,RUP,0.018306,0.018774,0.018131,0.018723,8.0,444951.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
654403,1534982400,RUP,0.017702,0.017937,0.017669,0.017911,99.0,429918.0,2018-10-19 04:20:43 UTC,2018-10-19 04:20:43 UTC
