id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
937991,1540598400,SCRIV,0.000946,0.001104,0.000937,0.001021,3896.0,23415.0,2018-10-29 00:28:10 UTC,2018-10-29 00:28:10 UTC
937517,1540512000,SCRIV,0.001029,0.001125,0.000901,0.000946,3263.0,25461.0,2018-10-28 00:28:19 UTC,2018-10-28 00:28:19 UTC
937518,1540425600,SCRIV,0.00097,0.00112,0.000849,0.00105,4374.0,23998.0,2018-10-28 00:28:19 UTC,2018-10-28 00:28:19 UTC
934866,1540339200,SCRIV,0.001048,0.001078,0.000887,0.000969,2665.0,25925.0,2018-10-26 00:36:22 UTC,2018-10-26 00:36:22 UTC
933354,1540252800,SCRIV,0.001077,0.001082,0.000838,0.001053,804.0,26640.0,2018-10-25 00:39:16 UTC,2018-10-25 00:39:16 UTC
931769,1540166400,SCRIV,0.00105,0.001131,0.000863,0.001077,962.0,25982.0,2018-10-24 00:45:57 UTC,2018-10-24 00:45:57 UTC
930038,1540080000,SCRIV,0.001133,0.001303,0.00098,0.001051,1696.0,28027.0,2018-10-23 00:49:11 UTC,2018-10-23 00:49:11 UTC
926770,1539993600,SCRIV,0.000952,0.001483,0.000911,0.001178,4949.0,23547.0,2018-10-22 00:39:45 UTC,2018-10-22 00:39:45 UTC
925066,1539907200,SCRIV,0.001392,0.001479,0.000926,0.000932,4825.0,34447.0,2018-10-21 00:42:52 UTC,2018-10-21 00:42:52 UTC
923007,1539820800,SCRIV,0.001133,0.001608,0.000983,0.001018,3947.0,28029.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923008,1539734400,SCRIV,0.00135,0.001353,0.000985,0.001128,649.0,33407.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923009,1539648000,SCRIV,0.000897,0.001593,0.000878,0.001319,5475.0,22186.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923010,1539561600,SCRIV,0.00112,0.001258,0.000787,0.000851,2103.0,27705.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923011,1539475200,SCRIV,0.00124,0.001246,0.000875,0.001118,3867.0,30679.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923012,1539388800,SCRIV,0.001184,0.001451,0.001184,0.00124,5394.0,29307.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923013,1539302400,SCRIV,0.00173,0.002224,0.000916,0.001184,5394.0,42813.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923014,1539216000,SCRIV,0.001521,0.002477,0.001135,0.00214,6228.0,37638.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923015,1539129600,SCRIV,0.00078,0.00292,0.000776,0.001526,5856.0,19296.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923016,1539043200,SCRIV,0.000672,0.001181,0.000603,0.000783,2566.0,16629.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923017,1538956800,SCRIV,0.000643,0.001017,0.000589,0.00067,1812.0,0.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923018,1538870400,SCRIV,0.000772,0.00084,0.000457,0.000641,971.0,0.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923019,1538784000,SCRIV,0.001211,0.00124,0.000532,0.000769,503.0,0.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
923020,1538697600,SCRIV,0.000495,0.001421,0.00048,0.001208,1539.0,0.0,2018-10-19 05:14:19 UTC,2018-10-19 05:14:19 UTC
