id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
966330,1543881600,TIME,1.89,2.02,1.83,1.91,46863.0,1358148.0,2018-12-05 00:25:14 UTC,2018-12-05 00:25:14 UTC
965572,1543795200,TIME,1.97,1.97,1.81,1.85,45982.0,1313865.0,2018-12-04 00:25:23 UTC,2018-12-04 00:25:23 UTC
965069,1543708800,TIME,2.06,2.1,1.87,1.97,56133.0,1401411.0,2018-12-03 00:25:11 UTC,2018-12-03 00:25:11 UTC
963179,1543622400,TIME,1.99,2.15,1.92,2.05,53329.0,1459201.0,2018-12-02 00:26:09 UTC,2018-12-02 00:26:09 UTC
962620,1543536000,TIME,2.15,2.15,1.93,1.98,59568.0,1406918.0,2018-12-01 00:25:44 UTC,2018-12-01 00:25:44 UTC
962621,1543449600,TIME,2.09,2.21,1.97,2.14,60878.0,1521319.0,2018-12-01 00:25:44 UTC,2018-12-01 00:25:44 UTC
961430,1543363200,TIME,1.92,2.1,1.88,2.08,43408.0,1475302.0,2018-11-29 00:25:13 UTC,2018-11-29 00:25:13 UTC
960862,1543276800,TIME,1.91,1.93,1.72,1.93,60464.0,1368061.0,2018-11-28 00:24:41 UTC,2018-11-28 00:24:41 UTC
960863,1543190400,TIME,2.06,2.11,1.85,1.9,53215.0,1349853.0,2018-11-28 00:24:41 UTC,2018-11-28 00:24:41 UTC
959337,1543104000,TIME,2.02,2.1,1.85,2.05,50377.0,1452415.0,2018-11-26 00:24:44 UTC,2018-11-26 00:24:44 UTC
959338,1543017600,TIME,2.37,2.46,1.97,2.01,53433.0,1430480.0,2018-11-26 00:24:44 UTC,2018-11-26 00:24:44 UTC
958134,1542931200,TIME,2.3,2.39,2.25,2.37,65143.0,1685332.0,2018-11-24 00:25:16 UTC,2018-11-24 00:25:16 UTC
957651,1542844800,TIME,2.5,2.54,2.3,2.31,68081.0,1641348.0,2018-11-23 00:24:39 UTC,2018-11-23 00:24:39 UTC
957183,1542758400,TIME,2.41,2.62,2.32,2.52,58828.0,1792204.0,2018-11-22 00:25:03 UTC,2018-11-22 00:25:03 UTC
956028,1542672000,TIME,2.75,2.81,2.27,2.41,76608.0,1710768.0,2018-11-21 00:25:18 UTC,2018-11-21 00:25:18 UTC
956029,1542585600,TIME,3.33,3.34,2.72,2.75,69500.0,1950126.0,2018-11-21 00:25:18 UTC,2018-11-21 00:25:18 UTC
956030,1542499200,TIME,3.15,3.31,3.15,3.3,71387.0,2344814.0,2018-11-21 00:25:18 UTC,2018-11-21 00:25:18 UTC
