id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1793787,1539270000,TPAY,1.25,1.31,1.22,1.26,161581.0,19440021.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793788,1539183600,TPAY,1.43,1.43,1.24,1.25,231652.0,22330422.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793789,1539097200,TPAY,1.43,1.47,1.38,1.44,221428.0,22289190.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793790,1539010800,TPAY,1.38,1.53,1.36,1.44,209178.0,21477708.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793791,1538924400,TPAY,1.33,1.39,1.25,1.37,191211.0,20783355.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793792,1538838000,TPAY,1.3,1.38,1.29,1.32,180330.0,20326556.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793793,1538751600,TPAY,1.36,1.36,1.24,1.29,209603.0,21207101.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793794,1538665200,TPAY,1.43,1.45,1.28,1.34,216216.0,22355346.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793795,1538578800,TPAY,1.45,1.48,1.41,1.43,223617.0,22540840.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793796,1538492400,TPAY,1.44,1.51,1.36,1.44,428581.0,22402692.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793797,1538406000,TPAY,1.3,1.5,1.29,1.42,322934.0,20271330.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793798,1538319600,TPAY,1.42,1.44,1.27,1.31,369245.0,22169181.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793799,1538233200,TPAY,1.52,1.55,1.34,1.41,302768.0,23749109.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793800,1538146800,TPAY,1.58,1.58,1.45,1.54,213274.0,24607175.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793801,1538060400,TPAY,1.72,1.74,1.53,1.58,404243.0,26761018.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793802,1537974000,TPAY,1.88,2.12,1.59,1.71,688815.0,29237983.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793803,1537887600,TPAY,1.7,1.91,1.64,1.87,439564.0,26426879.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793804,1537801200,TPAY,1.78,1.78,1.65,1.7,284406.0,27747472.0,2018-10-13 08:47:29 UTC,2018-10-13 08:47:29 UTC
1793805,1537714800,TPAY,1.75,1.85,1.63,1.78,217310.0,27181861.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793806,1537628400,TPAY,1.68,1.79,1.64,1.74,170722.0,26113278.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793807,1537542000,TPAY,1.69,1.72,1.57,1.66,127793.0,26370036.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793808,1537455600,TPAY,1.7,1.87,1.47,1.69,281180.0,26517110.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793809,1537369200,TPAY,1.68,1.83,1.61,1.7,184851.0,26190025.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793810,1537282800,TPAY,1.36,1.72,1.36,1.72,277656.0,21244720.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793811,1537196400,TPAY,1.27,1.48,1.21,1.39,160549.0,19733616.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793812,1537110000,TPAY,1.48,1.87,1.25,1.27,507679.0,23104796.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793813,1537023600,TPAY,1.14,1.49,1.12,1.45,439592.0,17757828.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793814,1536937200,TPAY,0.835775,1.17,0.826321,1.14,371135.0,13002869.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793815,1536850800,TPAY,0.804899,0.859763,0.782836,0.824093,223176.0,12521269.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793816,1536764400,TPAY,0.806761,0.843536,0.777912,0.79133,358520.0,12549095.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793817,1536678000,TPAY,0.848568,0.86017,0.798098,0.826332,181453.0,13198115.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793818,1536591600,TPAY,0.885377,0.984787,0.799291,0.848485,157073.0,13769200.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793819,1536505200,TPAY,0.896457,0.934327,0.871009,0.885039,128537.0,13940191.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793820,1536418800,TPAY,0.913277,0.957138,0.888095,0.892356,127193.0,14200317.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793821,1536332400,TPAY,1.01,1.02,0.901241,0.913723,192009.0,15680571.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793822,1536246000,TPAY,1.23,1.32,0.958555,0.997136,297000.0,19062365.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793823,1536159600,TPAY,0.927539,1.23,0.855104,1.23,527248.0,14417816.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793824,1536073200,TPAY,1.1,1.1,0.91467,0.926068,374822.0,17118827.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793825,1535986800,TPAY,1.23,1.25,1.05,1.1,425378.0,19161417.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793826,1535900400,TPAY,1.33,1.34,1.2,1.23,271113.0,20699939.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793827,1535814000,TPAY,1.37,1.46,1.29,1.32,299731.0,21221256.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793828,1535727600,TPAY,1.46,1.48,1.32,1.44,420383.0,22675161.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793829,1535641200,TPAY,1.56,1.66,1.38,1.47,306489.0,24162897.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793830,1535554800,TPAY,1.67,1.79,1.31,1.55,477697.0,25992265.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793831,1535468400,TPAY,1.74,1.87,1.57,1.66,378907.0,26991300.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793832,1535382000,TPAY,1.78,2.05,1.74,1.75,354151.0,27701638.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793833,1535295600,TPAY,1.84,2.23,1.65,1.79,522328.0,28594995.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793834,1535209200,TPAY,1.98,2.25,1.8,1.84,331304.0,30685714.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793835,1535122800,TPAY,2.3,2.31,1.94,1.97,451721.0,35740893.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793836,1535036400,TPAY,2.33,2.56,2.09,2.3,554980.0,36101335.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793837,1534950000,TPAY,2.66,2.69,2.32,2.32,310938.0,41337086.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793838,1534863600,TPAY,2.74,2.92,2.62,2.66,96191.0,42518569.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793839,1534777200,TPAY,2.73,2.84,2.63,2.83,201178.0,42361555.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793840,1534690800,TPAY,2.85,3.01,2.69,2.76,137284.0,44198881.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793841,1534604400,TPAY,2.81,2.87,2.76,2.85,244268.0,43630768.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793842,1534518000,TPAY,2.88,2.93,2.75,2.81,108977.0,44672814.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793843,1534431600,TPAY,2.86,3.0,2.78,2.89,160087.0,44370592.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793844,1534345200,TPAY,2.82,2.98,2.8,2.86,185715.0,43750226.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793845,1534258800,TPAY,2.87,3.04,2.78,2.82,108918.0,44522196.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793846,1534172400,TPAY,2.97,2.97,2.56,2.87,208476.0,46028931.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793847,1534086000,TPAY,3.04,3.11,2.95,2.98,293372.0,47074399.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793848,1533999600,TPAY,2.99,3.09,2.92,3.03,205907.0,46294455.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793849,1533913200,TPAY,2.95,3.1,2.77,2.99,290029.0,45789800.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793850,1533826800,TPAY,3.1,3.21,2.85,2.95,327792.0,48084222.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793851,1533740400,TPAY,2.83,3.2,2.71,3.1,370004.0,43855412.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793852,1533654000,TPAY,3.16,3.16,2.72,2.79,293227.0,48917833.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793853,1533567600,TPAY,3.16,3.48,2.98,3.15,361370.0,48995182.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793854,1533481200,TPAY,2.89,3.18,2.86,3.13,276609.0,44726302.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
1793855,1533394800,TPAY,2.95,3.01,2.75,2.87,200240.0,45628583.0,2018-10-13 08:47:30 UTC,2018-10-13 08:47:30 UTC
