id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
934781,1540339200,URALS,0.001353,0.001499,0.001239,0.001297,11.0,12118.0,2018-10-26 00:35:25 UTC,2018-10-26 00:35:25 UTC
933269,1540252800,URALS,0.00136,0.001556,0.001286,0.001359,3.0,12150.0,2018-10-25 00:38:24 UTC,2018-10-25 00:38:24 UTC
931685,1540166400,URALS,0.001361,0.00149,0.001352,0.00136,100.0,12134.0,2018-10-24 00:45:00 UTC,2018-10-24 00:45:00 UTC
929954,1540080000,URALS,0.001229,0.001439,0.001222,0.001362,269.0,10937.0,2018-10-23 00:48:18 UTC,2018-10-23 00:48:18 UTC
926686,1539993600,URALS,0.000966,0.001295,0.000964,0.00123,10.0,8578.0,2018-10-22 00:38:54 UTC,2018-10-22 00:38:54 UTC
924982,1539907200,URALS,0.000972,0.001101,0.000965,0.000966,47.0,8616.0,2018-10-21 00:41:53 UTC,2018-10-21 00:41:53 UTC
921152,1539820800,URALS,0.000985,0.001114,0.000965,0.000972,9.0,8713.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921153,1539734400,URALS,0.000928,0.001054,0.000923,0.000981,25.0,8191.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921154,1539648000,URALS,0.000994,0.001314,0.000917,0.000925,37.0,8760.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921155,1539561600,URALS,0.000941,0.001333,0.000935,0.000995,14.0,8280.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921156,1539475200,URALS,0.001077,0.001266,0.000936,0.00094,51.0,9461.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921157,1539388800,URALS,0.001188,0.001196,0.001077,0.001077,3.0,10413.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921158,1539302400,URALS,0.001104,0.001346,0.001102,0.001188,16.0,9663.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
921159,1539216000,URALS,0.001319,0.001321,0.001041,0.001105,33.0,11526.0,2018-10-19 05:13:10 UTC,2018-10-19 05:13:10 UTC
