id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
961565,1543363200,WIT,4.5e-05,5.0e-05,4.5e-05,4.9e-05,43164.0,73578.0,2018-11-29 00:27:23 UTC,2018-11-29 00:27:23 UTC
961566,1543276800,WIT,4.3e-05,4.6e-05,4.0e-05,4.5e-05,35280.0,67635.0,2018-11-29 00:27:23 UTC,2018-11-29 00:27:23 UTC
961567,1543190400,WIT,5.0e-05,5.2e-05,4.1e-05,4.3e-05,43201.0,65072.0,2018-11-29 00:27:23 UTC,2018-11-29 00:27:23 UTC
961568,1543104000,WIT,4.7e-05,7.6e-05,4.1e-05,5.0e-05,13047.0,75209.0,2018-11-29 00:27:23 UTC,2018-11-29 00:27:23 UTC
958826,1543017600,WIT,4.6e-05,5.4e-05,4.6e-05,4.8e-05,36891.0,71269.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958827,1542931200,WIT,5.7e-05,5.7e-05,4.5e-05,4.6e-05,43464.0,68624.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958828,1542844800,WIT,5.9e-05,6.2e-05,5.3e-05,5.7e-05,54228.0,86006.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958829,1542758400,WIT,5.1e-05,6.2e-05,4.9e-05,5.9e-05,58836.0,88270.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958830,1542672000,WIT,6.4e-05,7.3e-05,4.9e-05,5.1e-05,55764.0,76215.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958831,1542585600,WIT,7.6e-05,8.5e-05,6.3e-05,6.4e-05,54164.0,95951.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958832,1542499200,WIT,8.2e-05,8.3e-05,7.5e-05,7.6e-05,56318.0,114003.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958833,1542412800,WIT,8.6e-05,8.6e-05,6.8e-05,8.2e-05,48566.0,122633.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958834,1542326400,WIT,8.1e-05,9.0e-05,6.9e-05,8.6e-05,44761.0,128570.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958835,1542240000,WIT,7.3e-05,9.2e-05,6.7e-05,8.1e-05,77419.0,121769.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
958836,1542153600,WIT,9.0e-05,0.000117,7.0e-05,7.2e-05,54762.0,108577.0,2018-11-25 00:25:13 UTC,2018-11-25 00:25:13 UTC
950942,1542067200,WIT,0.000103,0.000103,7.3e-05,9.0e-05,95011.0,135007.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
950943,1541980800,WIT,0.00012,0.000121,0.000103,0.000103,87019.0,154503.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
950944,1541894400,WIT,0.000121,0.000121,0.000119,0.00012,22960.0,180731.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
950945,1541808000,WIT,0.000107,0.000121,0.000104,0.000121,129494.0,181227.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
950946,1541721600,WIT,0.00011,0.000121,0.000107,0.000107,52510.0,160818.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
950947,1541635200,WIT,0.00013,0.000131,0.000109,0.00011,48069.0,165635.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
950948,1541548800,WIT,0.00013,0.000186,0.000125,0.000131,100119.0,195762.0,2018-11-14 00:25:15 UTC,2018-11-14 00:25:15 UTC
