id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1620995,1539270000,WTC,2.63,2.81,2.62,2.75,10596600.0,105630737.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1620996,1539183600,WTC,3.2,3.21,2.63,2.64,9994620.0,128470710.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1620997,1539097200,WTC,3.43,3.43,3.13,3.21,10683400.0,137892960.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1620998,1539010800,WTC,3.13,3.43,3.09,3.43,19138300.0,125757543.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1620999,1538924400,WTC,2.91,3.13,2.89,3.13,6459610.0,116802095.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621000,1538838000,WTC,2.94,2.96,2.86,2.9,7688390.0,118166829.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621001,1538751600,WTC,2.89,2.95,2.77,2.94,10110300.0,115864740.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621002,1538665200,WTC,2.8,2.89,2.8,2.88,9460190.0,112412607.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621003,1538578800,WTC,2.79,2.85,2.77,2.8,7937560.0,111930128.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621004,1538492400,WTC,2.95,2.95,2.75,2.79,8490350.0,118422176.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621005,1538406000,WTC,2.93,2.99,2.9,2.95,6670260.0,117568109.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621006,1538319600,WTC,2.97,3.08,2.89,2.94,6116690.0,119350104.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621007,1538233200,WTC,2.91,3.03,2.88,2.98,3473220.0,116641942.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621008,1538146800,WTC,2.87,2.92,2.79,2.91,3007520.0,115018301.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621009,1538060400,WTC,2.92,3.0,2.84,2.87,3364550.0,117164390.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621010,1537974000,WTC,2.84,2.93,2.82,2.91,4442290.0,113901124.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621011,1537887600,WTC,2.82,2.99,2.76,2.84,6874270.0,113268474.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621012,1537801200,WTC,2.88,2.88,2.73,2.81,6352570.0,115472765.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621013,1537714800,WTC,3.09,3.09,2.85,2.87,5347770.0,124047580.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621014,1537628400,WTC,3.01,3.14,2.99,3.09,3599850.0,120958536.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621015,1537542000,WTC,3.15,3.17,2.89,3.01,5837260.0,126617439.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621016,1537455600,WTC,3.08,3.2,3.03,3.14,12880400.0,123773081.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621017,1537369200,WTC,2.99,3.1,2.97,3.09,6259280.0,119885185.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621018,1537282800,WTC,3.12,3.13,2.89,2.99,5368440.0,125084944.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621019,1537196400,WTC,3.06,3.22,3.02,3.11,7467710.0,122765742.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621020,1537110000,WTC,3.31,3.62,3.07,3.07,13360500.0,132990710.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621021,1537023600,WTC,3.17,3.39,2.99,3.31,7018300.0,127071980.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621022,1536937200,WTC,3.01,3.29,2.98,3.17,7219330.0,120789138.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621023,1536850800,WTC,3.2,3.27,2.94,3.02,5292020.0,128597144.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621024,1536764400,WTC,3.03,3.38,3.03,3.21,6417940.0,121545369.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621025,1536678000,WTC,3.11,3.15,2.76,3.03,4296210.0,125021822.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621026,1536591600,WTC,3.34,3.39,2.95,3.11,6603250.0,134153110.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621027,1536505200,WTC,3.48,3.58,3.26,3.33,5982090.0,139627166.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
1621028,1536418800,WTC,3.54,3.67,3.38,3.47,6088070.0,142255256.0,2018-10-13 08:28:34 UTC,2018-10-13 08:28:34 UTC
