id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
947972,1541721600,XLR,2.06,2.08,2.03,2.03,3123.0,3205204.0,2018-11-10 00:28:11 UTC,2018-11-10 00:28:11 UTC
944501,1541635200,XLR,2.07,2.09,2.05,2.06,1417.0,3247175.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944502,1541548800,XLR,2.2,2.22,2.07,2.08,4908.0,3273453.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944503,1541462400,XLR,2.13,2.33,2.04,2.2,9520.0,3445917.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944504,1541376000,XLR,2.17,2.21,2.08,2.13,6457.0,3339419.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944505,1541289600,XLR,2.21,2.27,2.13,2.17,3379.0,3407717.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944506,1541203200,XLR,2.37,2.37,2.2,2.21,2754.0,3460058.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944507,1541116800,XLR,2.15,2.5,2.15,2.37,2387.0,3709654.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944508,1541030400,XLR,2.34,2.35,2.15,2.15,4691.0,3374504.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944509,1540944000,XLR,2.46,2.56,2.34,2.34,4661.0,3664431.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944510,1540857600,XLR,2.56,2.77,2.27,2.46,3915.0,3842938.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
944511,1540771200,XLR,2.19,3.09,1.92,2.56,14558.0,3999735.0,2018-11-09 00:28:50 UTC,2018-11-09 00:28:50 UTC
938504,1540684800,XLR,2.11,2.27,2.04,2.2,3397.0,3288524.0,2018-10-30 00:25:50 UTC,2018-10-30 00:25:50 UTC
938505,1540598400,XLR,2.25,2.27,1.79,2.1,3917.0,3517570.0,2018-10-30 00:25:50 UTC,2018-10-30 00:25:50 UTC
937477,1540512000,XLR,2.13,2.26,2.04,2.26,1611.0,3320538.0,2018-10-28 00:27:00 UTC,2018-10-28 00:27:00 UTC
937478,1540425600,XLR,2.2,2.26,2.02,2.14,2866.0,3425220.0,2018-10-28 00:27:00 UTC,2018-10-28 00:27:00 UTC
933490,1540339200,XLR,2.21,2.31,2.02,2.2,10053.0,3434870.0,2018-10-26 00:08:10 UTC,2018-10-26 00:08:10 UTC
931978,1540252800,XLR,2.21,2.3,2.07,2.22,8973.0,3438096.0,2018-10-25 00:12:13 UTC,2018-10-25 00:12:13 UTC
930328,1540166400,XLR,2.1,2.23,2.06,2.22,6361.0,3253510.0,2018-10-24 00:17:23 UTC,2018-10-24 00:17:23 UTC
928598,1540080000,XLR,2.11,2.13,2.02,2.1,1000.0,3279806.0,2018-10-23 00:22:46 UTC,2018-10-23 00:22:46 UTC
925365,1539993600,XLR,2.14,2.21,2.03,2.11,5501.0,3322008.0,2018-10-22 00:13:07 UTC,2018-10-22 00:13:07 UTC
923646,1539907200,XLR,2.2,2.24,2.14,2.14,4561.0,3407432.0,2018-10-21 00:13:05 UTC,2018-10-21 00:13:05 UTC
590314,1539820800,XLR,2.16,2.26,2.14,2.2,2794.0,3349324.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590315,1539734400,XLR,2.18,2.26,2.14,2.16,1895.0,3371364.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590316,1539648000,XLR,2.27,2.29,1.92,2.17,6160.0,3510359.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590317,1539561600,XLR,2.11,2.34,2.01,2.27,1988.0,3265397.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590318,1539475200,XLR,1.96,2.15,1.96,2.11,1141.0,3019966.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590319,1539388800,XLR,2.07,2.15,1.88,1.96,4108.0,3198592.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590320,1539302400,XLR,2.01,2.12,2.0,2.07,801.0,3101147.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590321,1539216000,XLR,2.5,2.5,1.84,2.01,17282.0,3851691.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590322,1539129600,XLR,2.74,2.83,2.5,2.51,5933.0,4213082.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590323,1539043200,XLR,2.54,2.81,2.49,2.72,6985.0,3899762.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590324,1538956800,XLR,2.28,2.66,2.27,2.53,7956.0,3497636.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590325,1538870400,XLR,2.47,2.48,2.19,2.27,10336.0,3794590.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590326,1538784000,XLR,2.31,2.97,2.07,2.46,29476.0,3534503.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590327,1538697600,XLR,1.92,2.31,1.89,2.31,20431.0,2934946.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590328,1538611200,XLR,1.76,2.03,1.71,1.91,11413.0,2696964.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590329,1538524800,XLR,1.69,1.87,1.6,1.76,10800.0,2583601.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590330,1538438400,XLR,1.55,1.7,1.52,1.69,4351.0,2364104.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590331,1538352000,XLR,1.61,1.8,1.47,1.53,6268.0,2465076.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590332,1538265600,XLR,1.56,1.9,1.55,1.62,6763.0,2379091.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590333,1538179200,XLR,1.66,1.69,1.55,1.56,2889.0,2534756.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590334,1538092800,XLR,1.6,1.74,1.53,1.66,3890.0,2442477.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590335,1538006400,XLR,1.67,1.68,1.55,1.6,955.0,2539668.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590336,1537920000,XLR,1.56,1.68,1.44,1.67,12277.0,2371369.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590337,1537833600,XLR,1.47,1.68,1.34,1.56,13983.0,2231164.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590338,1537747200,XLR,1.38,1.47,1.35,1.47,3646.0,2100536.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590339,1537660800,XLR,1.4,1.49,1.38,1.38,1583.0,2124341.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590340,1537574400,XLR,1.35,1.46,1.34,1.4,2598.0,2037975.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590341,1537488000,XLR,1.45,1.47,1.33,1.34,6879.0,2186651.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590342,1537401600,XLR,1.37,1.5,1.37,1.44,2745.0,2071625.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590343,1537315200,XLR,1.46,1.62,1.34,1.37,6660.0,2205660.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590344,1537228800,XLR,1.53,1.57,1.29,1.46,8347.0,2303012.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590345,1537142400,XLR,1.66,1.72,1.52,1.53,4660.0,2496990.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590346,1537056000,XLR,1.76,1.76,1.65,1.65,3329.0,2647929.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590347,1536969600,XLR,1.76,1.81,1.71,1.76,6522.0,2648623.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590348,1536883200,XLR,1.72,1.88,1.72,1.76,16906.0,2590927.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590349,1536796800,XLR,1.65,1.8,1.63,1.73,22015.0,2471296.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590350,1536710400,XLR,1.6,1.71,1.4,1.64,12512.0,2393270.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590351,1536624000,XLR,1.59,1.69,1.5,1.6,5822.0,2380619.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590352,1536537600,XLR,1.68,1.72,1.58,1.59,3925.0,2511268.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590353,1536451200,XLR,1.67,1.71,1.55,1.68,5664.0,2492991.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590354,1536364800,XLR,1.78,1.85,1.61,1.67,3047.0,2662832.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590355,1536278400,XLR,1.81,1.82,1.69,1.78,2866.0,2700675.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590356,1536192000,XLR,1.86,1.92,1.71,1.81,6303.0,2768948.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590357,1536105600,XLR,2.05,2.19,1.73,1.86,16795.0,3058558.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590358,1536019200,XLR,1.97,2.29,1.76,2.17,10416.0,2929618.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590359,1535932800,XLR,1.67,2.24,1.65,1.97,7680.0,2488891.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590360,1535846400,XLR,1.65,1.69,1.64,1.67,33218.0,2453576.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590361,1535760000,XLR,1.58,1.69,1.58,1.65,26695.0,2347447.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590362,1535673600,XLR,1.61,1.61,1.55,1.58,12213.0,2391073.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590363,1535587200,XLR,1.49,1.61,1.48,1.61,22820.0,2209597.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590364,1535500800,XLR,1.61,1.62,1.49,1.49,5006.0,2394742.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590365,1535414400,XLR,1.75,1.79,1.52,1.62,4792.0,2587871.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590366,1535328000,XLR,1.45,1.77,1.44,1.77,1427.0,2295345.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590367,1535241600,XLR,1.52,1.61,1.41,1.45,7288.0,2406548.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590368,1535155200,XLR,1.54,1.62,1.39,1.52,6312.0,2426681.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590369,1535068800,XLR,1.55,1.62,1.28,1.54,8868.0,2439860.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590370,1534982400,XLR,1.36,1.62,1.28,1.55,9061.0,2150592.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590371,1534896000,XLR,1.48,1.56,1.32,1.36,3185.0,2333585.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590372,1534809600,XLR,1.44,1.51,1.33,1.48,5512.0,2258032.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590373,1534723200,XLR,1.56,1.59,1.44,1.44,2599.0,2453662.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590374,1534636800,XLR,1.62,1.62,1.39,1.56,4713.0,2545137.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590375,1534550400,XLR,1.69,1.75,1.52,1.62,1497.0,2648878.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590376,1534464000,XLR,1.72,1.81,1.55,1.74,5169.0,2686078.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590377,1534377600,XLR,1.58,1.85,1.43,1.72,5914.0,2462948.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590378,1534291200,XLR,1.53,1.74,1.5,1.58,1547.0,2382787.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590379,1534204800,XLR,1.68,1.68,1.47,1.53,8201.0,2613747.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590380,1534118400,XLR,1.7,1.93,1.65,1.68,5601.0,2644927.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590381,1534032000,XLR,1.73,2.0,1.69,1.7,10110.0,2692546.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590382,1533945600,XLR,1.77,1.92,1.54,1.79,4136.0,2746404.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
590383,1533859200,XLR,2.1,2.22,1.6,1.77,6420.0,3264702.0,2018-10-19 04:09:42 UTC,2018-10-19 04:09:42 UTC
