id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
954861,1542585600,XSD,0.093859,0.093963,0.076813,0.079918,34.0,1165352.0,2018-11-20 00:15:43 UTC,2018-11-20 00:15:43 UTC
953745,1542499200,XSD,0.127347,0.130092,0.093145,0.093944,17.0,1369876.0,2018-11-19 00:15:34 UTC,2018-11-19 00:15:34 UTC
953193,1542412800,XSD,0.130778,0.130887,0.102129,0.127561,132.0,1860070.0,2018-11-18 00:15:22 UTC,2018-11-18 00:15:22 UTC
952662,1542326400,XSD,0.079931,0.14708,0.076026,0.130448,1440.0,1902167.0,2018-11-17 00:15:58 UTC,2018-11-17 00:15:58 UTC
951931,1542240000,XSD,0.081254,0.083294,0.074118,0.079928,23.0,1165500.0,2018-11-16 00:15:25 UTC,2018-11-16 00:15:25 UTC
951380,1542153600,XSD,0.099725,0.108939,0.079321,0.081069,49.0,1182127.0,2018-11-15 00:15:16 UTC,2018-11-15 00:15:16 UTC
950394,1542067200,XSD,0.100934,0.121656,0.098223,0.099738,377.0,1454359.0,2018-11-14 00:15:10 UTC,2018-11-14 00:15:10 UTC
949428,1541980800,XSD,0.100172,0.10295,0.100172,0.101032,57.0,1473229.0,2018-11-13 00:15:18 UTC,2018-11-13 00:15:18 UTC
948836,1541894400,XSD,0.101512,0.101651,0.100036,0.100172,0.0,1460689.0,2018-11-12 00:15:19 UTC,2018-11-12 00:15:19 UTC
948274,1541808000,XSD,0.099468,0.102877,0.099283,0.101424,90.0,1478945.0,2018-11-11 00:15:08 UTC,2018-11-11 00:15:08 UTC
947735,1541721600,XSD,0.111821,0.123992,0.099337,0.099409,232.0,1449570.0,2018-11-10 00:16:34 UTC,2018-11-10 00:16:34 UTC
943978,1541635200,XSD,0.115603,0.115887,0.111286,0.112064,142.0,1634095.0,2018-11-09 00:17:06 UTC,2018-11-09 00:17:06 UTC
943554,1541548800,XSD,0.116167,0.118523,0.115278,0.115299,269.0,1681268.0,2018-11-08 00:14:49 UTC,2018-11-08 00:14:49 UTC
943031,1541462400,XSD,0.116,0.117936,0.114922,0.115855,66.0,1689375.0,2018-11-07 00:14:59 UTC,2018-11-07 00:14:59 UTC
942436,1541376000,XSD,0.114374,0.117881,0.114374,0.115963,543.0,1749817.0,2018-11-06 00:14:47 UTC,2018-11-06 00:14:47 UTC
941874,1541289600,XSD,0.114715,0.115211,0.114374,0.114374,0.0,1603999.0,2018-11-05 00:14:55 UTC,2018-11-05 00:14:55 UTC
941408,1541203200,XSD,0.126186,0.126186,0.114715,0.114715,157.0,1603999.0,2018-11-04 00:14:39 UTC,2018-11-04 00:14:39 UTC
940933,1541116800,XSD,0.114179,0.126186,0.112898,0.126186,5.0,1895635.0,2018-11-03 00:16:34 UTC,2018-11-03 00:16:34 UTC
940386,1541030400,XSD,0.118914,0.122311,0.114179,0.114179,170.0,1603999.0,2018-11-02 00:14:37 UTC,2018-11-02 00:14:37 UTC
939531,1540944000,XSD,0.117837,0.118914,0.11741,0.118914,1.0,1749817.0,2018-11-01 00:14:51 UTC,2018-11-01 00:14:51 UTC
939532,1540857600,XSD,0.112164,0.137559,0.112002,0.117829,7.0,1635556.0,2018-11-01 00:14:51 UTC,2018-11-01 00:14:51 UTC
938891,1540771200,XSD,0.124162,0.124839,0.111698,0.112289,852.0,1810504.0,2018-10-31 00:14:37 UTC,2018-10-31 00:14:37 UTC
938235,1540684800,XSD,0.12147,0.124753,0.121163,0.124226,501.0,1771246.0,2018-10-30 00:15:20 UTC,2018-10-30 00:15:20 UTC
937755,1540598400,XSD,0.127125,0.134482,0.120657,0.121547,5.0,1853708.0,2018-10-28 23:51:51 UTC,2018-10-28 23:51:51 UTC
937200,1540512000,XSD,0.122641,0.130387,0.120629,0.127086,151.0,1788326.0,2018-10-28 00:16:15 UTC,2018-10-28 00:16:15 UTC
936381,1540425600,XSD,0.119049,0.133897,0.119049,0.12256,233.0,1735954.0,2018-10-27 00:16:41 UTC,2018-10-27 00:16:41 UTC
936382,1540339200,XSD,0.116738,0.119532,0.116211,0.119049,0.0,1702246.0,2018-10-27 00:16:41 UTC,2018-10-27 00:16:41 UTC
936383,1540252800,XSD,0.11975,0.120805,0.115831,0.116621,746.0,1746165.0,2018-10-27 00:16:41 UTC,2018-10-27 00:16:41 UTC
936384,1540166400,XSD,0.120732,0.121853,0.119148,0.119957,2683.0,1760492.0,2018-10-27 00:16:41 UTC,2018-10-27 00:16:41 UTC
928168,1540080000,XSD,0.160088,0.166727,0.159285,0.166727,183.0,2334373.0,2018-10-23 00:11:57 UTC,2018-10-23 00:11:57 UTC
928169,1539993600,XSD,0.146287,0.161703,0.145346,0.15977,630.0,2133128.0,2018-10-23 00:11:57 UTC,2018-10-23 00:11:57 UTC
928170,1539907200,XSD,0.147,0.151357,0.144113,0.146931,299.0,2143528.0,2018-10-23 00:11:57 UTC,2018-10-23 00:11:57 UTC
371917,1539820800,XSD,0.146961,0.162854,0.126104,0.1462,132.0,2142954.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371918,1539734400,XSD,0.148706,0.149356,0.146082,0.147382,1274.0,2168396.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371919,1539648000,XSD,0.150463,0.151643,0.147586,0.148755,1273.0,2194025.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371920,1539561600,XSD,0.140328,0.164658,0.139394,0.150759,677.0,2046232.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371921,1539475200,XSD,0.14273,0.144706,0.140478,0.140549,193.0,2081265.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371922,1539388800,XSD,0.118525,0.144236,0.118084,0.141991,119.0,1728306.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371923,1539302400,XSD,0.155419,0.157973,0.118338,0.118338,478.0,2266287.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371924,1539216000,XSD,0.143056,0.191413,0.118491,0.155073,989.0,2086009.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371925,1539129600,XSD,0.255301,0.301984,0.141873,0.143056,758.0,3722747.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371926,1539043200,XSD,0.16245,0.255774,0.14835,0.255499,148.0,2368817.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371927,1538956800,XSD,0.218909,0.22015,0.161569,0.162212,506.0,3192092.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371928,1538870400,XSD,0.158688,0.219208,0.074767,0.219208,1113.0,2313955.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371929,1538784000,XSD,0.167269,0.179316,0.158364,0.158897,415.0,2439081.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371930,1538697600,XSD,0.13946,0.168452,0.138532,0.167076,1148.0,2033577.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371931,1538611200,XSD,0.158081,0.16336,0.138161,0.139544,280.0,2305102.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371932,1538524800,XSD,0.1588,0.184396,0.108129,0.158173,1177.0,2315593.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371933,1538438400,XSD,0.145706,0.227495,0.109835,0.158844,1177.0,2124650.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371934,1538352000,XSD,0.148815,0.165533,0.134221,0.145678,430.0,2169998.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371935,1538265600,XSD,0.183311,0.195482,0.147173,0.148822,528.0,2673009.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371936,1538179200,XSD,0.173694,0.183583,0.050484,0.050484,0.0,2532766.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371937,1538092800,XSD,0.228068,0.42564,0.068028,0.173587,7.0,3325650.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371938,1538006400,XSD,0.202138,0.22997,0.177118,0.22813,0.0,2947530.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371939,1537920000,XSD,0.180194,0.225624,0.163851,0.201801,183.0,2627556.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371940,1537833600,XSD,0.170367,0.221267,0.161774,0.180478,595.0,2484259.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371941,1537747200,XSD,0.200335,0.201306,0.137673,0.170131,539.0,2921248.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371942,1537660800,XSD,0.203506,0.212318,0.197894,0.200381,20.0,2967478.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371943,1537574400,XSD,0.227949,0.261002,0.202496,0.203668,127.0,3323902.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371944,1537488000,XSD,0.146128,0.276503,0.146128,0.227177,1687.0,2130803.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371945,1537401600,XSD,0.166785,0.18153,0.13813,0.145858,363.0,2432020.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371946,1537315200,XSD,0.150862,0.167081,0.134472,0.167081,201.0,2199833.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371947,1537228800,XSD,0.131138,0.170458,0.131115,0.15092,1144.0,1912233.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371948,1537142400,XSD,0.170969,0.2119,0.130712,0.13143,279.0,2493041.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371949,1537056000,XSD,0.21082,0.212711,0.167714,0.170969,21.0,3074131.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371950,1536969600,XSD,0.19569,0.216209,0.187036,0.210824,12.0,2853515.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371951,1536883200,XSD,0.171793,0.197976,0.151661,0.195729,287.0,2505057.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371952,1536796800,XSD,0.175954,0.179332,0.123111,0.171835,1003.0,2565725.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371953,1536710400,XSD,0.127333,0.248141,0.122626,0.176023,2152.0,1856739.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371954,1536624000,XSD,0.135148,0.151281,0.125137,0.127242,536.0,1970702.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371955,1536537600,XSD,0.130744,0.143313,0.128839,0.135092,206.0,1906489.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371956,1536451200,XSD,0.177515,0.177639,0.126064,0.13096,524.0,2588491.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371957,1536364800,XSD,0.362141,0.363286,0.130584,0.177516,4.0,5280663.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371958,1536278400,XSD,0.133064,0.362802,0.042516,0.361904,296.0,1940308.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371959,1536192000,XSD,0.138883,0.138883,0.131065,0.132965,486.0,2025158.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371960,1536105600,XSD,0.278515,0.321289,0.139647,0.139647,175.0,4061254.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371961,1536019200,XSD,0.164337,0.362195,0.163319,0.278673,218.0,2396329.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371962,1535932800,XSD,0.219559,0.221059,0.157296,0.164036,608.0,3201560.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371963,1535846400,XSD,0.203727,0.220594,0.16074,0.219547,2113.0,2970705.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371964,1535760000,XSD,0.215008,0.34753,0.201297,0.203693,1228.0,3135199.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371965,1535673600,XSD,0.162861,0.215557,0.149045,0.215019,2858.0,2374804.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371966,1535587200,XSD,0.098543,0.18527,0.081479,0.162947,500.0,1436935.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371967,1535500800,XSD,0.07094,0.284959,0.070353,0.098472,207.0,1034434.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371968,1535414400,XSD,0.16824,0.168598,0.06993,0.070971,28.0,2453242.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371969,1535328000,XSD,0.002753,0.002794,0.002738,0.002787,39.0,40139.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371970,1535241600,XSD,0.172319,0.5233,0.00274,0.002748,39.0,2512723.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371971,1535155200,XSD,0.171847,0.197863,0.170607,0.17206,1356.0,2505845.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371972,1535068800,XSD,0.256096,0.257407,0.168987,0.171053,240.0,3734345.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371973,1534982400,XSD,0.25295,0.337627,0.199665,0.255609,1162.0,3688474.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371974,1534896000,XSD,0.679063,0.774331,0.251398,0.252496,1225.0,9901969.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371975,1534809600,XSD,0.592243,0.705811,0.168709,0.679268,203.0,8635970.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371976,1534723200,XSD,0.403108,0.86844,0.04816,0.594436,128.0,5878049.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371977,1534636800,XSD,0.251173,0.405954,0.177259,0.402903,1354.0,3662552.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371978,1534550400,XSD,0.287911,0.768979,0.207697,0.251115,23.0,4198256.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371979,1534464000,XSD,0.221261,0.285938,0.201131,0.285507,550.0,3226379.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
371980,1534377600,XSD,0.236953,0.436325,0.199975,0.220972,2240.0,3455198.0,2018-10-19 03:34:27 UTC,2018-10-19 03:34:27 UTC
