id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
861007,1544713200,ATC,arbitracoin,0.000964,0.000964,0.000964,0.000964,0.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861008,1544626800,ATC,arbitracoin,0.000977,0.000978,0.000952,0.000964,0.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861009,1544540400,ATC,arbitracoin,0.000787,0.00099,0.000785,0.000977,1.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861010,1544454000,ATC,arbitracoin,0.00084,0.000844,0.000779,0.000788,0.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861011,1544367600,ATC,arbitracoin,0.001047,0.001059,0.000832,0.000841,10.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861012,1544281200,ATC,arbitracoin,0.001041,0.00107,0.001018,0.001049,0.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861013,1544194800,ATC,arbitracoin,0.001094,0.00112,0.001004,0.001044,2.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861014,1544108400,ATC,arbitracoin,0.001194,0.001194,0.001012,0.001094,0.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861015,1544022000,ATC,arbitracoin,0.001323,0.001323,0.001129,0.001196,2.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861016,1543935600,ATC,arbitracoin,0.001385,0.00139,0.001315,0.001323,0.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861017,1543849200,ATC,arbitracoin,0.001201,0.001393,0.001182,0.001384,2.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
861018,1543762800,ATC,arbitracoin,0.001332,0.001528,0.001188,0.001202,100.0,0.0,2018-12-15 10:47:09 UTC,2018-12-15 10:47:09 UTC
