id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
220387,1544713200,CLAM,clams,1.65,1.68,1.57,1.57,11313.0,5296087.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220388,1544626800,CLAM,clams,1.66,1.73,1.59,1.66,7434.0,5569712.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220389,1544540400,CLAM,clams,1.54,1.76,1.51,1.67,24250.0,5611710.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220390,1544454000,CLAM,clams,1.58,1.61,1.47,1.55,18499.0,5197610.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220391,1544367600,CLAM,clams,1.79,1.81,1.55,1.58,10775.0,5301403.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220392,1544281200,CLAM,clams,1.8,1.83,1.67,1.79,23996.0,6022101.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220393,1544194800,CLAM,clams,1.78,1.88,1.73,1.79,13907.0,6024243.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220394,1544108400,CLAM,clams,1.88,1.9,1.68,1.79,22898.0,6001224.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220395,1544022000,CLAM,clams,2.08,2.23,1.89,1.9,36096.0,6389651.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220396,1543935600,CLAM,clams,2.02,2.23,1.96,2.08,79797.0,6960666.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220397,1543849200,CLAM,clams,2.0,2.14,1.95,2.01,35305.0,6750771.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220398,1543762800,CLAM,clams,2.23,2.24,1.99,2.01,53887.0,6747837.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220399,1543676400,CLAM,clams,2.02,2.35,1.97,2.22,146636.0,7422136.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220400,1543590000,CLAM,clams,1.8,2.12,1.78,2.02,40940.0,6760660.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220401,1543503600,CLAM,clams,2.0,2.07,1.76,1.8,58681.0,6007816.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220402,1543417200,CLAM,clams,2.09,2.14,1.86,2.0,132343.0,6687136.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220403,1543330800,CLAM,clams,1.85,2.57,1.84,2.08,616648.0,6960024.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220404,1543244400,CLAM,clams,1.81,1.97,1.61,1.85,515001.0,6162337.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220405,1543158000,CLAM,clams,1.11,1.97,1.1,1.82,476525.0,6061815.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220406,1543071600,CLAM,clams,1.07,1.13,0.938791,1.11,13253.0,3707975.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
220407,1542985200,CLAM,clams,1.08,1.12,0.946508,1.09,11296.0,3649351.0,2018-12-15 09:07:34 UTC,2018-12-15 09:07:34 UTC
