id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
688404,1544713200,CNX,cryptonex,0.970247,0.993508,0.937587,0.969037,5113252.0,53872120.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688405,1544626800,CNX,cryptonex,1.04,1.04,0.959397,0.977618,5232067.0,54347747.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688406,1544540400,CNX,cryptonex,0.997001,1.06,0.997001,1.02,5403420.0,56615526.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688407,1544454000,CNX,cryptonex,1.05,1.05,0.989336,1.0,5335033.0,55697122.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688408,1544367600,CNX,cryptonex,1.06,1.09,1.01,1.03,5487967.0,57455423.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688409,1544281200,CNX,cryptonex,1.04,1.1,1.01,1.07,5709879.0,59491809.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688410,1544194800,CNX,cryptonex,1.01,1.05,0.97684,1.03,5490583.0,57028621.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688411,1544108400,CNX,cryptonex,1.05,1.05,0.965355,1.01,5187029.0,56258406.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688412,1544022000,CNX,cryptonex,1.1,1.16,1.04,1.04,5459060.0,57904188.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688413,1543935600,CNX,cryptonex,1.18,1.26,1.1,1.11,5856659.0,61700851.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688414,1543849200,CNX,cryptonex,1.21,1.28,1.13,1.18,6397141.0,65502514.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688415,1543762800,CNX,cryptonex,1.24,1.3,1.13,1.2,6192343.0,66415559.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688416,1543676400,CNX,cryptonex,1.3,1.34,1.19,1.19,6385666.0,66399546.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688417,1543590000,CNX,cryptonex,1.23,1.35,1.16,1.26,6570064.0,70136476.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688418,1543503600,CNX,cryptonex,1.32,1.34,1.13,1.21,6432560.0,67327858.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688419,1543417200,CNX,cryptonex,1.28,1.38,1.2,1.23,6426507.0,68117436.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688420,1543330800,CNX,cryptonex,1.11,1.33,1.11,1.3,6934190.0,72463543.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688421,1543244400,CNX,cryptonex,1.14,1.19,1.07,1.14,5964680.0,63173899.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688422,1543158000,CNX,cryptonex,1.23,1.28,1.07,1.14,5796720.0,63298924.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688423,1543071600,CNX,cryptonex,1.2,1.29,1.08,1.24,6416330.0,68786655.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688424,1542985200,CNX,cryptonex,1.31,1.39,1.12,1.19,6295700.0,66112222.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688425,1542898800,CNX,cryptonex,1.33,1.38,1.23,1.27,6642700.0,70825030.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688426,1542812400,CNX,cryptonex,1.38,1.47,1.26,1.32,7726060.0,73165071.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688427,1542726000,CNX,cryptonex,1.33,1.46,1.28,1.38,7913500.0,76440132.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688428,1542639600,CNX,cryptonex,1.53,1.59,1.26,1.39,7129680.0,77158216.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688429,1542553200,CNX,cryptonex,1.75,1.8,1.46,1.54,5521390.0,85364148.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688430,1542466800,CNX,cryptonex,1.7,1.82,1.64,1.71,6093470.0,95013580.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688431,1542380400,CNX,cryptonex,1.65,1.81,1.64,1.7,6013380.0,94276652.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688432,1542294000,CNX,cryptonex,1.79,1.83,1.64,1.71,6069400.0,95171439.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688433,1542207600,CNX,cryptonex,1.81,1.87,1.64,1.71,6096340.0,95096781.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688434,1542121200,CNX,cryptonex,1.98,2.08,1.66,1.82,6482140.0,101064255.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688435,1542034800,CNX,cryptonex,1.98,2.08,1.88,2.0,7175370.0,111230305.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688436,1541948400,CNX,cryptonex,2.01,2.09,1.88,1.92,6933700.0,106922554.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688437,1541862000,CNX,cryptonex,1.97,2.09,1.87,1.97,6960410.0,109237686.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688438,1541775600,CNX,cryptonex,1.97,2.08,1.88,2.04,7251250.0,113412859.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688439,1541689200,CNX,cryptonex,1.95,2.09,1.88,2.05,7442510.0,113702042.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688440,1541602800,CNX,cryptonex,1.96,2.1,1.91,2.05,7192920.0,113975162.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688441,1541516400,CNX,cryptonex,2.06,2.13,1.94,1.96,7059560.0,109002475.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688442,1541430000,CNX,cryptonex,1.98,2.1,1.9,2.02,7189730.0,115002667.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688443,1541343600,CNX,cryptonex,2.05,2.08,1.88,2.05,7296640.0,113757473.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688444,1541257200,CNX,cryptonex,2.0,2.07,1.88,2.0,6268220.0,110843423.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688445,1541170800,CNX,cryptonex,1.96,2.06,1.86,1.98,7208780.0,110185296.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688446,1541084400,CNX,cryptonex,1.91,2.07,1.87,2.01,7260720.0,111584654.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688447,1540998000,CNX,cryptonex,1.96,2.12,1.85,1.94,7060620.0,107520152.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688448,1540911600,CNX,cryptonex,1.97,2.05,1.85,1.96,7151400.0,109049898.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688449,1540825200,CNX,cryptonex,2.08,2.12,1.85,1.95,7080510.0,108286833.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688450,1540738800,CNX,cryptonex,2.08,2.18,1.98,2.08,7572190.0,115544178.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688451,1540652400,CNX,cryptonex,2.13,2.18,2.02,2.07,7449180.0,115191294.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688452,1540566000,CNX,cryptonex,2.14,2.18,2.03,2.1,7476020.0,116760744.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688453,1540479600,CNX,cryptonex,2.08,2.19,2.02,2.1,7637840.0,116616718.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688454,1540393200,CNX,cryptonex,2.09,2.18,2.03,2.07,7421260.0,114705427.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688455,1540306800,CNX,cryptonex,2.08,2.19,2.04,2.15,7714000.0,119311716.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
688456,1540220400,CNX,cryptonex,2.09,2.19,2.03,2.11,7549880.0,117310560.0,2018-12-15 10:17:41 UTC,2018-12-15 10:17:41 UTC
