id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
904845,1544713200,DTX,data-exchange,0.008527,0.009135,0.008216,0.008825,29584.0,195029.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904846,1544626800,DTX,data-exchange,0.008589,0.008613,0.008244,0.008531,9951.0,188525.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904847,1544540400,DTX,data-exchange,0.010033,0.010034,0.008477,0.008582,18659.0,189654.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904848,1544454000,DTX,data-exchange,0.010776,0.010827,0.009801,0.010004,3592.0,221098.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904849,1544367600,DTX,data-exchange,0.010984,0.011123,0.010472,0.010771,6918.0,238032.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904850,1544281200,DTX,data-exchange,0.010987,0.011335,0.010942,0.010986,6227.0,242800.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904851,1544194800,DTX,data-exchange,0.011017,0.011083,0.010767,0.010982,20322.0,242709.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904852,1544108400,DTX,data-exchange,0.011468,0.011559,0.01063,0.011006,64314.0,243221.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904853,1544022000,DTX,data-exchange,0.011786,0.012631,0.010556,0.011472,50315.0,253536.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904854,1543935600,DTX,data-exchange,0.012381,0.012437,0.011722,0.011789,25748.0,260528.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904855,1543849200,DTX,data-exchange,0.012141,0.01245,0.011307,0.012372,26579.0,273429.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904856,1543762800,DTX,data-exchange,0.01351,0.013706,0.012087,0.012259,31780.0,270927.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904857,1543676400,DTX,data-exchange,0.012397,0.01381,0.011711,0.013571,3774.0,299929.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904858,1543590000,DTX,data-exchange,0.011634,0.012602,0.011594,0.012449,23940.0,275121.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904859,1543503600,DTX,data-exchange,0.012145,0.012802,0.011418,0.011703,24880.0,258632.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904860,1543417200,DTX,data-exchange,0.012067,0.012779,0.01074,0.012167,27376.0,268886.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904861,1543330800,DTX,data-exchange,0.0108,0.012156,0.010618,0.012102,47207.0,267462.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904862,1543244400,DTX,data-exchange,0.013024,0.013054,0.010769,0.010845,30772.0,239676.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904863,1543158000,DTX,data-exchange,0.012596,0.015023,0.011961,0.013058,60937.0,288579.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904864,1543071600,DTX,data-exchange,0.01166,0.012834,0.009225,0.012752,64745.0,281825.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904865,1542985200,DTX,data-exchange,0.010924,0.012294,0.010746,0.011671,37113.0,257937.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904866,1542898800,DTX,data-exchange,0.012646,0.012663,0.010752,0.01081,28290.0,238891.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904867,1542812400,DTX,data-exchange,0.01287,0.013211,0.0123,0.012642,18857.0,279394.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904868,1542726000,DTX,data-exchange,0.012993,0.013513,0.011892,0.012835,46717.0,283644.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904869,1542639600,DTX,data-exchange,0.015862,0.015862,0.012836,0.012881,694047.0,284678.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904870,1542553200,DTX,data-exchange,0.016632,0.01696,0.015705,0.016126,539616.0,356395.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904871,1542466800,DTX,data-exchange,0.017144,0.017257,0.016588,0.016672,86470.0,368461.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904872,1542380400,DTX,data-exchange,0.016896,0.01724,0.015507,0.017149,34293.0,378987.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904873,1542294000,DTX,data-exchange,0.016319,0.017616,0.015959,0.016956,40343.0,374718.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904874,1542207600,DTX,data-exchange,0.016672,0.018978,0.015523,0.016271,188678.0,359592.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904875,1542121200,DTX,data-exchange,0.01828,0.02152,0.016034,0.016587,76.0,366576.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904876,1542034800,DTX,data-exchange,0.017832,0.021628,0.017737,0.018334,277.0,405187.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904877,1541948400,DTX,data-exchange,0.017384,0.022072,0.01519,0.017911,16479.0,395825.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904878,1541862000,DTX,data-exchange,0.017524,0.017568,0.017298,0.017384,0.0,384181.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904879,1541775600,DTX,data-exchange,0.020678,0.020849,0.01715,0.017538,169.0,387584.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
904880,1541689200,DTX,data-exchange,0.015644,0.021112,0.015644,0.020682,14.0,457062.0,2018-12-15 11:06:26 UTC,2018-12-15 11:06:26 UTC
