id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
826820,1544713200,DXT,datawallet,0.002205,0.002219,0.001875,0.002136,26931.0,833636.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826821,1544626800,DXT,datawallet,0.001785,0.002209,0.001491,0.002207,16581.0,861139.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826822,1544540400,DXT,datawallet,0.001767,0.001818,0.00175,0.001789,22352.0,698265.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826823,1544454000,DXT,datawallet,0.001855,0.001859,0.001727,0.001781,21888.0,695061.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826824,1544367600,DXT,datawallet,0.001792,0.00187,0.001709,0.001853,28927.0,722948.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826825,1544281200,DXT,datawallet,0.001619,0.001839,0.001601,0.00178,22444.0,694645.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826826,1544194800,DXT,datawallet,0.00256,0.002628,0.001493,0.001616,34478.0,630589.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826827,1544108400,DXT,datawallet,0.003034,0.003072,0.001293,0.002558,57030.0,998090.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826828,1544022000,DXT,datawallet,0.002531,0.004925,0.00247,0.003034,47978.0,1183882.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826829,1543935600,DXT,datawallet,0.002672,0.002726,0.002528,0.002532,33050.0,987940.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826830,1543849200,DXT,datawallet,0.002774,0.002849,0.002657,0.00266,33199.0,1037809.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826831,1543762800,DXT,datawallet,0.002785,0.002861,0.00252,0.002774,32425.0,1082417.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826832,1543676400,DXT,datawallet,0.002886,0.00294,0.002795,0.002801,40294.0,1093029.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826833,1543590000,DXT,datawallet,0.002858,0.003005,0.002734,0.002867,42189.0,1118944.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826834,1543503600,DXT,datawallet,0.003075,0.003082,0.002839,0.002856,18502.0,1114305.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826835,1543417200,DXT,datawallet,0.003089,0.003141,0.00296,0.003056,27916.0,1192686.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826836,1543330800,DXT,datawallet,0.002895,0.003224,0.00288,0.003092,23364.0,1206567.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826837,1543244400,DXT,datawallet,0.002901,0.003005,0.002625,0.002886,25003.0,1126131.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826838,1543158000,DXT,datawallet,0.003373,0.003417,0.002862,0.002949,17240.0,1150886.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826839,1543071600,DXT,datawallet,0.003836,0.003891,0.003387,0.003397,33103.0,1325671.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826840,1542985200,DXT,datawallet,0.003966,0.004079,0.003748,0.003854,18615.0,1503885.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826841,1542898800,DXT,datawallet,0.004208,0.004303,0.003914,0.003996,18293.0,1559453.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826842,1542812400,DXT,datawallet,0.004365,0.004417,0.004181,0.004278,15473.0,1669429.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826843,1542726000,DXT,datawallet,0.004228,0.004444,0.004115,0.004407,19815.0,1719600.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826844,1542639600,DXT,datawallet,0.004697,0.004762,0.004111,0.004135,104573.0,1613729.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826845,1542553200,DXT,datawallet,0.005546,0.00555,0.004662,0.004707,135911.0,1836706.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826846,1542466800,DXT,datawallet,0.005465,0.005572,0.005394,0.005518,145431.0,2153086.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826847,1542380400,DXT,datawallet,0.005574,0.005647,0.005355,0.005427,87889.0,2117635.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826848,1542294000,DXT,datawallet,0.005886,0.005907,0.0055,0.00562,59212.0,2193178.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826849,1542207600,DXT,datawallet,0.00632,0.006328,0.005713,0.005845,170435.0,2281005.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826850,1542121200,DXT,datawallet,0.00723,0.00728,0.006056,0.006264,7218.0,2444383.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826851,1542034800,DXT,datawallet,0.007202,0.007379,0.007106,0.007247,22897.0,2827870.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826852,1541948400,DXT,datawallet,0.007392,0.007457,0.007101,0.007227,38011.0,2820144.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826853,1541862000,DXT,datawallet,0.007256,0.007383,0.007177,0.007359,52808.0,2871517.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826854,1541775600,DXT,datawallet,0.007149,0.007487,0.007081,0.007258,46067.0,2832151.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826855,1541689200,DXT,datawallet,0.007213,0.00731,0.007082,0.007149,56566.0,2789706.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826856,1541602800,DXT,datawallet,0.007197,0.007434,0.007059,0.007199,39667.0,2809300.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826857,1541516400,DXT,datawallet,0.007204,0.007336,0.007005,0.007199,37883.0,2809182.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826858,1541430000,DXT,datawallet,0.007125,0.0073,0.007009,0.007203,54697.0,2827960.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826859,1541343600,DXT,datawallet,0.007475,0.007496,0.007095,0.007107,37449.0,2773395.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826860,1541257200,DXT,datawallet,0.007467,0.007484,0.007255,0.007469,56710.0,2914527.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826861,1541170800,DXT,datawallet,0.007592,0.007638,0.007465,0.007469,43900.0,2914519.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826862,1541084400,DXT,datawallet,0.007381,0.007745,0.007368,0.007596,72709.0,2964062.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826863,1540998000,DXT,datawallet,0.007079,0.007537,0.006963,0.007382,44298.0,2880784.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826864,1540911600,DXT,datawallet,0.007596,0.007655,0.006656,0.007079,79623.0,2762492.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826865,1540825200,DXT,datawallet,0.007719,0.007809,0.007392,0.007576,59907.0,2956191.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826866,1540738800,DXT,datawallet,0.008968,0.009075,0.007484,0.00767,52790.0,2993063.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826867,1540652400,DXT,datawallet,0.008954,0.00921,0.008784,0.009007,66150.0,3514841.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826868,1540566000,DXT,datawallet,0.009155,0.009356,0.00866,0.008917,50934.0,3479432.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826869,1540479600,DXT,datawallet,0.009337,0.009376,0.008771,0.009186,78216.0,3584593.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826870,1540393200,DXT,datawallet,0.009227,0.010884,0.008917,0.009353,90757.0,3649936.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
826871,1540306800,DXT,datawallet,0.009155,0.009582,0.009054,0.009223,72828.0,3599082.0,2018-12-15 10:40:59 UTC,2018-12-15 10:40:59 UTC
