id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
940945,1544713200,NRG,energi,1.12,1.13,1.08,1.1,13247.0,11917264.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940946,1544626800,NRG,energi,1.2,1.2,1.11,1.12,8812.0,12145453.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940947,1544540400,NRG,energi,1.23,1.24,1.17,1.2,23494.0,12983036.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940948,1544454000,NRG,energi,1.31,1.32,1.23,1.23,9020.0,13317097.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940949,1544367600,NRG,energi,1.39,1.41,1.31,1.31,10947.0,14143496.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940950,1544281200,NRG,energi,1.33,1.42,1.33,1.39,10169.0,14941561.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940951,1544194800,NRG,energi,1.31,1.38,1.29,1.34,11159.0,14356422.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940952,1544108400,NRG,energi,1.47,1.47,1.26,1.31,20299.0,14082413.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940953,1544022000,NRG,energi,1.09,2.8,1.08,1.47,81483.0,15774262.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940954,1543935600,NRG,energi,1.23,1.23,1.09,1.09,25074.0,11610611.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940955,1543849200,NRG,energi,1.22,1.28,1.2,1.23,10812.0,12874401.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940956,1543762800,NRG,energi,1.17,1.28,1.12,1.22,58651.0,12787399.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940957,1543676400,NRG,energi,1.14,1.22,1.13,1.16,22094.0,12103204.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940958,1543590000,NRG,energi,1.04,1.17,1.03,1.14,26681.0,11845542.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940959,1543503600,NRG,energi,1.03,1.11,0.979409,1.04,28990.0,10821283.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940960,1543417200,NRG,energi,1.03,1.06,0.991273,1.03,17668.0,10664316.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940961,1543330800,NRG,energi,0.859925,1.04,0.859925,1.02,24719.0,10628015.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940962,1543244400,NRG,energi,0.741147,0.867407,0.729526,0.858382,38278.0,8886614.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940963,1543158000,NRG,energi,0.799665,0.821206,0.713863,0.741536,13491.0,7663039.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940964,1543071600,NRG,energi,0.771628,0.825422,0.712003,0.799888,15820.0,8251003.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940965,1542985200,NRG,energi,0.887257,0.904509,0.76851,0.771296,2887.0,7941520.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940966,1542898800,NRG,energi,0.888341,0.908386,0.858049,0.887882,7622.0,9125288.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940967,1542812400,NRG,energi,0.977835,0.986018,0.892863,0.892863,14962.0,9159662.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940968,1542726000,NRG,energi,0.94972,0.998778,0.925107,0.98141,12732.0,10049610.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940969,1542639600,NRG,energi,1.02,1.06,0.906703,0.94901,16269.0,9525260.0,2018-12-15 11:56:55 UTC,2018-12-15 11:56:55 UTC
940970,1542553200,NRG,energi,1.21,1.23,1.01,1.02,22001.0,10258707.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940971,1542466800,NRG,energi,1.26,1.29,1.2,1.21,13243.0,12088928.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940972,1542380400,NRG,energi,1.34,1.35,1.26,1.26,23728.0,12574763.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940973,1542294000,NRG,energi,1.37,1.4,1.32,1.35,11091.0,13498307.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940974,1542207600,NRG,energi,1.26,1.37,1.16,1.37,68938.0,13633877.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940975,1542121200,NRG,energi,1.44,1.45,1.12,1.25,39312.0,12411867.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940976,1542034800,NRG,energi,1.66,1.77,1.49,1.49,15449.0,14735989.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940977,1541948400,NRG,energi,1.84,1.99,1.65,1.66,99077.0,16437738.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940978,1541862000,NRG,energi,1.47,1.84,1.39,1.83,47899.0,18078904.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940979,1541775600,NRG,energi,1.33,1.44,1.28,1.39,7276.0,13641357.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940980,1541689200,NRG,energi,1.33,1.47,1.32,1.33,11463.0,13038730.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940981,1541602800,NRG,energi,1.45,1.45,1.27,1.33,9782.0,13075831.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940982,1541516400,NRG,energi,1.27,1.46,1.23,1.45,37166.0,14220233.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
940983,1541430000,NRG,energi,1.27,1.34,1.17,1.27,53017.0,12258068.0,2018-12-15 11:56:56 UTC,2018-12-15 11:56:56 UTC
