id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
471812,1544713200,ETC,ethereum-classic,3.86,3.86,3.64,3.72,97721744.0,397174412.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471813,1544626800,ETC,ethereum-classic,3.91,3.95,3.77,3.88,103018928.0,413709343.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471814,1544540400,ETC,ethereum-classic,3.73,3.97,3.7,3.91,90010557.0,416744766.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471815,1544454000,ETC,ethereum-classic,3.9,4.13,3.72,3.74,110590535.0,399459236.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471816,1544367600,ETC,ethereum-classic,3.98,4.13,3.83,3.91,103578969.0,417272851.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471817,1544281200,ETC,ethereum-classic,3.85,4.24,3.85,4.0,124556605.0,426107667.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471818,1544194800,ETC,ethereum-classic,3.83,3.99,3.61,3.86,172036529.0,411493661.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471819,1544108400,ETC,ethereum-classic,3.52,3.98,3.32,3.84,257953590.0,409746021.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471820,1544022000,ETC,ethereum-classic,4.04,4.2,3.5,3.52,167476883.0,374775734.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471821,1543935600,ETC,ethereum-classic,4.43,4.49,4.03,4.03,146132326.0,429285710.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471822,1543849200,ETC,ethereum-classic,4.51,4.76,4.38,4.41,193022630.0,469711644.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471823,1543762800,ETC,ethereum-classic,5.17,5.19,4.5,4.51,190323995.0,480661858.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471824,1543676400,ETC,ethereum-classic,4.84,5.32,4.82,5.15,185846834.0,548592459.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471825,1543590000,ETC,ethereum-classic,4.61,4.96,4.49,4.85,182630934.0,516594797.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471826,1543503600,ETC,ethereum-classic,4.91,5.0,4.52,4.6,212580092.0,489683596.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471827,1543417200,ETC,ethereum-classic,5.01,5.08,4.79,4.93,229957883.0,524735425.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471828,1543330800,ETC,ethereum-classic,4.53,5.12,4.52,4.99,236086000.0,530683750.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471829,1543244400,ETC,ethereum-classic,4.3,4.62,4.21,4.53,152596000.0,481952499.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471830,1543158000,ETC,ethereum-classic,4.78,4.86,4.21,4.32,173389000.0,458881687.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471831,1543071600,ETC,ethereum-classic,4.77,4.87,4.25,4.76,214075000.0,506501656.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471832,1542985200,ETC,ethereum-classic,5.22,5.33,4.48,4.77,159911000.0,506535041.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471833,1542898800,ETC,ethereum-classic,5.32,5.39,5.02,5.21,190000000.0,553858530.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471834,1542812400,ETC,ethereum-classic,5.76,5.79,5.34,5.34,135517000.0,567281444.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471835,1542726000,ETC,ethereum-classic,5.52,5.87,5.33,5.75,182373000.0,610902295.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471836,1542639600,ETC,ethereum-classic,6.21,6.4,5.18,5.5,323667000.0,584279356.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471837,1542553200,ETC,ethereum-classic,7.45,7.46,6.12,6.2,241759000.0,657959854.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471838,1542466800,ETC,ethereum-classic,7.41,7.62,7.37,7.45,164022000.0,790573147.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471839,1542380400,ETC,ethereum-classic,7.47,7.51,7.34,7.39,149058000.0,783678160.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471840,1542294000,ETC,ethereum-classic,7.76,7.85,7.41,7.46,165776000.0,791353534.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471841,1542207600,ETC,ethereum-classic,7.93,7.93,7.18,7.72,285111000.0,819057445.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471842,1542121200,ETC,ethereum-classic,9.07,9.28,7.24,7.95,360972000.0,842751072.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471843,1542034800,ETC,ethereum-classic,9.18,9.2,9.03,9.08,130398000.0,962754877.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471844,1541948400,ETC,ethereum-classic,9.28,9.34,9.16,9.19,119261000.0,974477856.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471845,1541862000,ETC,ethereum-classic,9.45,9.46,9.1,9.26,148242000.0,981540556.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471846,1541775600,ETC,ethereum-classic,9.45,9.53,9.42,9.46,123221000.0,1002331488.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471847,1541689200,ETC,ethereum-classic,9.45,9.57,9.42,9.45,142040000.0,1001384491.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
471848,1541602800,ETC,ethereum-classic,9.62,9.65,9.42,9.44,125338000.0,999421509.0,2018-12-15 09:45:06 UTC,2018-12-15 09:45:06 UTC
