id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
949612,1544713200,EVI,evimeria,8.0e-06,9.0e-06,7.0e-06,8.0e-06,98.0,127811.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949613,1544626800,EVI,evimeria,9.0e-06,1.0e-05,8.0e-06,8.0e-06,251.0,119784.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949614,1544540400,EVI,evimeria,1.0e-05,1.0e-05,9.0e-06,9.0e-06,135.0,147107.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949615,1544454000,EVI,evimeria,9.0e-06,1.1e-05,9.0e-06,1.0e-05,52.0,147835.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949616,1544367600,EVI,evimeria,1.0e-05,1.0e-05,9.0e-06,9.0e-06,249.0,145204.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949617,1544281200,EVI,evimeria,1.2e-05,1.3e-05,8.0e-06,1.0e-05,336.0,152215.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949618,1544194800,EVI,evimeria,1.0e-05,1.3e-05,1.0e-05,1.2e-05,6.0,189194.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949619,1544108400,EVI,evimeria,1.1e-05,1.2e-05,1.0e-05,1.0e-05,477.0,157910.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949620,1544022000,EVI,evimeria,1.2e-05,1.4e-05,1.1e-05,1.1e-05,378.0,171263.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949621,1543935600,EVI,evimeria,1.5e-05,1.5e-05,1.3e-05,1.3e-05,475.0,194256.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949622,1543849200,EVI,evimeria,1.3e-05,1.7e-05,1.3e-05,1.5e-05,1636.0,232223.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949623,1543762800,EVI,evimeria,1.4e-05,1.5e-05,1.2e-05,1.3e-05,3055.0,202768.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949624,1543676400,EVI,evimeria,1.4e-05,1.6e-05,1.4e-05,1.4e-05,240.0,214317.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949625,1543590000,EVI,evimeria,1.4e-05,1.7e-05,1.2e-05,1.5e-05,698.0,225535.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949626,1543503600,EVI,evimeria,1.8e-05,1.8e-05,1.4e-05,1.4e-05,1089.0,215263.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
949627,1543417200,EVI,evimeria,1.8e-05,1.8e-05,1.4e-05,1.8e-05,3232.0,278492.0,2018-12-15 12:05:25 UTC,2018-12-15 12:05:25 UTC
