id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
784036,1544713200,FAIR,fairgame,0.002179,0.002187,0.001911,0.001911,442010.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784037,1544626800,FAIR,fairgame,0.00219,0.002336,0.002067,0.002191,433252.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784038,1544540400,FAIR,fairgame,0.002159,0.002221,0.001987,0.002186,278781.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784039,1544454000,FAIR,fairgame,0.002518,0.002544,0.002132,0.002159,361115.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784040,1544367600,FAIR,fairgame,0.00268,0.002707,0.002408,0.002523,323764.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784041,1544281200,FAIR,fairgame,0.002505,0.00272,0.002415,0.00272,387730.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784042,1544194800,FAIR,fairgame,0.002471,0.002609,0.00235,0.002518,374070.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784043,1544108400,FAIR,fairgame,0.00259,0.002644,0.002259,0.002397,444297.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784044,1544022000,FAIR,fairgame,0.002935,0.003076,0.002459,0.002562,1150272.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784045,1543935600,FAIR,fairgame,0.003321,0.003339,0.002874,0.002926,435661.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784046,1543849200,FAIR,fairgame,0.002987,0.003573,0.002961,0.003308,685931.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784047,1543762800,FAIR,fairgame,0.003918,0.003947,0.002942,0.002989,468272.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784048,1543676400,FAIR,fairgame,0.004047,0.004798,0.003666,0.00393,855177.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784049,1543590000,FAIR,fairgame,0.003006,0.00429,0.002883,0.004103,951051.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784050,1543503600,FAIR,fairgame,0.00265,0.003063,0.002577,0.003022,582109.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784051,1543417200,FAIR,fairgame,0.002658,0.003046,0.00255,0.00265,535082.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784052,1543330800,FAIR,fairgame,0.00293,0.00302,0.002597,0.002704,653721.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784053,1543244400,FAIR,fairgame,0.002255,0.002955,0.002206,0.00294,661888.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784054,1543158000,FAIR,fairgame,0.002579,0.00264,0.002238,0.002256,283465.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784055,1543071600,FAIR,fairgame,0.002942,0.002966,0.002389,0.002574,280524.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784056,1542985200,FAIR,fairgame,0.003156,0.003299,0.002901,0.002904,302112.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784057,1542898800,FAIR,fairgame,0.003489,0.003502,0.003127,0.003147,363683.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784058,1542812400,FAIR,fairgame,0.003361,0.003942,0.003144,0.003486,398059.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784059,1542726000,FAIR,fairgame,0.0034,0.003589,0.003175,0.003353,359018.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784060,1542639600,FAIR,fairgame,0.003831,0.004,0.003189,0.003345,288522.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784061,1542553200,FAIR,fairgame,0.004975,0.005071,0.003771,0.003771,413298.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784062,1542466800,FAIR,fairgame,0.004857,0.005207,0.004854,0.004969,444320.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784063,1542380400,FAIR,fairgame,0.005381,0.005496,0.004801,0.004875,447970.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784064,1542294000,FAIR,fairgame,0.005137,0.005858,0.005001,0.005351,498720.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
784065,1542207600,FAIR,fairgame,0.005008,0.005304,0.004663,0.005153,662871.0,0.0,2018-12-15 10:33:36 UTC,2018-12-15 10:33:36 UTC
