id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
297898,1544713200,GCN,gcn-coin,1.0e-06,1.0e-06,1.0e-06,1.0e-06,162.0,194584.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297899,1544626800,GCN,gcn-coin,1.0e-06,1.0e-06,1.0e-06,1.0e-06,1120.0,192986.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297900,1544540400,GCN,gcn-coin,1.0e-06,2.0e-06,1.0e-06,1.0e-06,1393.0,206973.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297901,1544454000,GCN,gcn-coin,1.0e-06,2.0e-06,1.0e-06,1.0e-06,1347.0,233527.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297902,1544367600,GCN,gcn-coin,1.0e-06,2.0e-06,1.0e-06,1.0e-06,1425.0,204771.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297903,1544281200,GCN,gcn-coin,1.0e-06,2.0e-06,1.0e-06,1.0e-06,931.0,223783.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297904,1544194800,GCN,gcn-coin,2.0e-06,2.0e-06,1.0e-06,1.0e-06,1164.0,210795.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297905,1544108400,GCN,gcn-coin,2.0e-06,2.0e-06,1.0e-06,2.0e-06,4344.0,252126.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297906,1544022000,GCN,gcn-coin,2.0e-06,2.0e-06,2.0e-06,2.0e-06,1294.0,267028.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297907,1543935600,GCN,gcn-coin,2.0e-06,3.0e-06,2.0e-06,2.0e-06,781.0,337666.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297908,1543849200,GCN,gcn-coin,3.0e-06,3.0e-06,2.0e-06,2.0e-06,618.0,392713.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297909,1543762800,GCN,gcn-coin,3.0e-06,3.0e-06,2.0e-06,3.0e-06,225.0,461610.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297910,1543676400,GCN,gcn-coin,3.0e-06,4.0e-06,2.0e-06,3.0e-06,1421.0,413451.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297911,1543590000,GCN,gcn-coin,4.0e-06,4.0e-06,2.0e-06,3.0e-06,280.0,479812.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297912,1543503600,GCN,gcn-coin,6.0e-06,1.2e-05,3.0e-06,4.0e-06,323.0,591116.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297913,1543417200,GCN,gcn-coin,2.0e-06,6.0e-06,2.0e-06,6.0e-06,79.0,965583.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297914,1543330800,GCN,gcn-coin,3.0e-06,3.0e-06,2.0e-06,2.0e-06,259.0,377053.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297915,1543244400,GCN,gcn-coin,6.0e-06,6.0e-06,3.0e-06,4.0e-06,145.0,631124.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297916,1543158000,GCN,gcn-coin,2.0e-06,6.0e-06,2.0e-06,6.0e-06,88.0,1014616.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297917,1543071600,GCN,gcn-coin,3.0e-06,3.0e-06,2.0e-06,2.0e-06,827.0,368826.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297918,1542985200,GCN,gcn-coin,2.0e-06,4.0e-06,2.0e-06,3.0e-06,544.0,407487.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297919,1542898800,GCN,gcn-coin,2.0e-06,3.0e-06,2.0e-06,2.0e-06,1396.0,382806.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297920,1542812400,GCN,gcn-coin,3.0e-06,3.0e-06,2.0e-06,2.0e-06,918.0,380796.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297921,1542726000,GCN,gcn-coin,3.0e-06,3.0e-06,2.0e-06,3.0e-06,283.0,490946.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297922,1542639600,GCN,gcn-coin,4.0e-06,4.0e-06,2.0e-06,3.0e-06,402.0,463535.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297923,1542553200,GCN,gcn-coin,3.0e-06,4.0e-06,3.0e-06,4.0e-06,237.0,616054.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297924,1542466800,GCN,gcn-coin,4.0e-06,6.0e-06,3.0e-06,3.0e-06,186.0,431662.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297925,1542380400,GCN,gcn-coin,5.0e-06,6.0e-06,3.0e-06,4.0e-06,321.0,614082.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297926,1542294000,GCN,gcn-coin,3.0e-06,8.0e-06,3.0e-06,5.0e-06,245.0,869917.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297927,1542207600,GCN,gcn-coin,4.0e-06,4.0e-06,3.0e-06,3.0e-06,885.0,499552.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297928,1542121200,GCN,gcn-coin,4.0e-06,4.0e-06,3.0e-06,4.0e-06,838.0,631498.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297929,1542034800,GCN,gcn-coin,1.5e-05,1.7e-05,3.0e-06,4.0e-06,633.0,635065.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297930,1541948400,GCN,gcn-coin,1.4e-05,2.3e-05,1.1e-05,1.5e-05,507.0,2490991.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297931,1541862000,GCN,gcn-coin,5.0e-06,1.4e-05,4.0e-06,1.3e-05,1000.0,2171832.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297932,1541775600,GCN,gcn-coin,4.0e-06,5.0e-06,4.0e-06,5.0e-06,851.0,793534.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297933,1541689200,GCN,gcn-coin,4.0e-06,5.0e-06,4.0e-06,4.0e-06,1412.0,640544.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
297934,1541602800,GCN,gcn-coin,4.0e-06,4.0e-06,3.0e-06,4.0e-06,1198.0,665980.0,2018-12-15 09:19:00 UTC,2018-12-15 09:19:00 UTC
