id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
959255,1544713200,HELP,gohelpfund,0.053618,0.054555,0.038847,0.039653,7117.0,124730.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959256,1544626800,HELP,gohelpfund,0.051611,0.058429,0.045446,0.053652,5395.0,168762.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959257,1544540400,HELP,gohelpfund,0.046821,0.063814,0.046725,0.051585,4599.0,162260.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959258,1544454000,HELP,gohelpfund,0.044942,0.049264,0.042979,0.046883,5043.0,147470.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959259,1544367600,HELP,gohelpfund,0.056466,0.056978,0.044644,0.04499,9333.0,141517.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959260,1544281200,HELP,gohelpfund,0.061812,0.062809,0.049248,0.056556,5043.0,177897.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959261,1544194800,HELP,gohelpfund,0.06393,0.06626,0.054222,0.062591,6176.0,196880.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959262,1544108400,HELP,gohelpfund,0.081973,0.081973,0.058551,0.064989,6549.0,204422.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959263,1544022000,HELP,gohelpfund,0.08964,0.092802,0.071053,0.082115,4922.0,258293.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959264,1543935600,HELP,gohelpfund,0.077008,0.091123,0.071397,0.089678,7136.0,282081.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959265,1543849200,HELP,gohelpfund,0.066577,0.079852,0.059421,0.07699,6195.0,242172.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959266,1543762800,HELP,gohelpfund,0.1009,0.1009,0.051441,0.066627,8331.0,209574.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959267,1543676400,HELP,gohelpfund,0.104662,0.112546,0.092961,0.100417,8526.0,315861.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959268,1543590000,HELP,gohelpfund,0.113372,0.124738,0.045957,0.104747,13896.0,329481.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959269,1543503600,HELP,gohelpfund,0.130801,0.133623,0.110409,0.113051,9054.0,355603.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959270,1543417200,HELP,gohelpfund,0.128523,0.138424,0.111559,0.130496,12017.0,410474.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959271,1543330800,HELP,gohelpfund,0.129946,0.148022,0.120746,0.128162,15457.0,403133.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959272,1543244400,HELP,gohelpfund,0.142443,0.147794,0.112114,0.129822,17320.0,408355.0,2018-12-15 12:19:07 UTC,2018-12-15 12:19:07 UTC
959273,1543158000,HELP,gohelpfund,0.114606,0.151259,0.114169,0.142532,13909.0,448334.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959274,1543071600,HELP,gohelpfund,0.124523,0.133875,0.100579,0.114087,8664.0,358861.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959275,1542985200,HELP,gohelpfund,0.147151,0.14994,0.112674,0.124511,9064.0,391649.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959276,1542898800,HELP,gohelpfund,0.147206,0.160559,0.129897,0.147258,15046.0,463200.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959277,1542812400,HELP,gohelpfund,0.18443,0.185145,0.13438,0.147957,15950.0,465399.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959278,1542726000,HELP,gohelpfund,0.174832,0.20027,0.155622,0.185173,22922.0,582461.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959279,1542639600,HELP,gohelpfund,0.144115,0.185494,0.105605,0.174687,32813.0,549478.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959280,1542553200,HELP,gohelpfund,0.154449,0.173837,0.105923,0.133468,16376.0,419823.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959281,1542466800,HELP,gohelpfund,0.134764,0.179621,0.128619,0.154374,36172.0,485583.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959282,1542380400,HELP,gohelpfund,0.092507,0.160094,0.083908,0.134341,30629.0,422569.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959283,1542294000,HELP,gohelpfund,0.080419,0.152123,0.077039,0.092198,38659.0,290008.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959284,1542207600,HELP,gohelpfund,0.019899,0.108274,0.015334,0.080384,21690.0,252847.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959285,1542121200,HELP,gohelpfund,0.023802,0.026692,0.016279,0.019788,11924.0,62244.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959286,1542034800,HELP,gohelpfund,0.025372,0.026888,0.021524,0.02387,12340.0,75084.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959287,1541948400,HELP,gohelpfund,0.019165,0.026132,0.017087,0.025482,8510.0,80153.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959288,1541862000,HELP,gohelpfund,0.018487,0.020151,0.015306,0.019119,11037.0,60139.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959289,1541775600,HELP,gohelpfund,0.014296,0.020428,0.014058,0.018501,11464.0,58196.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959290,1541689200,HELP,gohelpfund,0.015258,0.019692,0.013068,0.014298,7248.0,44976.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959291,1541602800,HELP,gohelpfund,0.020966,0.023065,0.014026,0.015245,4530.0,47954.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959292,1541516400,HELP,gohelpfund,0.014136,0.023091,0.012404,0.02098,1997.0,65992.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959293,1541430000,HELP,gohelpfund,0.012178,0.02045,0.010064,0.014135,3968.0,44343.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959294,1541343600,HELP,gohelpfund,0.016925,0.019754,0.009629,0.012128,6206.0,38149.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959295,1541257200,HELP,gohelpfund,0.014786,0.019947,0.013437,0.016924,3817.0,53234.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959296,1541170800,HELP,gohelpfund,0.019256,0.019384,0.013067,0.014786,3591.0,46509.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959297,1541084400,HELP,gohelpfund,0.018977,0.022076,0.012967,0.019256,4959.0,60570.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959298,1540998000,HELP,gohelpfund,0.021691,0.022076,0.018344,0.018977,5310.0,59691.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959299,1540911600,HELP,gohelpfund,0.022989,0.024143,0.018233,0.021691,4385.0,68229.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
959300,1540825200,HELP,gohelpfund,0.02669,0.035695,0.018253,0.022917,5059.0,72086.0,2018-12-15 12:19:08 UTC,2018-12-15 12:19:08 UTC
