id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
954207,1544713200,LABH,labh-coin,6.6e-05,6.7e-05,6.4e-05,6.4e-05,0.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954208,1544626800,LABH,labh-coin,7.0e-05,7.0e-05,6.6e-05,6.6e-05,746.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954209,1544540400,LABH,labh-coin,6.8e-05,7.1e-05,6.8e-05,7.0e-05,0.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954210,1544454000,LABH,labh-coin,0.000105,0.000105,6.8e-05,6.8e-05,1.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954211,1544367600,LABH,labh-coin,7.2e-05,0.000105,7.1e-05,0.000105,27.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954212,1544281200,LABH,labh-coin,0.000104,0.000111,7.0e-05,7.2e-05,150.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954213,1544194800,LABH,labh-coin,3.7e-05,0.000139,3.5e-05,0.000139,2199.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954214,1544108400,LABH,labh-coin,3.5e-05,3.8e-05,3.4e-05,3.7e-05,38.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954215,1544022000,LABH,labh-coin,7.7e-05,7.7e-05,3.5e-05,3.5e-05,1.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954216,1543935600,LABH,labh-coin,7.9e-05,7.9e-05,7.7e-05,7.7e-05,0.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954217,1543849200,LABH,labh-coin,3.9e-05,8.1e-05,3.8e-05,7.9e-05,4.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954218,1543762800,LABH,labh-coin,4.2e-05,4.2e-05,3.8e-05,3.9e-05,3.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954219,1543676400,LABH,labh-coin,8.4e-05,8.4e-05,4.1e-05,4.1e-05,11.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954220,1543590000,LABH,labh-coin,8.0e-05,8.4e-05,7.9e-05,8.4e-05,0.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
954221,1543503600,LABH,labh-coin,4.3e-05,8.1e-05,3.9e-05,8.0e-05,4.0,0.0,2018-12-15 12:11:29 UTC,2018-12-15 12:11:29 UTC
