slug,market_weighted_divisor
faircoin,1651972.0
goldblocks,365957.0
monetaryunit,86503.0
bitshares,10287043.0
arbit,11865.0
wild-beast-block,182215.0
aquariuscoin,10343.0
whitecoin,103398.0
bitshares-music,361883.0
bitswift,164258.0
vertcoin,1119718.0
teslacoilcoin,0.0
stellar,17089476.0
novacoin,791412.0
nolimitcoin,57860.0
sixeleven,7323.0
qwark,1402549.0
firstblood,0.0
jin-coin,1776.0
nullex,22622.0
digitalprice,2606.0
8bit,8162.0
incakoin,58380.0
bitgold,17935.0
edrcoin,0.0
magi,101551.0
monacoin,1042841.0
feathercoin,863379.0
hodlcoin,67768.0
trollcoin,20095.0
bitcny,184085.0
digitalcoin,261751.0
digixdao,17071120.0
fastcoin,34529.0
zcoin,334612.0
coin,87621.0
internet-of-people,0.0
pesetacoin,33292.0
quotient,26806.0
bitcoinfast,0.0
bitbar,19837.0
manna,20810.0
veriumreserve,33314.0
expanse,920470.0
kurrent,0.0
c-bit,1058.0
nubits,761271.0
capricoin,152341.0
worldcoin,487691.0
bitsend,86316.0
fedoracoin,1652530.0
ratecoin,10491.0
virtacoin,149226.0
argentum,4280.0
ardor,10138946.0
soilcoin,8732.0
pura,3986.0
revolutionvr,327373.0
bata,34785.0
espers,67066.0
aces,0.0
rubies,86383.0
tellurion,0.0
leocoin,0.0
ripple,234334879.0
peercoin,5484712.0
smartcoin,16360.0
einsteinium,226741.0
flo,366139.0
nevacoin,5506.0
joulecoin,13447.0
bean-cash,48939.0
cashcoin,12696.0
ultracoin,68068.0
reddcoin,469409.0
globalboost-y,17980.0
paycoin2,17272.0
revolvercoin,6611.0
bolivarcoin,3864.0
nem,33084270.0
gapcoin,20521.0
berncash,14659.0
tittiecoin,59306.0
clubcoin,0.0
golem-network-tokens,6628118.0
blazecoin,1376.0
curecoin,866907.0
zurcoin,4229.0
spreadcoin,123450.0
paccoin,0.0
aeon,1277730.0
parallelcoin,3244.0
quebecoin,0.0
fujicoin,15469.0
bitbay,929831.0
allsafe,6841.0
gridcoin,2787538.0
sequence,151888.0
trumpcoin,401528.0
powercoin,482.0
vaperscoin,6417.0
pinkcoin,172718.0
comet,1129.0
iocoin,5954677.0
42-coin,9823.0
solarcoin,2826129.0
avatarcoin,0.0
hyperstake,26023.0
posex,2433.0
first-bitcoin,0.0
veltor,10480.0
phoenixcoin,6884.0
chesscoin,4384.0
clams,1780338.0
litecoin,212503138.0
steem-dollars,1209436.0
nexium,1336081.0
boolberry,758287.0
pakcoin,32766.0
nxt,5934769.0
bitcoin,15492554222.0
tajcoin,664.0
asiadigicoin,549359.0
bitzeny,4363.0
global-currency-reserve,3520831.0
kobocoin,31832.0
infinitecoin,434364.0
anoncoin,28703.0
mustangcoin,2625.0
fuzzballs,1586.0
putincoin,59287.0
stealth,116507.0
heat-ledger,0.0
hempcoin,97216.0
nushares,235629.0
memetic,18231.0
syscoin,4795473.0
potcoin,3316376.0
francs,3403.0
shift,95563.0
monero,188310588.0
sakuracoin,0.0
