id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
893924,1544713200,MEDX,medx,0.003329,0.00351,0.003099,0.003189,1411973.0,10119650.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893925,1544626800,MEDX,medx,0.003051,0.003604,0.003051,0.003203,1963258.0,10163318.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893926,1544540400,MEDX,medx,0.002644,0.003011,0.002619,0.002991,617762.0,9490410.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893927,1544454000,MEDX,medx,0.002724,0.002774,0.002584,0.002639,534466.0,8374529.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893928,1544367600,MEDX,medx,0.00288,0.002935,0.002628,0.002722,951000.0,8638060.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893929,1544281200,MEDX,medx,0.002787,0.002964,0.002599,0.002888,916063.0,9164209.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893930,1544194800,MEDX,medx,0.00275,0.002909,0.002536,0.002798,1005884.0,8878813.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893931,1544108400,MEDX,medx,0.002843,0.002919,0.002461,0.002801,1304944.0,8889873.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893932,1544022000,MEDX,medx,0.00331,0.003412,0.002765,0.002765,1204369.0,8775261.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893933,1543935600,MEDX,medx,0.003668,0.003668,0.002924,0.003335,1221976.0,10576491.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893934,1543849200,MEDX,medx,0.003492,0.003758,0.003391,0.003646,1550372.0,11563920.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893935,1543762800,MEDX,medx,0.003775,0.003838,0.003406,0.003487,1394653.0,11058152.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893936,1543676400,MEDX,medx,0.003778,0.003932,0.003606,0.003767,1538862.0,11948016.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893937,1543590000,MEDX,medx,0.003486,0.003914,0.003453,0.003862,1592204.0,12249269.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893938,1543503600,MEDX,medx,0.003756,0.00378,0.003348,0.003479,1390338.0,11033809.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893939,1543417200,MEDX,medx,0.004059,0.004098,0.003613,0.003804,1991473.0,12063037.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893940,1543330800,MEDX,medx,0.003741,0.004108,0.003577,0.004075,2787970.0,12923874.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893941,1543244400,MEDX,medx,0.003168,0.003662,0.003123,0.003662,2173650.0,11615208.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
893942,1543158000,MEDX,medx,0.003182,0.003511,0.002973,0.003168,1815020.0,10046387.0,2018-12-15 10:53:31 UTC,2018-12-15 10:53:31 UTC
