id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
932163,1544713200,MEETONE,meetone,0.000943,0.000947,0.000622,0.000628,416.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932164,1544626800,MEETONE,meetone,0.000801,0.001015,0.000773,0.000953,214.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932165,1544540400,MEETONE,meetone,0.001377,0.001455,0.000794,0.000801,1640.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932166,1544454000,MEETONE,meetone,0.001285,0.0014,0.001113,0.001375,881.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932167,1544367600,MEETONE,meetone,0.000958,0.001333,0.000726,0.0013,1304.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932168,1544281200,MEETONE,meetone,0.000725,0.00105,0.000706,0.00076,150.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932169,1544194800,MEETONE,meetone,0.001137,0.001172,0.00069,0.000887,231.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932170,1544108400,MEETONE,meetone,0.001099,0.001158,0.000937,0.001139,184.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932171,1544022000,MEETONE,meetone,0.001052,0.00118,0.001025,0.001102,225.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932172,1543935600,MEETONE,meetone,0.001368,0.001384,0.001055,0.001055,336.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932173,1543849200,MEETONE,meetone,0.001332,0.001506,0.001059,0.001366,438.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932174,1543762800,MEETONE,meetone,0.001382,0.001573,0.001269,0.001398,266.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932175,1543676400,MEETONE,meetone,0.001613,0.00175,0.001312,0.001383,297.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932176,1543590000,MEETONE,meetone,0.001394,0.001752,0.001252,0.001334,264.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932177,1543503600,MEETONE,meetone,0.001603,0.001783,0.001318,0.00139,364.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932178,1543417200,MEETONE,meetone,0.001647,0.001874,0.001442,0.0016,571.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932179,1543330800,MEETONE,meetone,0.001395,0.001763,0.001376,0.001645,1649.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932180,1543244400,MEETONE,meetone,0.001493,0.001537,0.00123,0.001392,339.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932181,1543158000,MEETONE,meetone,0.00142,0.001539,0.001256,0.001509,412.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932182,1543071600,MEETONE,meetone,0.001387,0.001491,0.001281,0.001423,993.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932183,1542985200,MEETONE,meetone,0.001359,0.001535,0.00128,0.001389,523.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932184,1542898800,MEETONE,meetone,0.001437,0.001522,0.00124,0.001444,300.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932185,1542812400,MEETONE,meetone,0.00148,0.00199,0.001392,0.00151,1157.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932186,1542726000,MEETONE,meetone,0.001369,0.001646,0.001267,0.001481,312.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932187,1542639600,MEETONE,meetone,0.001743,0.001783,0.001305,0.001405,385.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932188,1542553200,MEETONE,meetone,0.001703,0.001992,0.000889,0.001692,1639.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932189,1542466800,MEETONE,meetone,0.001846,0.001903,0.000893,0.001698,1423.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932190,1542380400,MEETONE,meetone,0.00186,0.00192,0.001824,0.001846,728.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932191,1542294000,MEETONE,meetone,0.002042,0.002042,0.001784,0.001839,1405.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932192,1542207600,MEETONE,meetone,0.001949,0.002121,0.001706,0.002037,396.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932193,1542121200,MEETONE,meetone,0.002273,0.00237,0.00186,0.001935,1344.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932194,1542034800,MEETONE,meetone,0.002099,0.002294,0.002099,0.002274,291.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932195,1541948400,MEETONE,meetone,0.002493,0.002543,0.002097,0.002097,371.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932196,1541862000,MEETONE,meetone,0.002625,0.002733,0.002274,0.002498,675.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
932197,1541775600,MEETONE,meetone,0.002184,0.002745,0.002164,0.002629,581.0,0.0,2018-12-15 11:49:23 UTC,2018-12-15 11:49:23 UTC
