id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
960405,1544713200,MODX,model-x-coin,0.045957,0.04945,0.045387,0.048265,60383.0,2113.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960406,1544626800,MODX,model-x-coin,0.041886,0.051407,0.041221,0.045986,120018.0,2013.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960407,1544540400,MODX,model-x-coin,0.056555,0.058502,0.041658,0.041865,88863.0,1833.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960408,1544454000,MODX,model-x-coin,0.064268,0.064405,0.054688,0.05663,97028.0,2479.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960409,1544367600,MODX,model-x-coin,0.053184,0.067734,0.053184,0.064337,40407.0,2817.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960410,1544281200,MODX,model-x-coin,0.0492,0.056684,0.042023,0.053249,221.0,2331.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960411,1544194800,MODX,model-x-coin,0.060896,0.062028,0.041897,0.049342,734.0,2160.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960412,1544108400,MODX,model-x-coin,0.063878,0.063878,0.055643,0.060934,686.0,2668.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960413,1544022000,MODX,model-x-coin,0.075115,0.075798,0.062687,0.063933,146.0,2799.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960414,1543935600,MODX,model-x-coin,0.067323,0.074355,0.059703,0.07369,556.0,3226.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960415,1543849200,MODX,model-x-coin,0.066142,0.203121,0.066142,0.067288,2904.0,2946.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960416,1543762800,MODX,model-x-coin,0.078701,0.133509,0.031365,0.073479,25158.0,3217.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960417,1543676400,MODX,model-x-coin,0.078627,0.080066,0.073662,0.078256,48.0,3426.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960418,1543590000,MODX,model-x-coin,0.078797,0.086418,0.077029,0.078691,105.0,3445.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960419,1543503600,MODX,model-x-coin,0.077979,0.085796,0.073217,0.078575,148.0,3440.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960420,1543417200,MODX,model-x-coin,0.091771,0.091933,0.073761,0.077803,742.0,3406.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960421,1543330800,MODX,model-x-coin,0.080673,0.094379,0.080673,0.091395,985.0,4001.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960422,1543244400,MODX,model-x-coin,0.087172,0.088032,0.078101,0.080597,186.0,3529.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960423,1543158000,MODX,model-x-coin,0.093975,0.100027,0.078086,0.087227,311.0,3819.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960424,1543071600,MODX,model-x-coin,0.092453,0.100903,0.083544,0.093777,204.0,4106.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960425,1542985200,MODX,model-x-coin,0.093075,0.107061,0.086691,0.092435,1754.0,4047.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960426,1542898800,MODX,model-x-coin,0.103805,0.104887,0.089992,0.093142,900.0,4078.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960427,1542812400,MODX,model-x-coin,0.09445,0.112172,0.093873,0.104333,1023.0,4568.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960428,1542726000,MODX,model-x-coin,0.088649,0.113634,0.086628,0.094836,2451.0,4152.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960429,1542639600,MODX,model-x-coin,0.09901,0.101798,0.083323,0.088585,479.0,3878.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960430,1542553200,MODX,model-x-coin,0.107133,0.117976,0.089717,0.099544,1611.0,4358.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960431,1542466800,MODX,model-x-coin,0.091612,0.111812,0.09069,0.10737,952.0,4701.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960432,1542380400,MODX,model-x-coin,0.110657,0.131834,0.079918,0.091323,1884.0,3998.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960433,1542294000,MODX,model-x-coin,0.140282,0.140491,0.110214,0.110214,245.0,4825.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960434,1542207600,MODX,model-x-coin,0.11642,0.140318,0.115694,0.140318,452.0,6143.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960435,1542121200,MODX,model-x-coin,0.137411,0.149235,0.112331,0.115783,349.0,5069.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960436,1542034800,MODX,model-x-coin,0.133627,0.165298,0.121889,0.1378,2849.0,6033.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960437,1541948400,MODX,model-x-coin,0.11337,0.134227,0.102788,0.134207,1924.0,5876.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960438,1541862000,MODX,model-x-coin,0.105515,0.117487,0.100085,0.113097,524.0,4952.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960439,1541775600,MODX,model-x-coin,0.126332,0.12721,0.100992,0.105595,1366.0,4623.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960440,1541689200,MODX,model-x-coin,0.117947,0.140968,0.117598,0.12635,674.0,5532.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960441,1541602800,MODX,model-x-coin,0.130615,0.130861,0.097743,0.117851,860.0,5160.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960442,1541516400,MODX,model-x-coin,0.158881,0.160848,0.124403,0.130704,517.0,5723.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960443,1541430000,MODX,model-x-coin,0.147201,0.186032,0.108631,0.158952,5320.0,4794.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960444,1541343600,MODX,model-x-coin,0.139258,0.148141,0.131713,0.146606,1024.0,6419.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960445,1541257200,MODX,model-x-coin,0.128351,0.149328,0.093757,0.139249,227.0,6097.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960446,1541170800,MODX,model-x-coin,0.159637,0.159637,0.124271,0.131921,3714.0,5776.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960447,1541084400,MODX,model-x-coin,0.131559,0.167469,0.131559,0.159637,2266.0,6989.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960448,1540998000,MODX,model-x-coin,0.127655,0.13852,0.122401,0.131559,88.0,5760.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960449,1540911600,MODX,model-x-coin,0.122125,0.128948,0.103306,0.127655,153.0,5589.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960450,1540825200,MODX,model-x-coin,0.122274,0.13406,0.104318,0.121747,269.0,5330.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960451,1540738800,MODX,model-x-coin,0.151598,0.160945,0.110328,0.12254,706.0,5365.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960452,1540652400,MODX,model-x-coin,0.168156,0.168435,0.14991,0.151318,1269.0,6625.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960453,1540566000,MODX,model-x-coin,0.178106,0.178907,0.16024,0.166303,644.0,7281.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960454,1540479600,MODX,model-x-coin,0.135418,0.179801,0.135418,0.178106,3132.0,7798.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960455,1540393200,MODX,model-x-coin,0.092716,0.160767,0.089941,0.135631,2782.0,5950.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960456,1540306800,MODX,model-x-coin,0.085651,0.11295,0.085047,0.092686,1055.0,4066.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960457,1540220400,MODX,model-x-coin,0.097156,0.10972,0.076403,0.086067,2147.0,4289.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
960458,1540134000,MODX,model-x-coin,0.080223,0.110102,0.079802,0.106114,3506.0,0.0,2018-12-15 12:20:44 UTC,2018-12-15 12:20:44 UTC
