id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
284504,1544713200,NSR,nushares,9.9e-05,0.0001,6.4e-05,6.5e-05,1.0,179895.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284505,1544626800,NSR,nushares,8.3e-05,0.000104,3.4e-05,9.9e-05,647.0,275830.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284506,1544540400,NSR,nushares,6.9e-05,8.5e-05,6.9e-05,8.3e-05,0.0,230101.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284507,1544454000,NSR,nushares,7.0e-05,7.0e-05,6.8e-05,6.9e-05,716.0,192177.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284508,1544367600,NSR,nushares,0.000108,0.00011,6.9e-05,7.0e-05,700.0,194556.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284509,1544281200,NSR,nushares,0.000104,0.000111,0.0001,0.000109,0.0,301385.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284510,1544194800,NSR,nushares,6.8e-05,0.000106,6.8e-05,0.000105,984.0,290442.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284511,1544108400,NSR,nushares,7.0e-05,7.0e-05,6.6e-05,6.8e-05,0.0,189980.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284512,1544022000,NSR,nushares,1.7e-05,7.8e-05,1.7e-05,7.0e-05,21.0,195360.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284513,1543935600,NSR,nushares,5.2e-05,5.2e-05,1.6e-05,1.7e-05,0.0,47020.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284514,1543849200,NSR,nushares,7.7e-05,8.1e-05,5.1e-05,5.2e-05,0.0,143344.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284515,1543762800,NSR,nushares,8.3e-05,8.3e-05,7.7e-05,7.8e-05,0.0,215376.0,2018-12-15 09:17:02 UTC,2018-12-15 09:17:02 UTC
284516,1543676400,NSR,nushares,8.4e-05,8.6e-05,8.2e-05,8.3e-05,291.0,229983.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284517,1543590000,NSR,nushares,4.0e-05,8.6e-05,4.0e-05,8.4e-05,30.0,233016.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284518,1543503600,NSR,nushares,4.3e-05,4.3e-05,3.9e-05,4.0e-05,1025.0,111445.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284519,1543417200,NSR,nushares,4.3e-05,4.4e-05,4.1e-05,4.3e-05,0.0,118833.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284520,1543330800,NSR,nushares,3.7e-05,8.5e-05,3.7e-05,4.3e-05,1.0,118073.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284521,1543244400,NSR,nushares,3.8e-05,3.8e-05,3.6e-05,3.7e-05,0.0,103567.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284522,1543158000,NSR,nushares,7.7e-05,7.7e-05,3.6e-05,3.8e-05,0.0,104702.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
284523,1543071600,NSR,nushares,7.7e-05,7.9e-05,7.1e-05,7.7e-05,0.0,214627.0,2018-12-15 09:17:03 UTC,2018-12-15 09:17:03 UTC
