id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
878047,1544713200,PAL,pal-network,0.004405,0.004487,0.004087,0.00417,185768.0,1915478.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878048,1544626800,PAL,pal-network,0.004528,0.004739,0.004342,0.004388,173869.0,2015749.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878049,1544540400,PAL,pal-network,0.004397,0.004659,0.004334,0.004522,202943.0,2076077.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878050,1544454000,PAL,pal-network,0.00475,0.006981,0.004276,0.004413,197561.0,2026157.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878051,1544367600,PAL,pal-network,0.005144,0.005415,0.004696,0.004873,394229.0,2237405.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878052,1544281200,PAL,pal-network,0.004198,0.005106,0.004114,0.004857,204052.0,2230166.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878053,1544194800,PAL,pal-network,0.004026,0.004383,0.00387,0.004201,125434.0,1928764.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878054,1544108400,PAL,pal-network,0.004105,0.004153,0.003688,0.003922,92684.0,1800901.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878055,1544022000,PAL,pal-network,0.004602,0.004851,0.004149,0.004149,88959.0,1905565.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878056,1543935600,PAL,pal-network,0.005176,0.00521,0.004552,0.004582,80872.0,2104188.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878057,1543849200,PAL,pal-network,0.005146,0.005369,0.004939,0.005188,72467.0,2382641.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878058,1543762800,PAL,pal-network,0.005506,0.005641,0.004889,0.005167,95460.0,2372968.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878059,1543676400,PAL,pal-network,0.005694,0.005829,0.005453,0.005562,81434.0,2554290.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878060,1543590000,PAL,pal-network,0.005311,0.005849,0.005196,0.005669,67171.0,2603433.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878061,1543503600,PAL,pal-network,0.005793,0.006545,0.004943,0.005261,297087.0,2415926.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878062,1543417200,PAL,pal-network,0.004944,0.006016,0.004675,0.005736,359061.0,2634014.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878063,1543330800,PAL,pal-network,0.004047,0.006636,0.004012,0.004923,139244.0,2260854.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878064,1543244400,PAL,pal-network,0.003786,0.004115,0.003711,0.004007,116590.0,1839962.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878065,1543158000,PAL,pal-network,0.004157,0.004329,0.003612,0.003826,124235.0,1756831.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878066,1543071600,PAL,pal-network,0.003953,0.004196,0.003558,0.004125,102927.0,1893959.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878067,1542985200,PAL,pal-network,0.004711,0.004794,0.003797,0.003952,164139.0,1814865.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878068,1542898800,PAL,pal-network,0.004836,0.005007,0.004376,0.004687,168552.0,2152365.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878069,1542812400,PAL,pal-network,0.005148,0.005523,0.004889,0.005015,127071.0,2302725.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878070,1542726000,PAL,pal-network,0.004764,0.005383,0.004237,0.00526,91685.0,2416684.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878071,1542639600,PAL,pal-network,0.005535,0.005892,0.004275,0.004762,158679.0,2188098.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878072,1542553200,PAL,pal-network,0.007391,0.007798,0.00542,0.005587,311213.0,2567168.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878073,1542466800,PAL,pal-network,0.007241,0.007477,0.00699,0.007371,251107.0,3386915.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878074,1542380400,PAL,pal-network,0.007635,0.016466,0.006944,0.007184,216233.0,3300671.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878075,1542294000,PAL,pal-network,0.006798,0.009313,0.006798,0.007657,618719.0,3518372.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
878076,1542207600,PAL,pal-network,0.007516,0.007578,0.00632,0.00683,431486.0,3138465.0,2018-12-15 10:50:26 UTC,2018-12-15 10:50:26 UTC
