id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
132638,1544713200,PHO,photon,9.0e-06,9.0e-06,8.0e-06,9.0e-06,198.0,238308.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132639,1544626800,PHO,photon,9.0e-06,1.0e-05,9.0e-06,9.0e-06,207.0,229751.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132640,1544540400,PHO,photon,9.0e-06,1.0e-05,9.0e-06,9.0e-06,676.0,238710.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132641,1544454000,PHO,photon,8.0e-06,9.0e-06,8.0e-06,9.0e-06,208.0,223331.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132642,1544367600,PHO,photon,9.0e-06,9.0e-06,8.0e-06,8.0e-06,120.0,210135.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132643,1544281200,PHO,photon,8.0e-06,1.0e-05,8.0e-06,9.0e-06,852.0,243424.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132644,1544194800,PHO,photon,8.0e-06,9.0e-06,8.0e-06,8.0e-06,189.0,220188.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132645,1544108400,PHO,photon,9.0e-06,9.0e-06,7.0e-06,8.0e-06,915.0,215074.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132646,1544022000,PHO,photon,1.0e-05,1.0e-05,8.0e-06,9.0e-06,447.0,222713.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132647,1543935600,PHO,photon,1.0e-05,1.0e-05,9.0e-06,1.0e-05,282.0,249049.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132648,1543849200,PHO,photon,1.0e-05,1.0e-05,9.0e-06,1.0e-05,409.0,246540.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132649,1543762800,PHO,photon,1.0e-05,1.1e-05,9.0e-06,1.0e-05,141.0,262690.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132650,1543676400,PHO,photon,1.1e-05,1.1e-05,1.0e-05,1.0e-05,582.0,261089.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132651,1543590000,PHO,photon,1.0e-05,1.1e-05,1.0e-05,1.1e-05,112.0,275946.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132652,1543503600,PHO,photon,1.1e-05,1.1e-05,1.0e-05,1.0e-05,297.0,263943.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132653,1543417200,PHO,photon,1.1e-05,1.1e-05,1.0e-05,1.1e-05,44.0,279391.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132654,1543330800,PHO,photon,1.0e-05,1.2e-05,9.0e-06,1.1e-05,520.0,278985.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132655,1543244400,PHO,photon,9.0e-06,1.0e-05,9.0e-06,9.0e-06,510.0,239586.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132656,1543158000,PHO,photon,1.1e-05,1.1e-05,9.0e-06,9.0e-06,484.0,236868.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132657,1543071600,PHO,photon,1.1e-05,1.1e-05,9.0e-06,1.1e-05,1168.0,272387.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132658,1542985200,PHO,photon,1.1e-05,1.2e-05,1.0e-05,1.1e-05,68.0,275311.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132659,1542898800,PHO,photon,1.1e-05,1.2e-05,1.0e-05,1.1e-05,905.0,290124.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132660,1542812400,PHO,photon,1.1e-05,1.1e-05,1.0e-05,1.1e-05,588.0,283806.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132661,1542726000,PHO,photon,1.1e-05,1.1e-05,1.0e-05,1.1e-05,92.0,274699.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132662,1542639600,PHO,photon,1.1e-05,1.2e-05,1.0e-05,1.1e-05,694.0,282721.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
132663,1542553200,PHO,photon,1.4e-05,1.4e-05,1.1e-05,1.2e-05,117.0,296693.0,2018-12-15 08:54:46 UTC,2018-12-15 08:54:46 UTC
