id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
742280,1544713200,AI,poly-ai,6.6e-05,6.7e-05,3.2e-05,3.7e-05,1.0,85.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742281,1544626800,AI,poly-ai,3.4e-05,6.9e-05,3.3e-05,6.6e-05,0.0,151.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742282,1544540400,AI,poly-ai,4.1e-05,4.1e-05,3.3e-05,3.4e-05,2.0,76.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742283,1544454000,AI,poly-ai,6.0e-05,6.1e-05,4.0e-05,4.1e-05,0.0,93.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742284,1544367600,AI,poly-ai,4.4e-05,6.1e-05,4.2e-05,6.1e-05,23.0,138.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742285,1544281200,AI,poly-ai,3.8e-05,4.4e-05,3.6e-05,4.4e-05,29.0,100.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742286,1544194800,AI,poly-ai,3.8e-05,3.8e-05,3.8e-05,3.8e-05,0.0,86.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742287,1544108400,AI,poly-ai,3.8e-05,3.8e-05,3.8e-05,3.8e-05,0.0,86.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742288,1544022000,AI,poly-ai,3.8e-05,3.9e-05,3.8e-05,3.8e-05,0.0,86.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742289,1543935600,AI,poly-ai,7.5e-05,7.6e-05,3.8e-05,3.8e-05,15.0,86.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742290,1543849200,AI,poly-ai,8.2e-05,8.2e-05,3.9e-05,7.5e-05,86.0,172.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742291,1543762800,AI,poly-ai,8.2e-05,8.2e-05,8.2e-05,8.2e-05,0.0,187.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742292,1543676400,AI,poly-ai,8.4e-05,8.6e-05,8.2e-05,8.2e-05,0.0,187.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742293,1543590000,AI,poly-ai,4.0e-05,8.6e-05,4.0e-05,8.4e-05,0.0,191.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742294,1543503600,AI,poly-ai,4.3e-05,4.3e-05,3.9e-05,4.0e-05,0.0,92.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742295,1543417200,AI,poly-ai,4.1e-05,4.5e-05,3.9e-05,4.3e-05,2.0,98.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742296,1543330800,AI,poly-ai,3.8e-05,4.2e-05,3.8e-05,4.0e-05,11.0,92.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742297,1543244400,AI,poly-ai,3.8e-05,3.8e-05,3.6e-05,3.8e-05,0.0,86.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742298,1543158000,AI,poly-ai,4.0e-05,4.6e-05,3.6e-05,3.8e-05,12.0,86.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742299,1543071600,AI,poly-ai,3.5e-05,4.1e-05,3.3e-05,4.0e-05,0.0,91.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742300,1542985200,AI,poly-ai,5.2e-05,5.3e-05,3.4e-05,3.5e-05,8.0,81.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742301,1542898800,AI,poly-ai,8.7e-05,8.8e-05,5.0e-05,5.2e-05,2.0,118.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742302,1542812400,AI,poly-ai,4.5e-05,9.0e-05,4.5e-05,8.7e-05,19.0,199.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
742303,1542726000,AI,poly-ai,4.4e-05,4.7e-05,4.3e-05,4.5e-05,0.0,103.0,2018-12-15 10:26:20 UTC,2018-12-15 10:26:20 UTC
