id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
719451,1544713200,POWR,power-ledger,0.064649,0.065476,0.061859,0.062746,678241.0,24557356.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719452,1544626800,POWR,power-ledger,0.067295,0.068175,0.063274,0.064761,743500.0,25346116.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719453,1544540400,POWR,power-ledger,0.066132,0.069145,0.06546,0.067268,697955.0,26327308.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719454,1544454000,POWR,power-ledger,0.068422,0.068787,0.063313,0.066057,697130.0,25853187.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719455,1544367600,POWR,power-ledger,0.072914,0.073986,0.067482,0.068478,721153.0,26800719.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719456,1544281200,POWR,power-ledger,0.069638,0.075674,0.068832,0.073124,897486.0,28618580.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719457,1544194800,POWR,power-ledger,0.069292,0.071092,0.065729,0.07006,725143.0,27419509.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719458,1544108400,POWR,power-ledger,0.071763,0.071763,0.064026,0.06975,769015.0,27298240.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719459,1544022000,POWR,power-ledger,0.083915,0.084258,0.071747,0.071866,1139641.0,28126443.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719460,1543935600,POWR,power-ledger,0.092375,0.092418,0.083261,0.084222,819697.0,32961909.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719461,1543849200,POWR,power-ledger,0.09106,0.093672,0.08546,0.092988,2589406.0,36392738.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719462,1543762800,POWR,power-ledger,0.089864,0.09402,0.082688,0.084934,3159213.0,33174806.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719463,1543676400,POWR,power-ledger,0.08984,0.094132,0.086868,0.088006,2085025.0,34374786.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719464,1543590000,POWR,power-ledger,0.086249,0.091807,0.084065,0.089843,1992225.0,35092367.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719465,1543503600,POWR,power-ledger,0.096277,0.101149,0.079962,0.086335,3788177.0,33722059.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719466,1543417200,POWR,power-ledger,0.087909,0.097213,0.083466,0.092551,3267537.0,36149857.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719467,1543330800,POWR,power-ledger,0.074392,0.089941,0.074392,0.087953,2332920.0,34353840.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719468,1543244400,POWR,power-ledger,0.072702,0.074763,0.070447,0.074408,913503.0,29063499.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719469,1543158000,POWR,power-ledger,0.078493,0.082939,0.069732,0.072822,1119250.0,28444132.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719470,1543071600,POWR,power-ledger,0.078131,0.081235,0.068002,0.078396,1683280.0,30620998.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
719471,1542985200,POWR,power-ledger,0.088934,0.092453,0.076628,0.078191,1787770.0,30540965.0,2018-12-15 10:22:31 UTC,2018-12-15 10:22:31 UTC
