id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
578435,1544713200,NANOX,project-x,21171.98,21294.43,17620.48,20725.25,304.0,1622.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578436,1544626800,NANOX,project-x,19856.99,21360.28,16502.21,21019.65,897.0,1645.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578437,1544540400,NANOX,project-x,18776.16,20123.56,17850.89,19846.94,235.0,1553.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578438,1544454000,NANOX,project-x,19946.31,20044.74,17026.04,18801.0,104.0,1471.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578439,1544367600,NANOX,project-x,20585.93,20812.05,16853.07,19967.85,235.0,1563.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578440,1544281200,NANOX,project-x,18218.36,20643.74,17547.16,20618.75,422.0,1614.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578441,1544194800,NANOX,project-x,17943.1,18445.87,17574.4,18271.2,30.0,1430.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578442,1544108400,NANOX,project-x,18430.82,18451.14,17198.49,17954.29,163.0,1405.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578443,1544022000,NANOX,project-x,19738.6,20426.28,18462.68,18462.68,62.0,1445.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578444,1543935600,NANOX,project-x,20849.92,20904.68,18117.06,19746.8,91.0,1545.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578445,1543849200,NANOX,project-x,20408.97,21418.02,18945.68,20827.63,17.0,1630.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578446,1543762800,NANOX,project-x,21933.44,21933.44,18478.39,20428.66,46.0,1599.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578447,1543676400,NANOX,project-x,22079.15,22721.67,21612.77,21795.67,34.0,1706.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578448,1543590000,NANOX,project-x,21196.74,22740.29,18962.18,22096.92,36.0,1729.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578449,1543503600,NANOX,project-x,22872.09,23086.98,19040.91,21136.72,125.0,1654.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578450,1543417200,NANOX,project-x,24543.53,24582.47,21457.95,22839.44,153.0,1788.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578451,1543330800,NANOX,project-x,23320.9,25235.1,19888.1,24442.7,49.0,1913.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578452,1543244400,NANOX,project-x,20711.9,23742.1,19292.9,23298.7,637.0,1823.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578453,1543158000,NANOX,project-x,22424.6,23049.3,17607.5,20724.8,143.0,1622.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578454,1543071600,NANOX,project-x,21851.0,23146.7,19240.1,22430.6,99.0,1756.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578455,1542985200,NANOX,project-x,24479.0,24943.2,21203.9,21842.0,108.0,1709.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578456,1542898800,NANOX,project-x,24498.4,24865.3,21814.8,24496.8,122.0,1917.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578457,1542812400,NANOX,project-x,25952.2,26172.2,22557.7,24623.1,79.0,1927.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578458,1542726000,NANOX,project-x,25327.1,26680.5,23208.3,26047.1,54.0,2039.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578459,1542639600,NANOX,project-x,26003.4,27359.3,22104.0,25308.7,180.0,1981.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578460,1542553200,NANOX,project-x,30903.6,30903.6,25311.1,26155.2,74.0,2047.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578461,1542466800,NANOX,project-x,30587.8,31073.3,28507.9,30891.2,150.0,2418.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578462,1542380400,NANOX,project-x,30111.3,30639.0,27694.8,30489.2,95.0,2386.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578463,1542294000,NANOX,project-x,30447.7,30489.8,27519.3,30049.1,19.0,2352.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578464,1542207600,NANOX,project-x,31404.1,31532.9,27507.2,30456.8,135.0,2384.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578465,1542121200,NANOX,project-x,34910.1,35040.5,29461.6,31244.3,65.0,2445.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578466,1542034800,NANOX,project-x,35029.4,35193.2,33015.1,35013.4,104.0,2740.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578467,1541948400,NANOX,project-x,35372.5,35453.3,33189.8,35181.8,83.0,2753.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578468,1541862000,NANOX,project-x,35305.5,35393.3,33022.3,35155.8,58.0,2751.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578469,1541775600,NANOX,project-x,35102.7,35457.8,33312.7,35332.4,87.0,2765.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578470,1541689200,NANOX,project-x,35381.4,35545.7,33263.5,34341.7,64.0,2688.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578471,1541602800,NANOX,project-x,37228.6,37298.9,35334.4,35379.2,24.0,2769.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578472,1541516400,NANOX,project-x,38230.9,38700.8,37103.1,37254.1,16.0,2916.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578473,1541430000,NANOX,project-x,38014.4,38232.4,33562.6,38232.4,238.0,2985.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578474,1541343600,NANOX,project-x,40478.1,40737.8,34017.3,37860.7,79.0,2963.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578475,1541257200,NANOX,project-x,40106.2,40486.2,33242.6,40478.1,84.0,3168.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578476,1541170800,NANOX,project-x,40106.3,40106.3,40105.7,40106.2,21.0,3139.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578477,1541084400,NANOX,project-x,31627.6,41510.6,31627.6,40106.3,529.0,3139.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578478,1540998000,NANOX,project-x,40798.0,41168.6,36688.0,36688.0,100.0,2871.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578479,1540911600,NANOX,project-x,34041.0,40798.0,28921.4,40798.0,371.0,3193.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578480,1540825200,NANOX,project-x,34741.2,34878.1,28767.5,33934.9,81.0,2656.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578481,1540738800,NANOX,project-x,36766.3,36933.2,28779.8,34736.5,173.0,2719.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578482,1540652400,NANOX,project-x,42068.4,42128.3,32175.9,36952.1,57.0,2892.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578483,1540566000,NANOX,project-x,43101.2,43395.6,32167.2,41843.3,67.0,3275.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578484,1540479600,NANOX,project-x,43748.9,44118.7,36960.0,43280.2,70.0,3387.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578485,1540393200,NANOX,project-x,45364.3,45385.1,36992.2,43820.2,59.0,3430.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578486,1540306800,NANOX,project-x,45397.9,45936.6,37136.2,45343.7,188.0,3549.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578487,1540220400,NANOX,project-x,33486.3,46058.8,28935.5,45604.5,586.0,3569.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578488,1540134000,NANOX,project-x,33640.4,34089.5,29069.5,33489.3,84.0,2621.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578489,1540047600,NANOX,project-x,35596.8,35602.0,29272.3,33657.4,135.0,2634.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578490,1539961200,NANOX,project-x,45016.3,45152.3,34634.7,35588.7,160.0,2785.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578491,1539874800,NANOX,project-x,45983.3,46089.3,34889.5,45013.0,32.0,3523.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578492,1539788400,NANOX,project-x,45842.7,46357.1,33418.3,45990.4,803.0,3599.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578493,1539702000,NANOX,project-x,47751.1,47864.8,38320.3,45663.4,459.0,3574.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578494,1539615600,NANOX,project-x,35115.4,47977.1,32859.9,47587.0,701.0,3724.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578495,1539529200,NANOX,project-x,26944.4,35207.7,24899.0,35147.5,769.0,2751.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578496,1539442800,NANOX,project-x,26794.1,27205.3,24939.9,26914.5,61.0,2106.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578497,1539356400,NANOX,project-x,26823.5,27004.5,24975.7,26787.4,37.0,2096.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578498,1539270000,NANOX,project-x,26683.2,27046.7,24917.1,26822.8,31.0,2099.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578499,1539183600,NANOX,project-x,30226.5,30255.9,24633.8,26717.6,88.0,2091.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578500,1539097200,NANOX,project-x,31581.3,31687.9,26156.0,30328.8,72.0,2374.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578501,1539010800,NANOX,project-x,31919.2,31960.9,26392.2,31705.1,51.0,2481.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578502,1538924400,NANOX,project-x,26360.4,32070.0,26203.0,31808.4,56.0,2489.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578503,1538838000,NANOX,project-x,28956.4,35001.2,25839.9,26239.5,203.0,2054.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578504,1538751600,NANOX,project-x,27148.1,28966.0,25572.3,28849.4,151.0,2258.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578505,1538665200,NANOX,project-x,28892.7,28998.6,25676.8,27087.4,24.0,2120.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578506,1538578800,NANOX,project-x,25345.1,28978.0,25268.6,28817.5,81.0,2255.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578507,1538492400,NANOX,project-x,29364.9,29443.9,25131.7,25315.2,112.0,1981.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578508,1538406000,NANOX,project-x,30163.5,30324.6,25413.4,29350.3,40.0,2297.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578509,1538319600,NANOX,project-x,30285.0,30527.2,24826.2,30249.0,31.0,2367.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578510,1538233200,NANOX,project-x,30349.6,30505.2,25130.9,30375.8,142.0,2377.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578511,1538146800,NANOX,project-x,28507.0,31039.2,26515.8,30360.7,103.0,2376.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578512,1538060400,NANOX,project-x,26709.4,31418.1,26709.4,28525.4,570.0,2233.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578513,1537974000,NANOX,project-x,25894.5,29473.7,25720.5,26703.5,107.0,2090.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578514,1537887600,NANOX,project-x,25104.8,28781.7,24257.4,25863.0,446.0,2024.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578515,1537801200,NANOX,project-x,26261.7,26273.1,24816.6,25145.4,98.0,1968.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578516,1537714800,NANOX,project-x,26777.9,26805.6,25016.2,26291.2,150.0,2058.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578517,1537628400,NANOX,project-x,26839.5,27056.4,25375.7,26771.3,224.0,2095.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578518,1537542000,NANOX,project-x,26985.1,27180.7,25357.3,26826.1,134.0,2100.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578519,1537455600,NANOX,project-x,26045.5,27061.3,25862.6,26964.2,17.0,2110.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578520,1537369200,NANOX,project-x,24281.2,26137.0,24275.3,26038.1,68.0,2038.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578521,1537282800,NANOX,project-x,26045.3,26079.5,23446.0,24270.5,28.0,1900.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578522,1537196400,NANOX,project-x,25693.0,26176.2,25594.6,26030.7,55.0,2037.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578523,1537110000,NANOX,project-x,28653.1,28782.2,24534.8,25690.5,213.0,2011.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578524,1537023600,NANOX,project-x,27346.2,28675.9,25708.8,28582.6,295.0,2237.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578525,1536937200,NANOX,project-x,25966.7,29335.1,25912.5,27269.5,214.0,2134.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578526,1536850800,NANOX,project-x,25976.1,29362.2,25687.2,26001.4,195.0,2035.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578527,1536764400,NANOX,project-x,28187.3,28960.0,24759.9,25992.0,284.0,2034.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578528,1536678000,NANOX,project-x,26871.2,28228.2,23846.1,28162.9,70.0,2204.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578529,1536591600,NANOX,project-x,27130.6,27313.2,25004.1,26867.9,312.0,2103.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578530,1536505200,NANOX,project-x,26507.2,27120.3,25176.8,27085.3,215.0,2120.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578531,1536332400,NANOX,project-x,26996.1,27271.6,26946.8,27200.5,24.0,2129.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578532,1536246000,NANOX,project-x,27182.7,27346.3,26665.1,26962.8,24.0,2110.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578533,1536159600,NANOX,project-x,24846.2,27227.0,23722.6,27212.6,212.0,2130.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578534,1536073200,NANOX,project-x,27232.3,29531.4,24802.3,24802.3,183.0,1941.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578535,1535986800,NANOX,project-x,22166.4,29577.2,22108.3,27209.9,280.0,2130.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578536,1535900400,NANOX,project-x,29151.1,29195.7,22026.5,22166.3,445.0,1735.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578537,1535814000,NANOX,project-x,28759.5,29266.4,26865.7,29158.0,559.0,2282.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578538,1535727600,NANOX,project-x,28161.1,29017.6,26558.6,28746.3,147.0,2250.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578539,1535641200,NANOX,project-x,26423.1,28258.2,25593.0,28195.2,188.0,2207.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578540,1535554800,NANOX,project-x,26065.3,29526.4,25348.7,26397.1,388.0,2066.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578541,1535468400,NANOX,project-x,34275.0,34275.0,26028.9,26051.0,450.0,2039.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578542,1535382000,NANOX,project-x,39898.3,41379.7,27541.7,34245.2,964.0,2680.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578543,1535295600,NANOX,project-x,32586.1,39976.6,28364.3,39976.6,271.0,3129.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578544,1535209200,NANOX,project-x,41987.3,42064.4,24185.8,32601.4,1410.0,2552.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
578545,1535122800,NANOX,project-x,48899.4,49576.1,33644.0,41897.2,617.0,3279.0,2018-12-15 10:00:52 UTC,2018-12-15 10:00:52 UTC
