id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
819996,1544713200,SMS,speed-mining-service,0.964213,0.964213,0.964213,0.964213,0.0,100934.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
819997,1544626800,SMS,speed-mining-service,0.964213,0.964213,0.964213,0.964213,0.0,100934.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
819998,1544540400,SMS,speed-mining-service,0.964213,0.964213,0.964213,0.964213,0.0,100934.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
819999,1544454000,SMS,speed-mining-service,0.964213,0.964213,0.964213,0.964213,0.0,100934.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820000,1544367600,SMS,speed-mining-service,0.957553,0.965752,0.957553,0.964213,0.0,100934.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820001,1544281200,SMS,speed-mining-service,2.01,2.01,0.922425,0.95908,3.0,100397.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820002,1544194800,SMS,speed-mining-service,2.01,2.01,2.01,2.01,0.0,209907.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820003,1544108400,SMS,speed-mining-service,2.01,2.01,2.01,2.01,0.0,209907.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820004,1544022000,SMS,speed-mining-service,2.01,2.01,2.01,2.01,0.0,209907.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820005,1543935600,SMS,speed-mining-service,2.01,2.01,2.01,2.01,0.0,209907.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820006,1543849200,SMS,speed-mining-service,2.01,2.01,2.01,2.01,0.0,209907.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
820007,1543762800,SMS,speed-mining-service,2.01,2.01,2.01,2.01,0.0,209907.0,2018-12-15 10:39:49 UTC,2018-12-15 10:39:49 UTC
