id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
760048,1544713200,SBTC,super-bitcoin,1.78,1.97,1.41,1.56,424586.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760049,1544626800,SBTC,super-bitcoin,1.86,1.99,1.47,1.57,449888.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760050,1544540400,SBTC,super-bitcoin,1.75,1.99,1.46,1.68,473561.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760051,1544454000,SBTC,super-bitcoin,1.69,2.14,1.55,1.86,662921.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760052,1544367600,SBTC,super-bitcoin,2.02,2.13,1.65,1.89,773082.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760053,1544281200,SBTC,super-bitcoin,1.6,2.11,1.59,1.73,566128.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760054,1544194800,SBTC,super-bitcoin,1.7,2.03,1.46,1.74,625544.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760055,1544108400,SBTC,super-bitcoin,1.33,1.98,1.28,1.75,630440.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760056,1544022000,SBTC,super-bitcoin,1.54,2.28,1.31,1.43,485721.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760057,1543935600,SBTC,super-bitcoin,1.94,2.33,1.36,1.98,598705.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760058,1543849200,SBTC,super-bitcoin,1.79,2.42,1.69,1.95,482218.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760059,1543762800,SBTC,super-bitcoin,2.16,2.46,1.74,2.03,526752.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760060,1543676400,SBTC,super-bitcoin,2.43,2.64,1.94,2.15,584574.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760061,1543590000,SBTC,super-bitcoin,2.5,2.58,1.97,2.27,436170.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760062,1543503600,SBTC,super-bitcoin,2.47,2.86,2.34,2.46,802965.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
760063,1543417200,SBTC,super-bitcoin,2.35,2.74,2.27,2.71,878125.0,0.0,2018-12-15 10:29:28 UTC,2018-12-15 10:29:28 UTC
