id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
943675,1544713200,TSC,thunderstake,6.1e-05,6.6e-05,3.3e-05,6.5e-05,315.0,28928.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943676,1544626800,TSC,thunderstake,7.0e-05,7.0e-05,4.1e-05,6.1e-05,363.0,27377.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943677,1544540400,TSC,thunderstake,6.8e-05,7.1e-05,3.8e-05,7.0e-05,1432.0,31085.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943678,1544454000,TSC,thunderstake,7.0e-05,8.4e-05,6.8e-05,6.8e-05,708.0,30416.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943679,1544367600,TSC,thunderstake,7.4e-05,7.5e-05,6.9e-05,7.0e-05,165.0,31014.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943680,1544281200,TSC,thunderstake,6.9e-05,0.000142,6.9e-05,7.4e-05,5128.0,32573.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943681,1544194800,TSC,thunderstake,6.8e-05,7.0e-05,6.7e-05,7.0e-05,666.0,30614.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943682,1544108400,TSC,thunderstake,0.000105,0.000105,6.6e-05,6.8e-05,131.0,29984.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943683,1544022000,TSC,thunderstake,7.5e-05,0.000109,7.3e-05,0.000105,70.0,46033.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943684,1543935600,TSC,thunderstake,0.000119,0.000119,7.5e-05,7.5e-05,47.0,32659.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
943685,1543849200,TSC,thunderstake,8.0e-05,0.000121,7.8e-05,0.000119,164.0,51514.0,2018-12-15 11:59:04 UTC,2018-12-15 11:59:04 UTC
