id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
961719,1544713200,TYPE,typerium,0.000631,0.000651,0.000479,0.000623,387.0,46327.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961720,1544626800,TYPE,typerium,0.000486,0.00071,0.000485,0.00063,232.0,46901.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961721,1544540400,TYPE,typerium,0.000598,0.000599,0.000458,0.000486,507.0,36160.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961722,1544454000,TYPE,typerium,0.000606,0.000935,0.000569,0.000598,1426.0,44517.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961723,1544367600,TYPE,typerium,0.000937,0.001686,0.0006,0.000606,4464.0,41477.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961724,1544281200,TYPE,typerium,0.001128,0.001163,0.000932,0.000938,266.0,56673.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961725,1544194800,TYPE,typerium,0.000654,0.001163,0.000654,0.001132,502.0,68389.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961726,1544108400,TYPE,typerium,0.001002,0.001002,0.000597,0.000655,533.0,39548.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961727,1544022000,TYPE,typerium,0.001159,0.00118,0.001004,0.001004,157.0,60647.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961728,1543935600,TYPE,typerium,0.001043,0.001277,0.001007,0.00116,108.0,70085.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961729,1543849200,TYPE,typerium,0.00105,0.001209,0.001036,0.001041,5395.0,62918.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961730,1543762800,TYPE,typerium,0.002343,0.002343,0.001003,0.001053,8112.0,63595.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961731,1543676400,TYPE,typerium,0.001618,0.00238,0.001592,0.00233,14.0,140777.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961732,1543590000,TYPE,typerium,0.001674,0.002435,0.001499,0.001621,40.0,97938.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961733,1543503600,TYPE,typerium,0.002321,0.002367,0.001646,0.00167,75.0,100862.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961734,1543417200,TYPE,typerium,0.001705,0.002326,0.001088,0.002316,94.0,139928.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961735,1543330800,TYPE,typerium,0.001099,0.001748,0.000811,0.001702,912.0,102839.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961736,1543244400,TYPE,typerium,0.001094,0.001176,0.000776,0.001096,15099.0,66198.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961737,1543158000,TYPE,typerium,0.002262,0.002303,0.001061,0.001095,13886.0,66176.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961738,1543071600,TYPE,typerium,0.002201,0.002588,0.002049,0.002267,280.0,136956.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961739,1542985200,TYPE,typerium,0.002466,0.002647,0.002075,0.002203,534.0,133090.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961740,1542898800,TYPE,typerium,0.002312,0.002518,0.001473,0.002468,14050.0,149104.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961741,1542812400,TYPE,typerium,0.002416,0.002431,0.00186,0.002324,11792.0,115139.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961742,1542726000,TYPE,typerium,0.002347,0.002973,0.001952,0.002418,16904.0,119788.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961743,1542639600,TYPE,typerium,0.003603,0.004227,0.001878,0.002342,1797.0,116010.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961744,1542553200,TYPE,typerium,0.004099,0.004099,0.003147,0.003625,736394.0,179583.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961745,1542466800,TYPE,typerium,0.00394,0.004245,0.00394,0.004091,969356.0,202664.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961746,1542380400,TYPE,typerium,0.003898,0.004088,0.003839,0.003941,1029440.0,195245.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961747,1542294000,TYPE,typerium,0.003808,0.004007,0.003761,0.003903,1123660.0,193333.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961748,1542207600,TYPE,typerium,0.003812,0.003997,0.003554,0.003801,481501.0,188321.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961749,1542121200,TYPE,typerium,0.005062,0.005186,0.003741,0.003793,256426.0,187899.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961750,1542034800,TYPE,typerium,0.004252,0.005137,0.004177,0.005063,165643.0,231076.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
961751,1541948400,TYPE,typerium,0.00422,0.004455,0.004196,0.004247,108421.0,193841.0,2018-12-15 12:23:12 UTC,2018-12-15 12:23:12 UTC
